demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1329.350074191208,2609
global,global,1,living,1656.1293041450435,2521
global,global,2,living,1851.4828091194217,2266
global,global,3,living,-224.25750246592904,1736
global,global,4,living,1922.206871475742,2321
global,global,5,living,1048.1079705587051,2544
global,global,6,living,2175.5167147266134,1450
global,global,7,living,1931.510380265544,1677
global,global,8,living,1777.2850440528198,1846
global,global,0,biodiversity,1335.3272229166769,2394
global,global,1,biodiversity,1802.119716674094,2723
global,global,2,biodiversity,694.2865930841485,2221
global,global,3,biodiversity,1667.9722989279035,2511
global,global,4,biodiversity,916.0780012477429,2923
global,global,5,biodiversity,1983.5217296296662,1414
global,global,6,biodiversity,1287.8185986741516,3090
global,global,7,biodiversity,2235.630263845011,2211
global,global,8,biodiversity,338.2691558971489,2399
global,global,0,safety,2035.9261674505392,2642
global,global,1,safety,2169.076290787083,2429
global,global,2,safety,2338.998156966817,2196
global,global,3,safety,1726.8677788533923,3214
global,global,4,safety,1310.7441527257902,2849
global,global,5,safety,2251.8748745696766,2421
global,global,6,safety,1816.4616508201561,2295
global,global,7,safety,1228.9983957019358,1738
global,global,8,safety,1592.4891033370138,2660
gender,man,0,living,909.937346800431,1365
gender,man,1,living,890.5128087238985,1237
gender,man,2,living,1228.6900124012445,1124
gender,man,3,living,216.02048599418714,902
gender,man,4,living,1958.320367423874,1144
gender,man,5,living,1330.4274033319475,1360
gender,man,6,living,1885.0874151081302,788
gender,man,7,living,1682.6849911140118,797
gender,man,8,living,1794.3637087808531,915
gender,man,0,biodiversity,1664.860963331708,1240
gender,man,1,biodiversity,1548.5954295741212,1449
gender,man,2,biodiversity,1322.1249344575895,1201
gender,man,3,biodiversity,1347.2033027242558,1306
gender,man,4,biodiversity,1272.7807734023531,1534
gender,man,5,biodiversity,1824.8112358569902,738
gender,man,6,biodiversity,1107.1755562481753,1537
gender,man,7,biodiversity,2045.4283492545346,1135
gender,man,8,biodiversity,1861.9589678898146,1260
gender,man,0,safety,1935.4795086951742,1349
gender,man,1,safety,1983.0064885478278,1241
gender,man,2,safety,1844.267948548662,1136
gender,man,3,safety,1203.2716949920707,1706
gender,man,4,safety,1257.8207401127695,1446
gender,man,5,safety,985.8070768327682,1189
gender,man,6,safety,2045.3780751694396,1141
gender,man,7,safety,1143.4049309813377,875
gender,man,8,safety,1583.3823993566057,1309
gender,woman,0,living,1889.079856717664,1018
gender,woman,1,living,1590.0119281131288,998
gender,woman,2,living,1723.496324650432,901
gender,woman,3,living,1577.175154542685,754
gender,woman,4,living,1157.9560030999887,919
gender,woman,5,living,472.7442266040768,959
gender,woman,6,living,1877.0121375362648,581
gender,woman,7,living,1766.7161312929086,744
gender,woman,8,living,1419.0933987327467,722
gender,woman,0,biodiversity,1730.7029787728393,975
gender,woman,1,biodiversity,2029.1023716562272,1077
gender,woman,2,biodiversity,1278.3954283177936,878
gender,woman,3,biodiversity,1898.370142826142,1022
gender,woman,4,biodiversity,1756.4391493310493,1196
gender,woman,5,biodiversity,1827.0934690710517,617
gender,woman,6,biodiversity,1640.768303586038,1300
gender,woman,7,biodiversity,1689.1021975304018,926
gender,woman,8,biodiversity,359.03746472792426,915
gender,woman,0,safety,1668.9940758168736,1046
gender,woman,1,safety,2046.5400788356878,908
gender,woman,2,safety,1841.984907487656,863
gender,woman,3,safety,1744.92223054844,1252
gender,woman,4,safety,1605.719115022969,1232
gender,woman,5,safety,876.632434970614,969
gender,woman,6,safety,1092.050667906372,843
gender,woman,7,safety,1552.1941864696896,748
gender,woman,8,safety,1501.9267551223224,1105
gender,other,0,living,1508.0679633736336,17
gender,other,1,living,1512.9067924594474,15
gender,other,2,living,1547.6399958908569,12
gender,other,3,living,1568.7531894197737,6
gender,other,4,living,1452.0978280224774,8
gender,other,5,living,1411.4317090143372,11
gender,other,6,living,1487.6269481275824,11
gender,other,7,living,1537.770786870753,17
gender,other,8,living,1461.180852523226,11
gender,other,0,biodiversity,1556.3787463754393,11
gender,other,1,biodiversity,1500.7581777702312,16
gender,other,2,biodiversity,1489.0909380441226,15
gender,other,3,biodiversity,1428.594250184961,12
gender,other,4,biodiversity,1473.7885018256943,18
gender,other,5,biodiversity,1436.7714082505759,9
gender,other,6,biodiversity,1511.1689484432814,13
gender,other,7,biodiversity,1570.338774647369,6
gender,other,8,biodiversity,1523.9998983358116,10
gender,other,0,safety,1525.3435603841876,8
gender,other,1,safety,1478.5032642231877,12
gender,other,2,safety,1445.2865613365918,11
gender,other,3,safety,1514.3674656233288,17
gender,other,4,safety,1561.0661187207781,21
gender,other,5,safety,1464.4452979134865,15
gender,other,6,safety,1490.3553475039776,15
gender,other,7,safety,1500.4000424416001,14
gender,other,8,safety,1538.3840674519533,7
age,younger,0,living,952.9082893175837,700
age,younger,1,living,845.3750312576785,643
age,younger,2,living,1751.4866015659575,639
age,younger,3,living,1536.2261372324367,538
age,younger,4,living,1657.3036891786921,677
age,younger,5,living,1471.7481575344193,727
age,younger,6,living,1864.2670854653718,473
age,younger,7,living,1726.181652262033,499
age,younger,8,living,1624.908183356708,542
age,younger,0,biodiversity,1133.055351344487,674
age,younger,1,biodiversity,1841.8142819002887,743
age,younger,2,biodiversity,1672.598634171319,641
age,younger,3,biodiversity,1475.8800610070987,799
age,younger,4,biodiversity,1603.240908385141,855
age,younger,5,biodiversity,1562.550049172723,426
age,younger,6,biodiversity,979.501036854691,839
age,younger,7,biodiversity,1901.4556372051327,601
age,younger,8,biodiversity,1289.5190246985599,644
age,younger,0,safety,1038.3741104654819,722
age,younger,1,safety,1927.6556296351016,638
age,younger,2,safety,1600.7567521789722,596
age,younger,3,safety,778.3284483880669,886
age,younger,4,safety,1325.4605018086481,796
age,younger,5,safety,925.832980889831,669
age,younger,6,safety,1783.9441770905587,609
age,younger,7,safety,1446.6892954694479,493
age,younger,8,safety,1554.7830103973436,713
age,middle,0,living,1869.3176031757603,1080
age,middle,1,living,1682.9208579681497,1048
age,middle,2,living,1407.5624628155313,887
age,middle,3,living,-5.482066469398021,742
age,middle,4,living,1875.0122257277303,965
age,middle,5,living,794.1490724708393,1049
age,middle,6,living,1813.977770614118,589
age,middle,7,living,832.8654498837467,752
age,middle,8,living,1718.5221549053863,726
age,middle,0,biodiversity,1878.0116415935229,942
age,middle,1,biodiversity,1859.564981416731,1178
age,middle,2,biodiversity,679.381518822823,989
age,middle,3,biodiversity,1605.1788036879852,1062
age,middle,4,biodiversity,859.7949674873963,1250
age,middle,5,biodiversity,1897.362203476116,618
age,middle,6,biodiversity,1804.8030766262978,1302
age,middle,7,biodiversity,1659.557027182693,1030
age,middle,8,biodiversity,1759.8745516342312,995
age,middle,0,safety,1952.7569693075857,1073
age,middle,1,safety,1661.3385591366418,1042
age,middle,2,safety,1820.137015132459,976
age,middle,3,safety,2044.6742216990822,1380
age,middle,4,safety,1785.09791835333,1274
age,middle,5,safety,1086.8937442274678,1015
age,middle,6,safety,1919.9984493328498,871
age,middle,7,safety,1554.8181715506653,748
age,middle,8,safety,1284.464200164344,1165
age,older,0,living,1583.6400497259945,614
age,older,1,living,1383.9487098685781,551
age,older,2,living,1637.3626728520426,507
age,older,3,living,1419.2300600657532,379
age,older,4,living,865.2823658821824,420
age,older,5,living,1354.989670533717,542
age,older,6,living,1709.8517810649753,319
age,older,7,living,1869.322791707259,298
age,older,8,living,1555.9663274940208,374
age,older,0,biodiversity,1477.0681850045676,602
age,older,1,biodiversity,1307.4295066416626,611
age,older,2,biodiversity,1455.0387593864182,457
age,older,3,biodiversity,1703.569489010321,470
age,older,4,biodiversity,1032.8553918504208,642
age,older,5,biodiversity,1589.3397822201293,310
age,older,6,biodiversity,1562.025620185398,698
age,older,7,biodiversity,1921.8830942640154,425
age,older,8,biodiversity,1070.7558926481834,543
age,older,0,safety,1553.1590824756104,605
age,older,1,safety,1900.005585461789,482
age,older,2,safety,1496.1894975051657,437
age,older,3,safety,1662.5982063614883,699
age,older,4,safety,1750.497753775967,631
age,older,5,safety,1532.6798182161672,479
age,older,6,safety,1698.9778693926585,518
age,older,7,safety,1423.3503207601439,383
age,older,8,safety,612.6620792447746,532
ethnicity,white,0,living,1419.047617133425,2088
ethnicity,white,1,living,1304.3667779157552,1983
ethnicity,white,2,living,1672.037215851205,1781
ethnicity,white,3,living,19.22355987981111,1416
ethnicity,white,4,living,1642.888314468232,1786
ethnicity,white,5,living,1057.9952915264273,2003
ethnicity,white,6,living,2094.471721499758,1159
ethnicity,white,7,living,1749.6535722257984,1304
ethnicity,white,8,living,1243.253202580928,1380
ethnicity,white,0,biodiversity,1505.4055684904492,1884
ethnicity,white,1,biodiversity,1666.293228456501,2212
ethnicity,white,2,biodiversity,1147.4475285761694,1807
ethnicity,white,3,biodiversity,1644.5366528972509,2019
ethnicity,white,4,biodiversity,846.664904582361,2348
ethnicity,white,5,biodiversity,1981.644611306465,1151
ethnicity,white,6,biodiversity,1551.5234416565856,2502
ethnicity,white,7,biodiversity,2058.795504550426,1780
ethnicity,white,8,biodiversity,1410.2167884796963,1907
ethnicity,white,0,safety,1576.3359782250395,2072
ethnicity,white,1,safety,2041.1066481518467,1864
ethnicity,white,2,safety,1988.5230527687486,1720
ethnicity,white,3,safety,827.8196985427604,2561
ethnicity,white,4,safety,1728.7826840308012,2363
ethnicity,white,5,safety,950.5750992196536,1859
ethnicity,white,6,safety,2118.503098447283,1722
ethnicity,white,7,safety,560.1926839055129,1402
ethnicity,white,8,safety,1058.493137250093,2087
ethnicity,other,0,living,1463.0868464223008,213
ethnicity,other,1,living,1328.9297655736307,177
ethnicity,other,2,living,1651.169957575915,181
ethnicity,other,3,living,1583.3017625733353,176
ethnicity,other,4,living,1627.4505866979948,194
ethnicity,other,5,living,1488.6014468630312,231
ethnicity,other,6,living,1163.5053796483624,156
ethnicity,other,7,living,1721.0699723883924,188
ethnicity,other,8,living,1571.3511282198087,196
ethnicity,other,0,biodiversity,1475.7273592941451,238
ethnicity,other,1,biodiversity,1646.6031733882069,212
ethnicity,other,2,biodiversity,1344.5841365497918,189
ethnicity,other,3,biodiversity,1734.8375307603808,233
ethnicity,other,4,biodiversity,1687.8207963145346,308
ethnicity,other,5,biodiversity,1423.2703507223969,142
ethnicity,other,6,biodiversity,1573.362633217457,247
ethnicity,other,7,biodiversity,1561.5238959537548,208
ethnicity,other,8,biodiversity,1444.6075575711131,183
ethnicity,other,0,safety,1573.1430187347812,236
ethnicity,other,1,safety,1754.7052121669908,216
ethnicity,other,2,safety,1621.482132897842,214
ethnicity,other,3,safety,1476.76292368512,299
ethnicity,other,4,safety,1513.9648687056788,244
ethnicity,other,5,safety,1306.5323702085118,217
ethnicity,other,6,safety,1039.1895568486068,201
ethnicity,other,7,safety,1647.4272680562472,146
ethnicity,other,8,safety,1593.2370817155318,235
education,sixteen,0,living,1696.3119838134141,158
education,sixteen,1,living,1556.5777705299422,164
education,sixteen,2,living,1454.4347208700551,154
education,sixteen,3,living,1308.8573629991379,110
education,sixteen,4,living,1215.2631169031538,126
education,sixteen,5,living,1315.965779521666,173
education,sixteen,6,living,1505.770411356809,103
education,sixteen,7,living,1680.5445577949602,112
education,sixteen,8,living,1626.0240919489488,140
education,sixteen,0,biodiversity,1545.9715856855746,167
education,sixteen,1,biodiversity,1260.1525028730018,174
education,sixteen,2,biodiversity,1309.8777226832162,138
education,sixteen,3,biodiversity,1600.7298175173453,167
education,sixteen,4,biodiversity,1488.838767745536,196
education,sixteen,5,biodiversity,1505.0114757444678,87
education,sixteen,6,biodiversity,1382.3872882809858,221
education,sixteen,7,biodiversity,1719.1836615622822,127
education,sixteen,8,biodiversity,1679.7219122295983,149
education,sixteen,0,safety,1709.6754602159438,149
education,sixteen,1,safety,1522.129044044174,173
education,sixteen,2,safety,1289.7178679559054,115
education,sixteen,3,safety,1204.7870910426063,204
education,sixteen,4,safety,1549.653729535728,180
education,sixteen,5,safety,1618.261983026117,149
education,sixteen,6,safety,1660.482673533296,141
education,sixteen,7,safety,1462.7314823026156,133
education,sixteen,8,safety,1437.999657736638,162
education,eighteen,0,living,1750.1045137953893,457
education,eighteen,1,living,1340.5545927792398,455
education,eighteen,2,living,1276.6229973168506,331
education,eighteen,3,living,1490.1871410417189,305
education,eighteen,4,living,1651.8317104644846,373
education,eighteen,5,living,417.5054574860193,386
education,eighteen,6,living,1798.4517695770112,216
education,eighteen,7,living,1423.9120904302933,277
education,eighteen,8,living,1580.96905046745,288
education,eighteen,0,biodiversity,1352.220626972477,430
education,eighteen,1,biodiversity,1712.9667307432142,427
education,eighteen,2,biodiversity,1683.6320911790745,361
education,eighteen,3,biodiversity,1504.6286987883577,450
education,eighteen,4,biodiversity,1467.7761732573902,505
education,eighteen,5,biodiversity,1796.2704335980702,255
education,eighteen,6,biodiversity,1043.3480387084337,500
education,eighteen,7,biodiversity,1738.949894053788,361
education,eighteen,8,biodiversity,1109.755968128989,429
education,eighteen,0,safety,1841.0091869004523,477
education,eighteen,1,safety,1727.3433279651506,354
education,eighteen,2,safety,1648.8745811234346,417
education,eighteen,3,safety,1552.9372476118435,548
education,eighteen,4,safety,1361.23750075933,469
education,eighteen,5,safety,1693.3451451285507,423
education,eighteen,6,safety,1507.5057095972713,399
education,eighteen,7,safety,1219.1309301950248,297
education,eighteen,8,safety,1475.5090655609372,452
education,older,0,living,1021.3184972084498,1740
education,older,1,living,1241.037814793617,1608
education,older,2,living,1866.0764182180565,1513
education,older,3,living,604.1328640435045,1221
education,older,4,living,1892.7024800176218,1550
education,older,5,living,1493.9683255395896,1733
education,older,6,living,2052.0612104742654,1041
education,older,7,living,1976.3042747996265,1155
education,older,8,living,1250.2569817229844,1209
education,older,0,biodiversity,1957.0677850541251,1586
education,older,1,biodiversity,1858.1659211084789,1895
education,older,2,biodiversity,1044.7673076981298,1562
education,older,3,biodiversity,2025.574890810754,1706
education,older,4,biodiversity,1332.330980562939,2016
education,older,5,biodiversity,1545.6103166721393,1006
education,older,6,biodiversity,1742.4758930562764,2089
education,older,7,biodiversity,2176.033439220715,1565
education,older,8,biodiversity,1419.2501986780283,1585
education,older,0,safety,1650.3369559063508,1748
education,older,1,safety,2186.9527454513554,1613
education,older,2,safety,1989.3530229805885,1461
education,older,3,safety,1249.8383517939346,2184
education,older,4,safety,896.7169178308678,2015
education,older,5,safety,-837.0189932764536,1570
education,older,6,safety,2029.6179025080044,1443
education,older,7,safety,1308.4587229686078,1185
education,older,8,safety,1573.7241405823772,1781
income,lower,0,living,1735.0245053659146,405
income,lower,1,living,1476.525255918696,438
income,lower,2,living,1550.8680021704959,415
income,lower,3,living,1091.2738684190624,257
income,lower,4,living,1016.1679369209477,343
income,lower,5,living,1598.978330290143,446
income,lower,6,living,1533.7659467973538,300
income,lower,7,living,1812.81304841968,273
income,lower,8,living,1577.692581211682,343
income,lower,0,biodiversity,710.1734930617986,422
income,lower,1,biodiversity,1779.2334047375416,464
income,lower,2,biodiversity,1683.3378386695408,372
income,lower,3,biodiversity,1560.2475645079753,471
income,lower,4,biodiversity,1370.29072712328,487
income,lower,5,biodiversity,1758.4891334355038,260
income,lower,6,biodiversity,1537.5709143965248,508
income,lower,7,biodiversity,1530.8892838883883,384
income,lower,8,biodiversity,1223.3769680308196,348
income,lower,0,safety,1829.302269076525,427
income,lower,1,safety,1717.5754220427518,383
income,lower,2,safety,1469.2678058762613,344
income,lower,3,safety,1345.6500664322814,563
income,lower,4,safety,1593.005255308273,442
income,lower,5,safety,1217.897892601901,440
income,lower,6,safety,1660.7458851281783,404
income,lower,7,safety,1696.5671954840086,341
income,lower,8,safety,1259.2649109807344,440
income,middle,0,living,1553.4625808666333,792
income,middle,1,living,1090.182953426628,701
income,middle,2,living,1736.3859916135088,614
income,middle,3,living,1541.2309543791657,525
income,middle,4,living,1685.5302785451538,635
income,middle,5,living,1051.617272607071,744
income,middle,6,living,1846.6955359052567,462
income,middle,7,living,1786.0581044614412,490
income,middle,8,living,1207.1023896002368,495
