demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2117.3201693521128,1876
global,global,1,living,-431.79784794865594,2138
global,global,2,living,1333.350391626692,2253
global,global,3,living,751.3789611477316,2098
global,global,4,living,2400.907558547299,2334
global,global,5,living,1936.6404469741567,3186
global,global,6,living,2227.6745770244074,2758
global,global,7,living,1195.5642589575493,2316
global,global,8,living,1834.4088388818948,2757
global,global,0,biodiversity,1452.2864517242006,2031
global,global,1,biodiversity,1711.1033584215484,2076
global,global,2,biodiversity,1077.83428120338,2034
global,global,3,biodiversity,2046.0035398799785,1341
global,global,4,biodiversity,2135.984797435508,1860
global,global,5,biodiversity,2219.975259354477,2121
global,global,6,biodiversity,1386.2502101514738,2168
global,global,7,biodiversity,459.2628457494981,1962
global,global,8,biodiversity,122.75347228211523,1803
global,global,0,safety,1416.2795557080515,2449
global,global,1,safety,2413.516745970033,2797
global,global,2,safety,1495.5200309344154,2212
global,global,3,safety,1144.5304022118446,2881
global,global,4,safety,2011.4530848860534,2755
global,global,5,safety,1942.7546565407454,3052
global,global,6,safety,2144.3680080876366,2669
global,global,7,safety,2331.409068394952,2873
global,global,8,safety,1178.9738168532203,2500
gender,man,0,living,1887.7404986134118,962
gender,man,1,living,878.643016010974,1083
gender,man,2,living,1060.0699368142389,1153
gender,man,3,living,428.3332753172403,1057
gender,man,4,living,1937.60898110931,1230
gender,man,5,living,1737.2253983876524,1604
gender,man,6,living,2005.9889240230254,1412
gender,man,7,living,1810.8344402922294,1201
gender,man,8,living,1183.4806106843807,1394
gender,man,0,biodiversity,1541.5839211086702,1075
gender,man,1,biodiversity,1612.7677833638575,1096
gender,man,2,biodiversity,1490.3173941855543,1070
gender,man,3,biodiversity,1934.5278724816287,710
gender,man,4,biodiversity,1723.599869141221,956
gender,man,5,biodiversity,2054.2276786688167,1108
gender,man,6,biodiversity,1010.5583474437763,1089
gender,man,7,biodiversity,1390.361792841045,1037
gender,man,8,biodiversity,93.62512849358251,873
gender,man,0,safety,1458.3964086851734,1260
gender,man,1,safety,2009.3704048180446,1421
gender,man,2,safety,1439.9723528502486,1099
gender,man,3,safety,657.2708107648491,1429
gender,man,4,safety,1811.556610222066,1426
gender,man,5,safety,2088.5568479169474,1541
gender,man,6,safety,1778.9652207163301,1345
gender,man,7,safety,1166.3437115891004,1463
gender,man,8,safety,1607.6999479007322,1330
gender,woman,0,living,2000.3048801404873,656
gender,woman,1,living,787.8176738263772,923
gender,woman,2,living,1640.996448347419,913
gender,woman,3,living,1524.380418705396,897
gender,woman,4,living,1687.2933173425974,904
gender,woman,5,living,1042.4433699182337,1289
gender,woman,6,living,536.6747651477941,1092
gender,woman,7,living,1208.5518568280204,992
gender,woman,8,living,1881.4624173499765,1074
gender,woman,0,biodiversity,700.5929131992375,773
gender,woman,1,biodiversity,1439.5474166094623,815
gender,woman,2,biodiversity,1258.2852197936843,846
gender,woman,3,biodiversity,1707.727744011456,499
gender,woman,4,biodiversity,1970.0213478542196,745
gender,woman,5,biodiversity,1235.3704068065913,849
gender,woman,6,biodiversity,1791.9561244835159,913
gender,woman,7,biodiversity,941.5336551867902,760
gender,woman,8,biodiversity,1387.3625841970825,810
gender,woman,0,safety,881.744511123192,994
gender,woman,1,safety,1873.4474524129198,1140
gender,woman,2,safety,1762.7166273565358,962
gender,woman,3,safety,1292.7134078893737,1208
gender,woman,4,safety,1161.72137837575,1052
gender,woman,5,safety,1666.3684638420866,1181
gender,woman,6,safety,1945.5980952331074,1053
gender,woman,7,safety,1996.8284187482602,1162
gender,woman,8,safety,212.74682874982267,966
gender,other,0,living,1451.8346866459108,14
gender,other,1,living,1570.7391370882415,8
gender,other,2,living,1499.7552956719715,14
gender,other,3,living,1441.405907024103,7
gender,other,4,living,1536.470678317767,7
gender,other,5,living,1513.7336512497611,17
gender,other,6,living,1523.6995716343176,22
gender,other,7,living,1502.4670538473424,12
gender,other,8,living,1468.8056486773976,19
gender,other,0,biodiversity,1512.0336298061698,9
gender,other,1,biodiversity,1523.9748339622658,8
gender,other,2,biodiversity,1538.0335159277092,15
gender,other,3,biodiversity,1475.6876660779772,10
gender,other,4,biodiversity,1438.352606594792,5
gender,other,5,biodiversity,1569.916472412622,6
gender,other,6,biodiversity,1476.6852248984394,16
gender,other,7,biodiversity,1509.1028432972594,15
gender,other,8,biodiversity,1451.996803089883,6
gender,other,0,safety,1484.0349325390553,15
gender,other,1,safety,1453.8736022144626,12
gender,other,2,safety,1465.082354348283,21
gender,other,3,safety,1557.8611354796883,15
gender,other,4,safety,1514.752888446657,17
gender,other,5,safety,1425.9806647876794,6
gender,other,6,safety,1527.6268906682926,12
gender,other,7,safety,1501.681411618964,10
gender,other,8,safety,1570.5908044035566,20
age,younger,0,living,1791.273529172587,514
age,younger,1,living,1069.167677872271,611
age,younger,2,living,1523.3208200294202,645
age,younger,3,living,609.963649924193,522
age,younger,4,living,1697.696657504357,724
age,younger,5,living,1479.7371440238958,941
age,younger,6,living,1823.1343709306984,684
age,younger,7,living,1631.921353553574,684
age,younger,8,living,1902.8437002938224,721
