demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,802.9612907612945,2533
global,global,1,living,2103.9872916728887,2758
global,global,2,living,2336.7011879430024,2430
global,global,3,living,246.00683468031866,2419
global,global,4,living,1452.3048595943394,2753
global,global,5,living,143.65339443851482,1679
global,global,6,living,1865.3709555464243,1464
global,global,7,living,1728.6729991116072,2758
global,global,8,living,1295.3285771987278,2872
global,global,0,biodiversity,1057.3360562172254,2491
global,global,1,biodiversity,-67.27193467663815,1997
global,global,2,biodiversity,1252.2106513521114,2482
global,global,3,biodiversity,2153.51192838881,1217
global,global,4,biodiversity,1957.0311114900564,2530
global,global,5,biodiversity,1930.8679781431026,1870
global,global,6,biodiversity,1433.8838057561634,1488
global,global,7,biodiversity,1206.776242804888,2334
global,global,8,biodiversity,-291.77752542064184,2453
global,global,0,safety,997.1598429750244,3142
global,global,1,safety,1600.2756651971313,3051
global,global,2,safety,2149.2925775643325,1092
global,global,3,safety,660.2532347619895,2984
global,global,4,safety,1830.3125397421495,2635
global,global,5,safety,1407.749124615892,1914
global,global,6,safety,-884.0113268478846,2179
global,global,7,safety,-129.31896948119143,2030
global,global,8,safety,456.1961168569214,3745
gender,man,0,living,780.0947598287141,1337
gender,man,1,living,2072.175816674125,1394
gender,man,2,living,2027.3461997557101,1207
gender,man,3,living,714.0488362381203,1248
gender,man,4,living,1677.025845116723,1412
gender,man,5,living,1251.2427493456807,910
gender,man,6,living,1830.0608856032552,749
gender,man,7,living,1375.2121458835957,1406
gender,man,8,living,1531.557543995355,1439
gender,man,0,biodiversity,726.4082971573072,1232
gender,man,1,biodiversity,1156.0818624165142,1031
gender,man,2,biodiversity,1713.995879580439,1183
gender,man,3,biodiversity,1669.7737210349558,703
gender,man,4,biodiversity,1956.1508652879331,1310
gender,man,5,biodiversity,1978.4156771474645,930
gender,man,6,biodiversity,1820.0524691152589,741
gender,man,7,biodiversity,1373.3586743595663,1136
gender,man,8,biodiversity,427.8497715040904,1258
gender,man,0,safety,1525.8121824590744,1574
gender,man,1,safety,1671.0542519694354,1599
gender,man,2,safety,2035.377190212506,579
gender,man,3,safety,1011.1876939776153,1553
gender,man,4,safety,1890.5618895230984,1363
gender,man,5,safety,1857.2474307117132,1072
gender,man,6,safety,671.6571519918889,1116
gender,man,7,safety,1440.3060515666818,1068
gender,man,8,safety,910.062044114516,1874
gender,woman,0,living,1117.7602797161624,1032
gender,woman,1,living,1816.5482656483468,1120
gender,woman,2,living,2037.005751434135,1006
gender,woman,3,living,1719.4260879666158,980
gender,woman,4,living,837.0893299699015,1046
gender,woman,5,living,738.096462998003,663
gender,woman,6,living,1650.7044076174925,627
gender,woman,7,living,1921.9557486391927,1096
gender,woman,8,living,1481.7317915442907,1202
gender,woman,0,biodiversity,1685.9049631147118,962
gender,woman,1,biodiversity,1511.855069935212,882
gender,woman,2,biodiversity,557.1945035764495,949
gender,woman,3,biodiversity,1951.1624281522243,410
gender,woman,4,biodiversity,1800.6103779791779,1032
gender,woman,5,biodiversity,1222.1724563987095,791
gender,woman,6,biodiversity,1551.3870756801746,572
gender,woman,7,biodiversity,1255.0270779483255,958
gender,woman,8,biodiversity,1418.1872218726417,974
gender,woman,0,safety,1351.139087772872,1333
gender,woman,1,safety,1856.8901926662209,1196
gender,woman,2,safety,1934.6359825056522,448
gender,woman,3,safety,1617.5980484481047,1175
gender,woman,4,safety,1893.2262936168772,1088
gender,woman,5,safety,1686.6701171572047,702
gender,woman,6,safety,1093.2224824535501,884
gender,woman,7,safety,367.77967096728423,806
gender,woman,8,safety,1155.6196956615572,1534
gender,other,0,living,1463.9230242770195,11
gender,other,1,living,1499.7949949977037,22
gender,other,2,living,1548.2439352062356,12
gender,other,3,living,1527.675622387398,16
gender,other,4,living,1427.1884886115763,10
gender,other,5,living,1558.5301113163596,11
gender,other,6,living,1526.512514248386,8
gender,other,7,living,1488.0310402568507,15
gender,other,8,living,1467.9035570852168,17
gender,other,0,biodiversity,1511.998504916369,13
gender,other,1,biodiversity,1547.2422380081214,14
gender,other,2,biodiversity,1487.5999418891322,9
gender,other,3,biodiversity,1559.9999670782404,7
gender,other,4,biodiversity,1439.1142285621063,11
gender,other,5,biodiversity,1524.026087036042,8
gender,other,6,biodiversity,1451.5418191790916,12
gender,other,7,biodiversity,1475.9561185916436,6
gender,other,8,biodiversity,1500.0300674284535,6
gender,other,0,safety,1512.9025190189743,15
gender,other,1,safety,1535.6348776693662,15
gender,other,2,safety,1439.974929554075,7
gender,other,3,safety,1468.482358078794,23
gender,other,4,safety,1549.606244304136,14
gender,other,5,safety,1488.727225564303,21
gender,other,6,safety,1454.6121593836142,12
gender,other,7,safety,1500.0775249742924,12
gender,other,8,safety,1561.9644229087562,11
age,younger,0,living,1305.0649405721285,706
age,younger,1,living,1441.1366971627747,800
age,younger,2,living,1845.433221225334,673
age,younger,3,living,827.5199334880592,689
age,younger,4,living,1357.6901565153983,726
age,younger,5,living,927.1070591531136,423
age,younger,6,living,1542.4886788740753,398
age,younger,7,living,1912.8347093186362,701
age,younger,8,living,1602.479465162524,814
age,younger,0,biodiversity,1108.727438929348,683
age,younger,1,biodiversity,1334.9734007950008,559
age,younger,2,biodiversity,1798.154565388699,646
age,younger,3,biodiversity,1553.0914651402807,382
age,younger,4,biodiversity,1702.9323688738843,682
age,younger,5,biodiversity,1871.145518815349,435
age,younger,6,biodiversity,1001.1361521229089,420
age,younger,7,biodiversity,1647.7586406300936,608
age,younger,8,biodiversity,901.2777676518646,703
age,younger,0,safety,1655.9355384249734,989
age,younger,1,safety,1619.0537852913806,864
age,younger,2,safety,1790.5070186113858,367
age,younger,3,safety,1525.3970881163905,889
age,younger,4,safety,1822.8260414496112,827
age,younger,5,safety,1951.1184483013708,580
age,younger,6,safety,1551.8115559270786,612
age,younger,7,safety,697.8611058109996,521
age,younger,8,safety,1257.5052542711303,1085
age,middle,0,living,336.92652258641124,1013
age,middle,1,living,2044.4640751984177,1116
age,middle,2,living,1675.3696054771826,1108
age,middle,3,living,1577.4999842574427,1067
age,middle,4,living,1621.2620821556263,1150
age,middle,5,living,1423.929526608482,749
age,middle,6,living,1839.1195734181185,612
age,middle,7,living,815.2418877524009,1163
age,middle,8,living,880.9894190699046,1162
age,middle,0,biodiversity,1479.560655139614,1006
age,middle,1,biodiversity,1075.2342612263012,899
age,middle,2,biodiversity,1282.7089314388622,977
age,middle,3,biodiversity,1909.186122830447,507
age,middle,4,biodiversity,1857.064596608574,1123
age,middle,5,biodiversity,1577.511838143726,896
age,middle,6,biodiversity,1805.8469519672417,575
age,middle,7,biodiversity,1507.442586122243,1013
age,middle,8,biodiversity,1248.1829319839608,1012
age,middle,0,safety,1279.278426837024,1283
age,middle,1,safety,1401.4452104702957,1253
age,middle,2,safety,1990.9696060007866,464
age,middle,3,safety,422.1661612758315,1238
age,middle,4,safety,1915.0807492242216,1049
age,middle,5,safety,1038.0016111051266,868
age,middle,6,safety,1068.2167095876252,978
age,middle,7,safety,1553.5244835378332,900
age,middle,8,safety,349.02321031962964,1567
age,older,0,living,1648.4118462749677,656
age,older,1,living,1804.0349888140895,620
age,older,2,living,1920.610942058729,438
age,older,3,living,1026.3560092370433,480
age,older,4,living,1169.9908615125437,589
age,older,5,living,1356.4967341544375,409
age,older,6,living,1504.3884350265828,372
age,older,7,living,1718.628182276869,645
age,older,8,living,1681.91738030876,681
age,older,0,biodiversity,1107.8694725380592,514
age,older,1,biodiversity,1590.8480300991955,466
age,older,2,biodiversity,868.2417074796219,511
age,older,3,biodiversity,1855.9952364336048,229
age,older,4,biodiversity,1722.7210146459163,544
age,older,5,biodiversity,1248.0038592244803,397
age,older,6,biodiversity,1619.9773309399939,328
age,older,7,biodiversity,1232.546786121576,470
age,older,8,biodiversity,1661.7953476643765,525
age,older,0,safety,339.5074251939684,635
age,older,1,safety,1709.4069602545544,680
age,older,2,safety,1767.3256517667137,198
age,older,3,safety,1649.0419157949739,602
age,older,4,safety,1541.778396744899,580
age,older,5,safety,1811.7632268524399,340
age,older,6,safety,1407.2793186018641,411
age,older,7,safety,912.515698795243,457
age,older,8,safety,1507.7421222797932,751
ethnicity,white,0,living,453.45969972716875,2047
ethnicity,white,1,living,2143.5194018324196,2164
ethnicity,white,2,living,2219.1752661285354,1914
ethnicity,white,3,living,111.93272644805046,1942
ethnicity,white,4,living,1480.4963307012117,2113
ethnicity,white,5,living,288.66743854115776,1347
ethnicity,white,6,living,1883.2804323428475,1222
ethnicity,white,7,living,1529.9289913636906,2134
