demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1171.2258317004505,2850
global,global,1,living,1816.0189590789691,2820
global,global,2,living,1105.2315381271762,2116
global,global,3,living,1888.9588709809705,2678
global,global,4,living,1755.5163066213775,2961
global,global,5,living,301.0196841704394,2426
global,global,6,living,-277.93751282518184,1535
global,global,7,living,2057.5337740552736,2869
global,global,8,living,2375.3287066441358,1681
global,global,0,biodiversity,2347.216504560669,1653
global,global,1,biodiversity,1613.2118609329448,1757
global,global,2,biodiversity,1452.567287109429,2759
global,global,3,biodiversity,2182.277156264228,2565
global,global,4,biodiversity,1082.071763181188,2435
global,global,5,biodiversity,1751.4387971783196,2858
global,global,6,biodiversity,-211.88021295862114,1284
global,global,7,biodiversity,1989.2705347110623,2289
global,global,8,biodiversity,1812.1165922738587,2696
global,global,0,safety,1282.3035190919593,2675
global,global,1,safety,1102.617514335962,2229
global,global,2,safety,2302.7170047470186,1963
global,global,3,safety,1661.2611471694297,2820
global,global,4,safety,1429.9952585776336,2184
global,global,5,safety,1342.4429531674202,2475
global,global,6,safety,969.3515161665603,2114
global,global,7,safety,2030.571980074857,1387
global,global,8,safety,1919.364401343696,3221
gender,man,0,living,1010.7307026435753,1488
gender,man,1,living,1486.1387454000317,1412
gender,man,2,living,713.5620322277395,1061
gender,man,3,living,1623.6946892224196,1297
gender,man,4,living,1893.9809649468402,1322
gender,man,5,living,1270.5080368423414,1289
gender,man,6,living,984.9783072952246,933
gender,man,7,living,1090.6164289129179,1494
gender,man,8,living,2079.2904955057434,872
gender,man,0,biodiversity,1930.568537753597,797
gender,man,1,biodiversity,1757.3230723098836,972
gender,man,2,biodiversity,1530.5937191693934,1385
gender,man,3,biodiversity,1608.5029473406792,1359
gender,man,4,biodiversity,1657.6011568453162,1319
gender,man,5,biodiversity,1726.8154953885248,1455
gender,man,6,biodiversity,960.5071655593233,702
gender,man,7,biodiversity,1989.7698817583555,1105
gender,man,8,biodiversity,1805.2678385657198,1464
gender,man,0,safety,1581.7021012650018,1347
gender,man,1,safety,989.7008718989716,1116
gender,man,2,safety,2037.0757993406044,1041
gender,man,3,safety,1622.751262428812,1432
gender,man,4,safety,1463.4201824682418,1118
gender,man,5,safety,1318.8240635430273,1239
gender,man,6,safety,-512.397766444323,1098
gender,man,7,safety,1992.9732831636068,704
gender,man,8,safety,1719.6651145372086,1603
gender,woman,0,living,1933.354747365376,1101
gender,woman,1,living,1447.4343500255015,1105
