demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,358.80238983333254,2307
global,global,1,living,779.4253311894819,2158
global,global,2,living,2077.7988329922746,2283
global,global,3,living,1698.6158927600586,2526
global,global,4,living,1133.371166243382,2270
global,global,5,living,1010.8189530976966,2449
global,global,6,living,1975.6674880653986,2336
global,global,7,living,2328.8007067807744,2172
global,global,8,living,874.9505934746913,2461
global,global,0,biodiversity,2353.4540720928608,2959
global,global,1,biodiversity,2127.480425045861,2418
global,global,2,biodiversity,398.52415040396227,2106
global,global,3,biodiversity,1373.9395132745447,2396
global,global,4,biodiversity,1619.9823887320015,2451
global,global,5,biodiversity,1192.88375909829,2727
global,global,6,biodiversity,-134.09879228549616,2210
global,global,7,biodiversity,2467.9879154466857,2163
global,global,8,biodiversity,2307.288954150316,3228
global,global,0,safety,2296.157584453215,2153
global,global,1,safety,2002.3673808356446,2042
global,global,2,safety,2209.18495319068,2309
global,global,3,safety,469.6819371345454,1763
global,global,4,safety,1615.6956536273594,2511
global,global,5,safety,2063.5776167642216,2533
global,global,6,safety,1117.1028413398894,1954
global,global,7,safety,866.0984672071128,2263
global,global,8,safety,2364.3912722792934,2152
gender,man,0,living,1041.3829592014342,1193
gender,man,1,living,1296.7733603755423,1145
gender,man,2,living,1778.690510551945,1167
gender,man,3,living,1484.1271816241267,1318
gender,man,4,living,2041.1691857766295,1129
gender,man,5,living,1207.7491292446318,1299
gender,man,6,living,1854.794618973039,1114
gender,man,7,living,1820.9927584767527,1153
gender,man,8,living,1347.6441858487478,1262
gender,man,0,biodiversity,2116.9328219395516,1488
gender,man,1,biodiversity,1019.2296313059514,1247
gender,man,2,biodiversity,1403.9799080943112,1152
gender,man,3,biodiversity,837.537606715158,1213
gender,man,4,biodiversity,1890.3110623046612,1234
gender,man,5,biodiversity,1789.1373751650435,1488
gender,man,6,biodiversity,1569.292397975002,1186
gender,man,7,biodiversity,2027.2538172945037,1131
gender,man,8,biodiversity,1987.2810204446223,1627
gender,man,0,safety,2021.6840474629175,994
gender,man,1,safety,1964.8011871249903,993
gender,man,2,safety,1507.476262371144,1179
gender,man,3,safety,836.8678533598027,907
gender,man,4,safety,1695.6982556896585,1330
gender,man,5,safety,1660.9403275740967,1310
gender,man,6,safety,1644.5688630539123,951
gender,man,7,safety,913.7210334688441,1181
gender,man,8,safety,1395.003340337239,1033
gender,woman,0,living,1109.763700425082,947
gender,woman,1,living,1217.9898077784678,902
gender,woman,2,living,1019.1856598431189,822
gender,woman,3,living,1928.475574268404,1028
gender,woman,4,living,1177.5692114162193,986
gender,woman,5,living,1648.2918180421902,918
gender,woman,6,living,1751.9379561946885,925
gender,woman,7,living,1994.7768181520612,826
