demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,131.63651616045428,1398
global,global,1,living,1287.0185841742004,2486
global,global,2,living,1643.2275869172327,2780
global,global,3,living,2201.4057310880626,2353
global,global,4,living,1556.5125394953277,2732
global,global,5,living,2032.930251944592,2566
global,global,6,living,1137.785961167601,2527
global,global,7,living,-485.71955903537673,852
global,global,8,living,2298.696580105273,1740
global,global,0,biodiversity,863.7535040057222,2039
global,global,1,biodiversity,-368.00081870271094,1779
global,global,2,biodiversity,917.3876427424634,2294
global,global,3,biodiversity,1623.3677305883127,2435
global,global,4,biodiversity,2115.682804206813,1814
global,global,5,biodiversity,2245.2426616291095,1957
global,global,6,biodiversity,1213.1205462854798,2368
global,global,7,biodiversity,1016.7156313724047,2191
global,global,8,biodiversity,1751.049000860079,1927
global,global,0,safety,1900.8599653779695,2452
global,global,1,safety,2214.97445895641,1827
global,global,2,safety,1638.207260649348,2923
global,global,3,safety,2300.323892482938,2348
global,global,4,safety,1774.3207304051405,3377
global,global,5,safety,558.079017635089,2797
global,global,6,safety,1829.3527228590099,3246
global,global,7,safety,2008.8331017893308,2964
global,global,8,safety,2115.6740047880003,3128
gender,man,0,living,1004.4240638025731,737
gender,man,1,living,1354.6015161773141,1192
gender,man,2,living,1591.7759708460471,1425
gender,man,3,living,2107.998205113023,1166
gender,man,4,living,1795.862201285219,1426
gender,man,5,living,1728.0769719656005,1316
gender,man,6,living,900.7868708353375,1293
gender,man,7,living,823.704751576912,470
gender,man,8,living,1901.2123231571484,911
gender,man,0,biodiversity,1248.1010677740699,1061
gender,man,1,biodiversity,695.211498898853,938
gender,man,2,biodiversity,958.6011442153666,1158
gender,man,3,biodiversity,1904.78922251406,1267
gender,man,4,biodiversity,2007.959033397361,883
gender,man,5,biodiversity,1870.518910624694,1067
gender,man,6,biodiversity,916.2830339562503,1208
gender,man,7,biodiversity,1653.146376030845,987
gender,man,8,biodiversity,1527.8565119168086,1055
gender,man,0,safety,1915.1601375318771,1275
gender,man,1,safety,2163.9229612269446,905
gender,man,2,safety,-144.03158971914,1481
gender,man,3,safety,1729.2932739070382,1274
gender,man,4,safety,689.1196597636753,1686
gender,man,5,safety,1611.829734023964,1475
gender,man,6,safety,1750.4012024457247,1636
gender,man,7,safety,1790.6585727400793,1488
gender,man,8,safety,1644.4789406654647,1644
gender,woman,0,living,1146.675780935149,617
gender,woman,1,living,791.007777552255,1017
gender,woman,2,living,1730.6736227361757,1095
gender,woman,3,living,1539.0936913228018,952
gender,woman,4,living,1401.7966205608275,1137
gender,woman,5,living,1822.9914941735153,1060
gender,woman,6,living,1606.1021855304707,963
gender,woman,7,living,635.037041375363,358
gender,woman,8,living,2042.9733314136852,689
gender,woman,0,biodiversity,1264.6600328520358,755
gender,woman,1,biodiversity,634.5340631811908,689
gender,woman,2,biodiversity,1502.0359787583557,890
gender,woman,3,biodiversity,1724.907876024124,985
gender,woman,4,biodiversity,1415.6013014627667,756
gender,woman,5,biodiversity,1975.1055377730602,715
gender,woman,6,biodiversity,1378.8925306162666,985
gender,woman,7,biodiversity,754.1153138183718,946
gender,woman,8,biodiversity,1860.8032668966002,769
gender,woman,0,safety,590.6807908997683,950
gender,woman,1,safety,1302.4178198644502,788
gender,woman,2,safety,1813.4622949185916,1189
gender,woman,3,safety,1973.7019078169776,911
gender,woman,4,safety,1266.1818209238834,1345
gender,woman,5,safety,205.54459655204755,1176
gender,woman,6,safety,1477.0413614164872,1290
gender,woman,7,safety,1877.1210609926043,1147
gender,woman,8,safety,1605.2013872968023,1294
gender,other,0,living,1523.5866351835703,10
gender,other,1,living,1488.0286628277483,15
gender,other,2,living,1499.1749182592373,16
gender,other,3,living,1464.0307505197527,9
gender,other,4,living,1547.160507410871,14
gender,other,5,living,1512.4127126810931,11
gender,other,6,living,1571.9599688294863,10
gender,other,7,living,1452.0306098621504,8
gender,other,8,living,1440.9169289853157,13
gender,other,0,biodiversity,1439.813078063839,7
