demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1605.0241414657085,2448
global,global,1,living,1337.4528020769365,2129
global,global,2,living,2171.1368208105255,1575
global,global,3,living,502.5679817236995,2055
global,global,4,living,1770.5806290529615,2314
global,global,5,living,2035.460642589946,1614
global,global,6,living,1026.5001062597464,2420
global,global,7,living,1393.7819094805384,2115
global,global,8,living,2054.585732568446,2100
global,global,0,biodiversity,-68.92931661521821,2393
global,global,1,biodiversity,1043.4372538133794,2550
global,global,2,biodiversity,1309.8087404004848,2592
global,global,3,biodiversity,262.1623793057604,1400
global,global,4,biodiversity,1758.2634956080503,2752
global,global,5,biodiversity,2126.5990928197,1843
global,global,6,biodiversity,2300.24683705032,1834
global,global,7,biodiversity,1262.2898524185982,2125
global,global,8,biodiversity,1570.1248581895366,2315
global,global,0,safety,2046.466013913021,2663
global,global,1,safety,574.9054285804676,1557
global,global,2,safety,1424.436311722214,2724
global,global,3,safety,2249.079495927774,3271
global,global,4,safety,723.4072239417762,3491
global,global,5,safety,2376.3884747101183,2630
global,global,6,safety,1117.4113978819462,2472
global,global,7,safety,1861.6480949791905,3028
global,global,8,safety,2397.6759653673976,2890
gender,man,0,living,1797.7036864568831,1220
gender,man,1,living,690.3341639799219,1062
gender,man,2,living,1794.9274454282943,829
gender,man,3,living,254.0989300238795,1058
gender,man,4,living,1635.0134222615789,1159
gender,man,5,living,1864.2890258972982,866
gender,man,6,living,1643.205500267537,1250
gender,man,7,living,1245.2336010254812,1027
gender,man,8,living,1968.24837728302,1109
gender,man,0,biodiversity,1615.3911667029931,1292
gender,man,1,biodiversity,1745.6193331707555,1279
gender,man,2,biodiversity,1916.316580829179,1313
gender,man,3,biodiversity,522.7395783778417,699
gender,man,4,biodiversity,1396.7709821612877,1446
gender,man,5,biodiversity,1695.8466658681657,1018
gender,man,6,biodiversity,1947.4522777937366,915
gender,man,7,biodiversity,937.5504721401188,1089
gender,man,8,biodiversity,1994.9442057396027,1143
gender,man,0,safety,1778.023377440117,1362
gender,man,1,safety,484.7464043924035,800
gender,man,2,safety,1866.3770001977111,1376
gender,man,3,safety,2149.000633094863,1689
gender,man,4,safety,1557.668115630549,1810
gender,man,5,safety,1683.4595145325104,1339
gender,man,6,safety,1571.6783371368324,1315
gender,man,7,safety,1639.8989694393383,1496
gender,man,8,safety,1914.469116331108,1463
gender,woman,0,living,1345.4646167275544,1050
gender,woman,1,living,647.9145899673255,849
gender,woman,2,living,1936.0719013449761,560
gender,woman,3,living,1234.322300143023,863
gender,woman,4,living,1466.2110047505785,964
gender,woman,5,living,1851.5772620614684,633
gender,woman,6,living,1504.3785526231702,927
gender,woman,7,living,1247.9255063453938,915
gender,woman,8,living,1908.231269103655,775
gender,woman,0,biodiversity,273.1538556618175,952
gender,woman,1,biodiversity,1441.5613429122163,1039
gender,woman,2,biodiversity,1295.3510714110907,991
gender,woman,3,biodiversity,1368.530751991164,591
gender,woman,4,biodiversity,1930.7871689746778,1046
gender,woman,5,biodiversity,1994.3135872187854,709
gender,woman,6,biodiversity,1672.4398146388007,812
gender,woman,7,biodiversity,1738.8794619483378,817
gender,woman,8,biodiversity,1607.063508409228,917
gender,woman,0,safety,894.8815248657838,1109
gender,woman,1,safety,1687.3248356729127,696
gender,woman,2,safety,1481.9731444228198,1120
gender,woman,3,safety,1358.4530255897762,1305
gender,woman,4,safety,1655.4803372327815,1410
gender,woman,5,safety,2112.9677961614343,1021
gender,woman,6,safety,933.9471823201568,991
gender,woman,7,safety,1621.3632623106737,1266
gender,woman,8,safety,1876.521025708188,1140
gender,other,0,living,1499.677750833619,12
gender,other,1,living,1563.8502297965758,9
gender,other,2,living,1439.8096788032835,9
gender,other,3,living,1463.3328888777448,11
gender,other,4,living,1491.9716480570128,19
gender,other,5,living,1512.6493760279263,13
gender,other,6,living,1547.8596168446888,12
gender,other,7,living,1524.0604910237391,14
gender,other,8,living,1465.7477474608847,15
gender,other,0,biodiversity,1462.780617595913,15
gender,other,1,biodiversity,1499.994348497723,8
gender,other,2,biodiversity,1524.01411139778,14
gender,other,3,biodiversity,1465.6558847689473,13
gender,other,4,biodiversity,1479.0212879646417,20
gender,other,5,biodiversity,1438.6464576390972,5
gender,other,6,biodiversity,1569.153856830806,8
gender,other,7,biodiversity,1513.6843095613315,9
gender,other,8,biodiversity,1548.1831011584013,14
gender,other,0,safety,1548.9880468479464,14
gender,other,1,safety,1469.0804287749263,7
gender,other,2,safety,1525.9491493178582,16
gender,other,3,safety,1499.596004219233,14
gender,other,4,safety,1483.617751053136,18
gender,other,5,safety,1475.9044555585392,10
gender,other,6,safety,1448.7262263664118,14
gender,other,7,safety,1571.3906610551119,18
gender,other,8,safety,1489.2060586657783,7
age,younger,0,living,1876.3735747551445,664
age,younger,1,living,1558.976740744562,558
age,younger,2,living,948.0233074564981,451
age,younger,3,living,1418.592874853651,537
age,younger,4,living,1313.8831111392012,660
age,younger,5,living,1730.3475031180992,479
age,younger,6,living,1844.1601011335897,654
age,younger,7,living,1210.9038327765907,577
age,younger,8,living,1719.2937242890584,598
age,younger,0,biodiversity,1026.5802950936527,711
age,younger,1,biodiversity,1054.2105421562783,742
age,younger,2,biodiversity,1888.5053799288135,715
age,younger,3,biodiversity,1192.449248544925,414
age,younger,4,biodiversity,1764.204223387548,749
age,younger,5,biodiversity,1834.4590599666817,546
age,younger,6,biodiversity,1623.0826090933035,540
age,younger,7,biodiversity,1721.6925931607918,565
age,younger,8,biodiversity,1539.1775747800857,676
age,younger,0,safety,1835.1351211811084,763
age,younger,1,safety,1104.4774757937773,462
age,younger,2,safety,1860.5267297712546,763
age,younger,3,safety,1418.593318938095,914
age,younger,4,safety,1681.2591381808045,950
age,younger,5,safety,1567.7654830790475,745
age,younger,6,safety,496.6732837325472,704
age,younger,7,safety,1974.9913448555217,815
age,younger,8,safety,1883.9273589856446,830
age,middle,0,living,1652.4820458640274,1111
age,middle,1,living,1061.8162751037364,893
age,middle,2,living,1956.4164270837277,616
age,middle,3,living,1094.7108733706955,910
age,middle,4,living,1611.844813104429,939
age,middle,5,living,1328.0732459140036,718
age,middle,6,living,1586.8242262223862,995
age,middle,7,living,1765.0988532635984,927
age,middle,8,living,1948.699338161881,859
age,middle,0,biodiversity,1561.003292846367,1048
age,middle,1,biodiversity,1830.3928304020812,1061
age,middle,2,biodiversity,1700.7488549491502,1007
age,middle,3,biodiversity,1294.9023870957458,619
age,middle,4,biodiversity,1366.2387270572888,1132
age,middle,5,biodiversity,1434.7099176405045,765
age,middle,6,biodiversity,1925.7327398709265,731
age,middle,7,biodiversity,1190.5902732833124,885
age,middle,8,biodiversity,1890.3596408502578,956
age,middle,0,safety,1516.7626650751965,1144
age,middle,1,safety,506.22075664432253,640
age,middle,2,safety,1664.8050053513173,1115
age,middle,3,safety,1872.6634066479885,1372
age,middle,4,safety,1722.1767423315614,1587
age,middle,5,safety,1944.7612999103503,1094
age,middle,6,safety,1911.0901707450791,1095
age,middle,7,safety,1780.3630513787693,1341
age,middle,8,safety,2115.4536591900096,1188
age,older,0,living,1446.2498941741687,500
age,older,1,living,1353.1122089298765,464
age,older,2,living,1902.409641667188,332
age,older,3,living,1170.476406174906,492
age,older,4,living,1518.0216150517108,537
age,older,5,living,1489.250359077,306
age,older,6,living,1258.202303422222,535
age,older,7,living,1687.3789200622782,446
age,older,8,living,1638.1579709473347,442
age,older,0,biodiversity,974.4320888760709,483
age,older,1,biodiversity,1460.349932517423,516
age,older,2,biodiversity,1511.1978902254873,589
age,older,3,biodiversity,925.401331401572,261
age,older,4,biodiversity,1886.8472070317728,619
age,older,5,biodiversity,1568.8929432262437,413
age,older,6,biodiversity,1683.8994842660113,457
age,older,7,biodiversity,1065.1436968313162,465
age,older,8,biodiversity,1818.4818268510069,439
age,older,0,safety,1219.011561243532,577
age,older,1,safety,1676.6691160297612,392
age,older,2,safety,1557.1582223615799,625
age,older,3,safety,1600.2502149058612,719
age,older,4,safety,1320.2239578514989,676
age,older,5,safety,1923.1939977924133,522
age,older,6,safety,1151.112489962523,518
age,older,7,safety,980.813433345316,619
age,older,8,safety,1706.1802566380238,584
ethnicity,white,0,living,1861.3368954392693,1961
ethnicity,white,1,living,1099.9851930999555,1699
ethnicity,white,2,living,1996.0935978673538,1211
ethnicity,white,3,living,568.8290466007086,1664
ethnicity,white,4,living,1583.8835934289411,1833
ethnicity,white,5,living,2038.0612184510876,1302
ethnicity,white,6,living,1699.3424217960137,1889
ethnicity,white,7,living,412.3487672917109,1686
ethnicity,white,8,living,2016.9398737996244,1629
ethnicity,white,0,biodiversity,789.2110370092453,1983
ethnicity,white,1,biodiversity,1687.5298625166834,2022
ethnicity,white,2,biodiversity,1818.2196700427132,1961
ethnicity,white,3,biodiversity,397.5863257357935,1085
ethnicity,white,4,biodiversity,1841.7573829437947,2176
ethnicity,white,5,biodiversity,1997.246928078348,1492
ethnicity,white,6,biodiversity,2242.0986197559314,1501
ethnicity,white,7,biodiversity,1336.9311498243685,1651
ethnicity,white,8,biodiversity,1638.415015966882,1773
ethnicity,white,0,safety,1516.5738103944045,2154
ethnicity,white,1,safety,994.8357210126893,1290
ethnicity,white,2,safety,1318.0540055859453,2185
ethnicity,white,3,safety,2115.1298776658864,2571
ethnicity,white,4,safety,1325.5562306495437,2773
ethnicity,white,5,safety,2269.694842444805,2035
ethnicity,white,6,safety,919.6795708875962,2016
ethnicity,white,7,safety,1628.3391938043414,2393
ethnicity,white,8,safety,2249.46251250249,2225
ethnicity,other,0,living,1648.9687221383272,224
ethnicity,other,1,living,890.7864676574343,155
ethnicity,other,2,living,1442.0152750596478,134
ethnicity,other,3,living,1500.208215464692,194
ethnicity,other,4,living,1331.8047657633404,228
ethnicity,other,5,living,1211.7841809615406,142
ethnicity,other,6,living,1479.3922739152626,207
ethnicity,other,7,living,1695.1907891140497,190
