demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2340.0821504431033,1455
global,global,1,living,1747.2068101801492,2488
global,global,2,living,2230.1048407133017,2756
global,global,3,living,2166.218960285781,3128
global,global,4,living,2107.737786404651,3154
global,global,5,living,2012.8777815093251,2730
global,global,6,living,1349.9106590407102,2669
global,global,7,living,1475.5938904475172,3144
global,global,8,living,205.5751902330004,1656
global,global,0,biodiversity,802.1595032038759,2479
global,global,1,biodiversity,1528.1066103766188,2134
global,global,2,biodiversity,2292.8874939384405,1861
global,global,3,biodiversity,1257.9955035389248,2552
global,global,4,biodiversity,1859.9093305653134,2143
global,global,5,biodiversity,2136.76717299187,2113
global,global,6,biodiversity,1930.5441187967713,2103
global,global,7,biodiversity,1349.0222351846799,2257
global,global,8,biodiversity,186.7894892787648,1604
global,global,0,safety,1632.788642493161,3445
global,global,1,safety,1297.14985673788,2444
global,global,2,safety,1568.647862415718,1677
global,global,3,safety,2088.0145663042617,2062
global,global,4,safety,1944.0408995072744,2213
global,global,5,safety,-88.18044700903725,1778
global,global,6,safety,1658.5091000239736,2755
global,global,7,safety,2338.5280586109575,2285
global,global,8,safety,2131.7808156240035,2215
gender,man,0,living,2063.5007369319287,746
gender,man,1,living,1505.3681592492435,1273
gender,man,2,living,1888.9083242285294,1426
gender,man,3,living,1868.2015658894445,1539
gender,man,4,living,1998.2054971721511,1606
gender,man,5,living,2014.7923778030145,1440
gender,man,6,living,1623.4789582331916,1324
gender,man,7,living,1205.2905247010908,1588
gender,man,8,living,534.2908488340153,880
gender,man,0,biodiversity,1617.0000517451583,1278
gender,man,1,biodiversity,1636.131578831448,1112
gender,man,2,biodiversity,1936.6373913241468,923
gender,man,3,biodiversity,1591.0791812316008,1213
gender,man,4,biodiversity,1999.6184557860463,1051
gender,man,5,biodiversity,1513.58800786179,1092
gender,man,6,biodiversity,1748.7837230794573,1079
gender,man,7,biodiversity,1539.6892517053172,1209
gender,man,8,biodiversity,921.8508738258257,879
gender,man,0,safety,1916.6634730302644,1824
gender,man,1,safety,1819.3920736074715,1274
gender,man,2,safety,1047.9421673164884,883
gender,man,3,safety,1859.8932013588105,1110
gender,man,4,safety,1027.6478849828989,1098
gender,man,5,safety,679.3845712883254,926
gender,man,6,safety,1552.6901391702925,1454
gender,man,7,safety,2087.2497765024214,1114
gender,man,8,safety,1955.9304158052892,1083
gender,woman,0,living,1958.1593987277852,529
gender,woman,1,living,1481.9403544374666,1019
gender,woman,2,living,1557.186881432409,1081
gender,woman,3,living,1005.262385609757,1268
gender,woman,4,living,1868.8699997468605,1247
gender,woman,5,living,1790.078942661568,1079
gender,woman,6,living,1334.2295045695475,1140
gender,woman,7,living,1879.2535062825343,1282
gender,woman,8,living,1449.1291096173468,691
gender,woman,0,biodiversity,1603.2752411167507,941
gender,woman,1,biodiversity,1724.0339019603098,854
gender,woman,2,biodiversity,1861.3143582429157,836
gender,woman,3,biodiversity,866.8426646421199,1049
gender,woman,4,biodiversity,1881.4587882406381,892
gender,woman,5,biodiversity,1960.8295609974032,854
gender,woman,6,biodiversity,1689.5615829097944,855
gender,woman,7,biodiversity,1398.7221282850753,848
gender,woman,8,biodiversity,1135.5761776370614,643
gender,woman,0,safety,1664.722684450932,1395
gender,woman,1,safety,1475.486795631941,976
gender,woman,2,safety,1503.6177529357494,657
gender,woman,3,safety,1932.107179622101,840
gender,woman,4,safety,2044.0695488887734,942
gender,woman,5,safety,858.7641048767863,695
gender,woman,6,safety,1396.884308779876,1073
gender,woman,7,safety,1424.4418306220064,887
gender,woman,8,safety,1857.4881130536728,895
gender,other,0,living,1533.4880506093912,9
gender,other,1,living,1489.4678420417729,21
gender,other,2,living,1415.7147977116992,9
gender,other,3,living,1473.2983865351034,14
gender,other,4,living,1549.153481544589,16
gender,other,5,living,1448.609943554172,10
gender,other,6,living,1567.955387070823,6
gender,other,7,living,1513.521865487653,15
gender,other,8,living,1500.7588169354815,12
gender,other,0,biodiversity,1548.0235689308029,8
gender,other,1,biodiversity,1487.2568897233944,21
gender,other,2,biodiversity,1560.799949008115,7
gender,other,3,biodiversity,1498.5721606361683,18
gender,other,4,biodiversity,1536.721201159296,15
gender,other,5,biodiversity,1464.4952871467624,13
gender,other,6,biodiversity,1524.2015261520612,10
gender,other,7,biodiversity,1452.0432009135861,14
gender,other,8,biodiversity,1426.772997946611,8
gender,other,0,safety,1475.93463307454,8
gender,other,1,safety,1534.0470097441514,15
gender,other,2,safety,1512.5237460483131,17
gender,other,3,safety,1501.2847239233604,12
gender,other,4,safety,1440.2212780814796,17
gender,other,5,safety,1545.8830439759367,8
gender,other,6,safety,1463.9979904707889,13
gender,other,7,safety,1571.9035700053435,12
gender,other,8,safety,1452.3906166742197,10
age,younger,0,living,1915.6979312884857,377
age,younger,1,living,1779.3365083631834,728
age,younger,2,living,1687.339894502977,750
age,younger,3,living,1009.9088742916459,846
age,younger,4,living,1793.717344907496,878
age,younger,5,living,1436.8542841275219,797
age,younger,6,living,1559.7139898968692,717
age,younger,7,living,1256.1480695860903,861
age,younger,8,living,1511.9358554435603,562
age,younger,0,biodiversity,1866.4739613799168,659
age,younger,1,biodiversity,1579.104977406506,646
age,younger,2,biodiversity,1834.057727140716,500
age,younger,3,biodiversity,258.9210463781029,661
age,younger,4,biodiversity,1304.6552474890088,616
age,younger,5,biodiversity,1611.5878140698296,586
age,younger,6,biodiversity,1722.9373494191784,581
age,younger,7,biodiversity,1486.4073503124673,698
age,younger,8,biodiversity,309.53802482265337,469
age,younger,0,safety,1549.1038725054882,979
age,younger,1,safety,1301.0097469895352,685
age,younger,2,safety,1179.2496336390577,456
age,younger,3,safety,1849.934292988818,508
age,younger,4,safety,1463.783596611275,600
age,younger,5,safety,1592.148026798047,509
age,younger,6,safety,1774.5234068757861,820
age,younger,7,safety,1882.9911173206951,592
age,younger,8,safety,1412.7837181438824,701
age,middle,0,living,2045.0615047942429,585
age,middle,1,living,575.8908685284754,1052
age,middle,2,living,1552.2926662607374,1160
age,middle,3,living,1732.6812350806986,1275
age,middle,4,living,1316.9589567640637,1294
age,middle,5,living,1877.0286134469509,1127
age,middle,6,living,1771.6693557446004,1157
age,middle,7,living,1799.8344894400905,1329
age,middle,8,living,1021.7345381107967,727
age,middle,0,biodiversity,1201.5554374759142,1030
age,middle,1,biodiversity,1662.2352146465776,883
age,middle,2,biodiversity,1876.6320742050311,847
age,middle,3,biodiversity,1597.0091486963831,1029
age,middle,4,biodiversity,1976.5987428549447,846
age,middle,5,biodiversity,1830.736415465759,891
age,middle,6,biodiversity,896.4538064698938,892
age,middle,7,biodiversity,1709.2640755939703,981
age,middle,8,biodiversity,1012.9535166682357,673
age,middle,0,safety,1297.2860739519647,1544
age,middle,1,safety,1743.6231710285442,1058
age,middle,2,safety,1776.5729993939578,744
age,middle,3,safety,1668.5027424547259,978
age,middle,4,safety,1985.6843177894805,952
age,middle,5,safety,787.5869211024628,739
age,middle,6,safety,1703.3202033219236,1143
age,middle,7,safety,1523.1241683915136,938
age,middle,8,safety,2009.17420036073,874
age,older,0,living,1785.605301950526,318
age,older,1,living,1592.9877861321656,524
age,older,2,living,1523.5413372635542,600
age,older,3,living,1625.6486065380507,690
age,older,4,living,1810.491531076739,697
age,older,5,living,1846.9753916783868,594
age,older,6,living,1322.712329985712,582
age,older,7,living,1559.7079012353636,694
age,older,8,living,1067.6022981100898,289
age,older,0,biodiversity,1391.3117866545858,536
age,older,1,biodiversity,1514.0105140660735,454
age,older,2,biodiversity,1740.282804827469,422
age,older,3,biodiversity,1228.0035608228318,584
age,older,4,biodiversity,1780.067468290447,488
age,older,5,biodiversity,1702.9147617109202,478
age,older,6,biodiversity,1825.5394559898223,468
age,older,7,biodiversity,1100.6625789227105,381
age,older,8,biodiversity,1564.284760083641,379
age,older,0,safety,1853.2888376137025,688
age,older,1,safety,1715.8538653982125,516
age,older,2,safety,1467.4572192311748,349
age,older,3,safety,1762.1764422641188,465
age,older,4,safety,1121.343457418941,496
age,older,5,safety,744.5235405531498,375
age,older,6,safety,916.6262514876548,570
age,older,7,safety,1605.5837943063275,484
age,older,8,safety,1668.4380611903962,407
ethnicity,white,0,living,2161.5006439369636,1120
ethnicity,white,1,living,1383.2108524696987,1937
ethnicity,white,2,living,2044.3151366983554,2169
ethnicity,white,3,living,1800.5337753223077,2430
ethnicity,white,4,living,1936.4268619210636,2480
ethnicity,white,5,living,1915.3875007452245,2175
ethnicity,white,6,living,2089.7072689807405,2129
ethnicity,white,7,living,1306.6212544213668,2523
ethnicity,white,8,living,675.6492557997747,1367
ethnicity,white,0,biodiversity,1442.530534721219,1944
ethnicity,white,1,biodiversity,1902.6638672185318,1717
ethnicity,white,2,biodiversity,2062.5764055792088,1543
ethnicity,white,3,biodiversity,1136.6353487018418,1998
ethnicity,white,4,biodiversity,2128.91696312978,1682
ethnicity,white,5,biodiversity,1947.379436534749,1707
ethnicity,white,6,biodiversity,2046.7335341453677,1682
ethnicity,white,7,biodiversity,1811.4024251251114,1823
ethnicity,white,8,biodiversity,241.359923836545,1296
ethnicity,white,0,safety,1579.3024396024134,2771
ethnicity,white,1,safety,1779.1293392809025,1968
ethnicity,white,2,safety,896.9373412631071,1356
ethnicity,white,3,safety,1758.5160481697483,1671
ethnicity,white,4,safety,1957.6325880841475,1783
ethnicity,white,5,safety,-672.9428430513592,1408
ethnicity,white,6,safety,488.95154294126536,2150
ethnicity,white,7,safety,2015.940725859208,1698
ethnicity,white,8,safety,2155.9015568590385,1633
ethnicity,other,0,living,1730.491086852823,115
ethnicity,other,1,living,1434.5077816750945,272
ethnicity,other,2,living,1345.9832746210145,244
ethnicity,other,3,living,1591.915690113854,274
ethnicity,other,4,living,1408.1064380335708,284
ethnicity,other,5,living,1632.942225538184,253
ethnicity,other,6,living,1167.6742403474586,240
ethnicity,other,7,living,1690.5505060650196,245
ethnicity,other,8,living,1483.159848841766,149
ethnicity,other,0,biodiversity,1565.513461664182,195
ethnicity,other,1,biodiversity,1235.7419386729198,184
ethnicity,other,2,biodiversity,1676.2604420446842,157
ethnicity,other,3,biodiversity,1361.860136175382,201
ethnicity,other,4,biodiversity,1761.2199924154504,210
ethnicity,other,5,biodiversity,1659.321138084744,175
ethnicity,other,6,biodiversity,1285.479885312279,183
ethnicity,other,7,biodiversity,1104.3384922776074,154
ethnicity,other,8,biodiversity,1269.5589050086953,169
ethnicity,other,0,safety,1736.9943865057298,311
ethnicity,other,1,safety,1439.723893170849,208
ethnicity,other,2,safety,1525.1750899410076,135
ethnicity,other,3,safety,1280.4651215496278,200
ethnicity,other,4,safety,1284.0170902830964,180
ethnicity,other,5,safety,1688.8352216437152,173
ethnicity,other,6,safety,1655.461813816623,258
ethnicity,other,7,safety,1632.789848215408,239
ethnicity,other,8,safety,1374.9392304896003,272
education,sixteen,0,living,1659.8978565340242,103
education,sixteen,1,living,1227.909696668555,137
education,sixteen,2,living,1572.089798712518,180
education,sixteen,3,living,1493.0474706191728,202
education,sixteen,4,living,1467.9084114651944,195
education,sixteen,5,living,1538.1352655167718,182
education,sixteen,6,living,1644.9195147693915,186
education,sixteen,7,living,1626.0548028523665,204
education,sixteen,8,living,1528.0555772956736,125
education,sixteen,0,biodiversity,1681.173844332302,147
education,sixteen,1,biodiversity,1561.9523991310998,139
