demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1220.8408633260171,1940
global,global,1,living,1032.8134849636365,2567
global,global,2,living,2102.4542096105356,1495
global,global,3,living,1911.0933717347218,2674
global,global,4,living,2280.735352530723,2666
global,global,5,living,274.7706872802714,1960
global,global,6,living,1699.814583265529,2680
global,global,7,living,1363.9222292878133,3157
global,global,8,living,1742.112990665403,3201
global,global,0,biodiversity,1577.4855041310955,2505
global,global,1,biodiversity,948.4171243312567,2540
global,global,2,biodiversity,1155.257294710502,2034
global,global,3,biodiversity,2098.9477709582393,2985
global,global,4,biodiversity,2318.3101715903263,2438
global,global,5,biodiversity,714.5716297898676,2760
global,global,6,biodiversity,2251.213998174202,2963
global,global,7,biodiversity,2033.6946964192773,1946
global,global,8,biodiversity,1954.6867898134271,3143
global,global,0,safety,1652.6321166149976,1820
global,global,1,safety,2023.5066904410703,2244
global,global,2,safety,577.5897651837032,1589
global,global,3,safety,1013.1167094089566,2305
global,global,4,safety,1443.978904114013,2231
global,global,5,safety,682.5330078966979,2015
global,global,6,safety,2168.668464713917,1098
global,global,7,safety,1940.207690239288,1949
global,global,8,safety,1227.7163631246258,2395
gender,man,0,living,611.3656717422205,954
gender,man,1,living,917.934959220684,1266
gender,man,2,living,1997.0107980017547,802
gender,man,3,living,1681.1627699425637,1309
gender,man,4,living,1901.9337332363766,1456
gender,man,5,living,1749.471963488765,1124
gender,man,6,living,2035.5444238055945,1310
gender,man,7,living,1145.4220181289154,1574
gender,man,8,living,1402.1499761229823,1609
gender,man,0,biodiversity,1558.8657508511221,1322
gender,man,1,biodiversity,1338.3290275512438,1274
gender,man,2,biodiversity,1596.8256743170655,1004
gender,man,3,biodiversity,1534.6000965171133,1517
gender,man,4,biodiversity,1800.112115594848,1246
gender,man,5,biodiversity,1514.6614517227351,1417
gender,man,6,biodiversity,2006.3802309915577,1479
gender,man,7,biodiversity,2025.4837333033117,1056
gender,man,8,biodiversity,1943.4426268518969,1591
gender,man,0,safety,832.1022951666295,961
gender,man,1,safety,1695.086136142574,1223
gender,man,2,safety,1136.2727858757924,814
gender,man,3,safety,1788.4716689127747,1148
gender,man,4,safety,1485.172069403218,1148
gender,man,5,safety,1089.9632478358456,1009
gender,man,6,safety,1982.8278993952015,603
gender,man,7,safety,1754.8200848967535,995
gender,man,8,safety,1816.0142143315236,1213
gender,woman,0,living,1747.5569798033707,850
gender,woman,1,living,1265.7915761870572,1027
gender,woman,2,living,1537.6662032840634,613
gender,woman,3,living,1514.3227490851236,1112
gender,woman,4,living,2050.986004091758,981
gender,woman,5,living,408.117387549212,759
gender,woman,6,living,1243.9750359270547,1077
gender,woman,7,living,1678.2891671708142,1301
gender,woman,8,living,1603.0236823437474,1250
gender,woman,0,biodiversity,785.8324871021375,938
gender,woman,1,biodiversity,262.48535785219764,993
gender,woman,2,biodiversity,969.6394127506788,825
gender,woman,3,biodiversity,1807.2145179262654,1168
gender,woman,4,biodiversity,1452.117694540418,984
gender,woman,5,biodiversity,1727.0280025553354,1095
gender,woman,6,biodiversity,1929.3525410267255,1193
gender,woman,7,biodiversity,1835.6605607294457,735
gender,woman,8,biodiversity,1951.0902446035936,1221
gender,woman,0,safety,1759.9013853729207,737
gender,woman,1,safety,1915.7300310964422,891
gender,woman,2,safety,1666.8208226424608,653
gender,woman,3,safety,1539.8560350983425,986
gender,woman,4,safety,1574.5348665698923,925
gender,woman,5,safety,1588.5577198276694,884
gender,woman,6,safety,1742.431723070788,443
gender,woman,7,safety,1111.8137477319253,822
gender,woman,8,safety,1434.2216667041037,1005
gender,other,0,living,1467.0208606129,11
gender,other,1,living,1498.1125251023875,14
gender,other,2,living,1569.9510982667698,10
gender,other,3,living,1451.8819534634786,10
gender,other,4,living,1533.6942462398579,13
gender,other,5,living,1476.0798009222979,10
gender,other,6,living,1547.92928222757,10
gender,other,7,living,1424.8924862253089,12
gender,other,8,living,1519.5423750323928,12
gender,other,0,biodiversity,1561.580507642112,13
gender,other,1,biodiversity,1499.6418345825407,12
gender,other,2,biodiversity,1548.4673452536165,10
gender,other,3,biodiversity,1412.462718291153,11
gender,other,4,biodiversity,1488.163504808661,15
gender,other,5,biodiversity,1535.9960993429718,15
gender,other,6,biodiversity,1470.6611167809403,18
gender,other,7,biodiversity,1437.4751992876584,9
gender,other,8,biodiversity,1535.94945738735,15
gender,other,0,safety,1488.1465290095482,13
gender,other,1,safety,1558.6543565497407,17
gender,other,2,safety,1452.6854522202962,14
gender,other,3,safety,1516.0625110936173,13
gender,other,4,safety,1499.8223487017895,10
gender,other,5,safety,1439.9970752368813,5
gender,other,6,safety,1548.4370138906547,14
gender,other,7,safety,1535.955023117817,13
gender,other,8,safety,1468.415813541521,19
age,younger,0,living,733.8934891551088,507
age,younger,1,living,1599.9404610778176,658
age,younger,2,living,1680.4415261746944,438
age,younger,3,living,967.6883427384155,764
age,younger,4,living,1904.0733295318664,683
age,younger,5,living,926.2004775893738,540
age,younger,6,living,1837.3386582279597,691
age,younger,7,living,1357.4902271340945,881
age,younger,8,living,1767.7129884935796,842
age,younger,0,biodiversity,1462.1067646124195,734
age,younger,1,biodiversity,1885.5975847832,733
age,younger,2,biodiversity,1496.6036261329757,562
age,younger,3,biodiversity,1639.2966228212058,814
age,younger,4,biodiversity,1317.3259364050793,711
age,younger,5,biodiversity,1534.58977388675,792
age,younger,6,biodiversity,1519.766258488968,814
age,younger,7,biodiversity,1789.2138233399237,527
age,younger,8,biodiversity,1915.461249354457,867
age,younger,0,safety,1586.7549732833063,566
age,younger,1,safety,1727.7858523752927,690
age,younger,2,safety,1242.2112246474708,437
age,younger,3,safety,1409.9450201601778,701
age,younger,4,safety,1919.3765833236118,623
age,younger,5,safety,832.5846490554413,573
age,younger,6,safety,1759.848852702244,327
age,younger,7,safety,1469.9068831530162,571
age,younger,8,safety,1498.604883306139,736
