demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,885.023473188347,2852
global,global,1,living,1358.021148213903,2639
global,global,2,living,561.5094046369486,2426
global,global,3,living,2357.2638289506767,2363
global,global,4,living,831.8192979004275,2646
global,global,5,living,1637.8844234111543,2494
global,global,6,living,2181.486228773661,2424
global,global,7,living,1702.3125848483144,2742
global,global,8,living,970.7310392436264,2424
global,global,0,biodiversity,475.4323103341725,1319
global,global,1,biodiversity,1816.3896839414062,2126
global,global,2,biodiversity,253.83050265337172,2732
global,global,3,biodiversity,815.2015358678983,1842
global,global,4,biodiversity,1641.8823158363666,2445
global,global,5,biodiversity,989.1707745798153,2190
global,global,6,biodiversity,2044.711370937291,2001
global,global,7,biodiversity,2179.4852850133407,1491
global,global,8,biodiversity,1469.7774254458614,2542
global,global,0,safety,1734.2578406300747,2620
global,global,1,safety,1059.3895611768453,2164
global,global,2,safety,2220.7022015940624,2419
global,global,3,safety,2176.9891736743143,1987
global,global,4,safety,1156.332101189928,2897
global,global,5,safety,1511.4763126371026,2147
global,global,6,safety,2092.84943158767,2342
global,global,7,safety,78.87841598904271,2578
global,global,8,safety,1686.8697818343928,2448
gender,man,0,living,1300.1362531505415,1424
gender,man,1,living,1827.051106581136,1365
gender,man,2,living,1212.618324249454,1279
gender,man,3,living,1984.3039010281868,1288
gender,man,4,living,1642.6924579112026,1383
gender,man,5,living,1903.8660017320447,1259
gender,man,6,living,2082.665444330212,1253
gender,man,7,living,2022.3359965650752,1419
gender,man,8,living,1347.520902892938,1276
gender,man,0,biodiversity,1449.6165425169468,717
gender,man,1,biodiversity,1885.08786669433,1121
gender,man,2,biodiversity,664.7163159678197,1350
gender,man,3,biodiversity,1046.5448683949444,920
gender,man,4,biodiversity,1419.4110175293354,1260
gender,man,5,biodiversity,998.4600728428848,1161
gender,man,6,biodiversity,1820.131554254133,983
gender,man,7,biodiversity,1942.6353339105844,743
gender,man,8,biodiversity,1302.6126918073005,1267
gender,man,0,safety,1565.0200812517999,1282
gender,man,1,safety,997.0565766554777,1109
gender,man,2,safety,1992.5696420038273,1131
gender,man,3,safety,1780.2640466673913,1057
gender,man,4,safety,1073.227496377745,1520
gender,man,5,safety,1327.1666618351078,1075
gender,man,6,safety,2041.7348402875214,1189
gender,man,7,safety,411.98467923318566,1338
gender,man,8,safety,830.8619979598182,1255
gender,woman,0,living,1570.6736041365757,1174
gender,woman,1,living,1070.6430031920752,1039
gender,woman,2,living,1212.296782140607,1003
gender,woman,3,living,2055.8801758182176,910
gender,woman,4,living,1675.3993649663732,1016
gender,woman,5,living,1712.606186048719,1022
