demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,412.4099868435576,1525
global,global,1,living,2194.397601432236,2474
global,global,2,living,1599.085092544915,3003
global,global,3,living,1635.9868924143648,2923
global,global,4,living,1061.95975411028,2904
global,global,5,living,2268.416865891155,2546
global,global,6,living,2139.6194160421082,2880
global,global,7,living,1403.627200169812,2802
global,global,8,living,2021.2016637046397,2447
global,global,0,biodiversity,2079.3223603954325,2999
global,global,1,biodiversity,1126.5970606698784,2700
global,global,2,biodiversity,1422.705702494955,1954
global,global,3,biodiversity,1708.5252801693184,2888
global,global,4,biodiversity,1602.714203120573,2956
global,global,5,biodiversity,1067.2904096703287,3083
global,global,6,biodiversity,2220.6508550366425,2498
global,global,7,biodiversity,350.9529773740032,2506
global,global,8,biodiversity,2347.170642990386,1812
global,global,0,safety,1125.1953493585902,1962
global,global,1,safety,188.9553266738735,1360
global,global,2,safety,1791.914748589855,2097
global,global,3,safety,1329.2286727618084,1739
global,global,4,safety,1152.8345884373598,1936
global,global,5,safety,1574.3078826598726,1963
global,global,6,safety,2095.8442508858107,2208
global,global,7,safety,2229.422467538831,1321
global,global,8,safety,1923.18762444925,1814
gender,man,0,living,681.0324378595195,781
gender,man,1,living,2082.284815371494,1215
gender,man,2,living,1583.8197463367073,1541
gender,man,3,living,1454.6771140192172,1541
gender,man,4,living,1814.5166499520242,1440
gender,man,5,living,1994.9282245910385,1344
gender,man,6,living,1752.7307268557518,1549
gender,man,7,living,1888.0351877867022,1454
gender,man,8,living,1554.3916879121898,1245
gender,man,0,biodiversity,1950.85073548959,1534
gender,man,1,biodiversity,1723.1629155655098,1350
gender,man,2,biodiversity,1373.3846945186206,902
gender,man,3,biodiversity,2011.4127423199632,1407
gender,man,4,biodiversity,1413.6702196991541,1439
gender,man,5,biodiversity,784.4090594905233,1618
gender,man,6,biodiversity,1683.2003414354967,1236
gender,man,7,biodiversity,-204.67142218572147,1231
gender,man,8,biodiversity,2065.685721047248,907
gender,man,0,safety,595.5818648847111,955
gender,man,1,safety,1011.9205766540325,746
gender,man,2,safety,1224.4691905839452,1075
gender,man,3,safety,1787.0776374539776,950
gender,man,4,safety,1783.125135834304,1052
gender,man,5,safety,1548.640278617435,1036
gender,man,6,safety,1936.2859813950804,1231
gender,man,7,safety,1990.9230198868934,729
gender,man,8,safety,1819.8684736870591,916
gender,woman,0,living,1606.5704796566974,693
gender,woman,1,living,1872.799082324647,1054
gender,woman,2,living,1730.3135220703573,1226
gender,woman,3,living,1848.2707499974167,1168
gender,woman,4,living,1242.8567190769145,1152
gender,woman,5,living,1993.1901492116622,1030
gender,woman,6,living,2061.5310411114956,1119
gender,woman,7,living,471.79829150796763,1107
gender,woman,8,living,1413.2502270020445,1055
gender,woman,0,biodiversity,1493.0696341717614,1199
gender,woman,1,biodiversity,982.9908025447107,1106
gender,woman,2,biodiversity,1059.4999536362277,751
gender,woman,3,biodiversity,1221.1292933840577,1150
gender,woman,4,biodiversity,1691.0969969577238,1265
gender,woman,5,biodiversity,1910.0279376345572,1214
gender,woman,6,biodiversity,1733.693218374171,1002
gender,woman,7,biodiversity,1887.73637763661,962
gender,woman,8,biodiversity,1997.7513803944446,763
gender,woman,0,safety,1597.0645867665614,851
gender,woman,1,safety,817.4590652812727,569
gender,woman,2,safety,1396.6858711338375,832
gender,woman,3,safety,1051.876089384906,679
gender,woman,4,safety,495.39054601518257,723
gender,woman,5,safety,1940.442802750599,722
gender,woman,6,safety,1675.452135632327,830
gender,woman,7,safety,1798.5822875569274,515
gender,woman,8,safety,1754.7971402005799,731
gender,other,0,living,1487.8746717135173,9
gender,other,1,living,1524.3344446200142,20
gender,other,2,living,1462.875671157508,17
gender,other,3,living,1436.8724964541723,21
gender,other,4,living,1428.7855178331597,14
gender,other,5,living,1501.658880720839,16
gender,other,6,living,1569.5606268142976,8
gender,other,7,living,1548.0993733016549,12
gender,other,8,living,1536.148658664829,11
gender,other,0,biodiversity,1548.7237931214786,10
gender,other,1,biodiversity,1450.8690641213059,10
gender,other,2,biodiversity,1501.1719676822265,12
gender,other,3,biodiversity,1440.056898526049,5
gender,other,4,biodiversity,1512.1368195985485,15
gender,other,5,biodiversity,1471.8412621158595,16
gender,other,6,biodiversity,1560.032379242456,15
gender,other,7,biodiversity,1539.317548450987,13
gender,other,8,biodiversity,1476.4157398650377,8
gender,other,0,safety,1587.61065646037,14
gender,other,1,safety,1475.139841874216,12
gender,other,2,safety,1463.8547713814773,7
gender,other,3,safety,1523.9991613490868,18
gender,other,4,safety,1513.1593138886378,9
gender,other,5,safety,1427.3487641684387,10
gender,other,6,safety,1444.5573980202064,10
gender,other,7,safety,1499.5642461804596,16
gender,other,8,safety,1547.2293011154923,10
age,younger,0,living,1263.92628051542,443
age,younger,1,living,1301.8892435908956,751
age,younger,2,living,1619.5157184919335,876
age,younger,3,living,1642.2421199445982,819
age,younger,4,living,426.0632001280338,743
age,younger,5,living,1899.6273751591434,747
age,younger,6,living,1877.8864047177108,903
age,younger,7,living,1483.2149835830562,822
age,younger,8,living,1844.2530856748212,668
age,younger,0,biodiversity,1867.969004703126,800
age,younger,1,biodiversity,767.2923578488711,723
age,younger,2,biodiversity,1202.553174268549,485
age,younger,3,biodiversity,1614.0573090384482,731
age,younger,4,biodiversity,1470.3797833199085,849
age,younger,5,biodiversity,1428.2182256879553,815
age,younger,6,biodiversity,1823.3663181319214,677
age,younger,7,biodiversity,1686.8501649930467,658
age,younger,8,biodiversity,1919.6162683500017,478
age,younger,0,safety,1761.0441613973321,536
age,younger,1,safety,1334.5162927162407,482
age,younger,2,safety,1615.1869691448917,558
age,younger,3,safety,1526.2359387641231,519
age,younger,4,safety,1513.0697739983257,567
age,younger,5,safety,1788.0960206357008,535
age,younger,6,safety,1683.4422815394144,681
age,younger,7,safety,1600.4228786161004,429
age,younger,8,safety,1839.7444427449568,487
age,middle,0,living,1047.4151699395127,651
age,middle,1,living,2029.7419835208025,998
age,middle,2,living,1139.0354123853076,1330
age,middle,3,living,892.0188366674872,1285
age,middle,4,living,1945.5073689060087,1243
age,middle,5,living,1435.6167544269708,1094
age,middle,6,living,1988.2144842589291,1233
age,middle,7,living,1602.4669385350828,1157
age,middle,8,living,953.8962713648841,1131
age,middle,0,biodiversity,1762.9819424484476,1260
age,middle,1,biodiversity,1810.287433786128,1161
age,middle,2,biodiversity,1170.8775277427144,802
age,middle,3,biodiversity,2047.0017548398916,1256
age,middle,4,biodiversity,1386.4307673127885,1239
age,middle,5,biodiversity,1683.092671410249,1367
age,middle,6,biodiversity,1998.118109138602,1037
age,middle,7,biodiversity,19.786945338269675,1032
age,middle,8,biodiversity,1726.1205991313304,784
age,middle,0,safety,914.720114227343,784
age,middle,1,safety,960.8701653605328,521
age,middle,2,safety,1678.7533417117554,844
age,middle,3,safety,1174.7461373163649,709
age,middle,4,safety,1425.777354416758,777
age,middle,5,safety,1297.6200158396189,827
age,middle,6,safety,1716.0046635703868,916
age,middle,7,safety,1986.1959808947674,514
age,middle,8,safety,1483.4255058731067,796
age,older,0,living,1690.1672311757804,376
age,older,1,living,1739.622219337883,533
age,older,2,living,1380.5290711505068,570
age,older,3,living,1421.9739959498543,622
age,older,4,living,1839.2199961531348,612
age,older,5,living,1806.4154815309575,544
age,older,6,living,1156.869716609994,533
age,older,7,living,1075.4565879033476,587
age,older,8,living,1637.5934233569628,501
age,older,0,biodiversity,1714.771470961821,679
age,older,1,biodiversity,1410.155604639362,573
age,older,2,biodiversity,1664.6739043623797,377
age,older,3,biodiversity,661.6815951015717,567
age,older,4,biodiversity,1752.414420320222,618
age,older,5,biodiversity,1512.9112805895322,658
age,older,6,biodiversity,1490.1268877470143,537
age,older,7,biodiversity,1686.7108748986304,505
age,older,8,biodiversity,1788.0422998712877,416
age,older,0,safety,1697.6329374635425,493
age,older,1,safety,1506.0884521029639,321
age,older,2,safety,1518.3305272284265,512
age,older,3,safety,1657.5243961101105,411
age,older,4,safety,1391.4309803016367,436
age,older,5,safety,1751.5443629243211,398
age,older,6,safety,1791.0860466627953,465
age,older,7,safety,1610.1167994261605,311
age,older,8,safety,1448.604235298965,373
ethnicity,white,0,living,1197.708427949147,1255
ethnicity,white,1,living,1999.5589498104111,1917
ethnicity,white,2,living,1324.576232948367,2393
ethnicity,white,3,living,2075.7850836073817,2371
ethnicity,white,4,living,1760.9386507201875,2230
ethnicity,white,5,living,2285.5839509405287,2052
ethnicity,white,6,living,1894.201805412398,2247
ethnicity,white,7,living,656.2414990992932,2213
ethnicity,white,8,living,1434.6454199004993,1966
ethnicity,white,0,biodiversity,1832.814245996167,2396
ethnicity,white,1,biodiversity,500.60678278916066,2138
ethnicity,white,2,biodiversity,730.4485988139893,1452
ethnicity,white,3,biodiversity,1778.1545375005096,2228
ethnicity,white,4,biodiversity,1081.3175045714083,2317
ethnicity,white,5,biodiversity,1662.355546596133,2439
ethnicity,white,6,biodiversity,2119.8509212090994,1978
ethnicity,white,7,biodiversity,456.181112327018,1919
ethnicity,white,8,biodiversity,2172.6608248381135,1419
ethnicity,white,0,safety,1111.0973959543926,1581
ethnicity,white,1,safety,1046.0282447423908,1126
ethnicity,white,2,safety,1631.0995681038755,1669
ethnicity,white,3,safety,754.7310151890973,1426
ethnicity,white,4,safety,1237.4096197220156,1560
ethnicity,white,5,safety,1903.0065656774086,1550
ethnicity,white,6,safety,1920.854510903626,1777
ethnicity,white,7,safety,2116.1008565148795,1081
ethnicity,white,8,safety,1994.109115557372,1460
ethnicity,other,0,living,1401.7779086424491,166
ethnicity,other,1,living,1567.9770595124114,280
ethnicity,other,2,living,1628.502978209165,290
ethnicity,other,3,living,1147.7097039332434,258
ethnicity,other,4,living,1360.3705516658476,253
ethnicity,other,5,living,1720.8281891512804,239
ethnicity,other,6,living,1603.7277880584809,312
ethnicity,other,7,living,1759.3133853369134,255
ethnicity,other,8,living,1421.020964710599,245
ethnicity,other,0,biodiversity,1537.715934221514,244
ethnicity,other,1,biodiversity,1738.1496903672032,213
ethnicity,other,2,biodiversity,1592.726130694815,158
ethnicity,other,3,biodiversity,1514.1542558217384,222
ethnicity,other,4,biodiversity,1561.096221083639,291
ethnicity,other,5,biodiversity,1466.0712959799655,289
ethnicity,other,6,biodiversity,1277.00417690623,190
ethnicity,other,7,biodiversity,1677.6373439127779,193
ethnicity,other,8,biodiversity,1485.1028089268154,188
ethnicity,other,0,safety,1563.7995317987882,171
ethnicity,other,1,safety,1206.7653157978887,156
ethnicity,other,2,safety,1535.7701160807449,169
ethnicity,other,3,safety,1746.4206806214718,148
ethnicity,other,4,safety,1188.124248509044,148
ethnicity,other,5,safety,1482.317786632182,150
ethnicity,other,6,safety,1701.6955746081621,197
ethnicity,other,7,safety,1354.4624279630125,128
ethnicity,other,8,safety,1448.5178219072695,127
education,sixteen,0,living,1657.3057226663107,102
education,sixteen,1,living,1446.89592076163,166
education,sixteen,2,living,799.7152199310078,141
education,sixteen,3,living,1567.93572573092,178
education,sixteen,4,living,992.9356847817169,159
education,sixteen,5,living,1611.2390458498567,168
education,sixteen,6,living,1366.0504814902092,162
education,sixteen,7,living,1631.2164900374642,201
education,sixteen,8,living,1683.3531894881537,121
education,sixteen,0,biodiversity,1568.4256487986618,201
education,sixteen,1,biodiversity,1611.6315020641866,188
education,sixteen,2,biodiversity,1216.3338286485832,83
education,sixteen,3,biodiversity,1074.5957906079261,169
education,sixteen,4,biodiversity,1497.0033171362916,158
education,sixteen,5,biodiversity,1711.9542619359725,205
education,sixteen,6,biodiversity,1519.8443748808647,142
education,sixteen,7,biodiversity,1680.646414730968,134
education,sixteen,8,biodiversity,1455.0892549616435,126
education,sixteen,0,safety,1576.5122805998644,160
education,sixteen,1,safety,1465.7079170492073,137
education,sixteen,2,safety,1442.5147752125156,157
education,sixteen,3,safety,1554.5307473517971,155
education,sixteen,4,safety,1495.6828737594983,160
education,sixteen,5,safety,1531.276288292802,147
education,sixteen,6,safety,1712.1027814132392,123
education,sixteen,7,safety,1609.4055333724925,111
education,sixteen,8,safety,1329.696294260833,118
education,eighteen,0,living,1394.7116030249408,307
education,eighteen,1,living,1637.5164976662977,351
education,eighteen,2,living,1497.1959930064918,546
education,eighteen,3,living,479.8281904139421,499
education,eighteen,4,living,1841.495329095433,444
education,eighteen,5,living,1787.4085666390642,388
education,eighteen,6,living,1435.4981216440935,499
education,eighteen,7,living,723.6119930913451,505
education,eighteen,8,living,1300.7431290598238,437
education,eighteen,0,biodiversity,1804.1810505008814,543
education,eighteen,1,biodiversity,1006.1946243653186,406
education,eighteen,2,biodiversity,1604.7280749173158,338
education,eighteen,3,biodiversity,1776.1228291301343,419
education,eighteen,4,biodiversity,1506.7173802038433,480
education,eighteen,5,biodiversity,1107.4767343085116,495
education,eighteen,6,biodiversity,1668.9735772866131,448
education,eighteen,7,biodiversity,1553.2194906462987,443
education,eighteen,8,biodiversity,1634.8561145275505,312
education,eighteen,0,safety,1769.432624099589,318
education,eighteen,1,safety,1533.6651948085214,251
education,eighteen,2,safety,1467.4360500470032,348
education,eighteen,3,safety,829.7199013361401,289
education,eighteen,4,safety,1391.0918696450226,362
education,eighteen,5,safety,1643.169373545238,298
education,eighteen,6,safety,1248.945129300253,359
education,eighteen,7,safety,1732.9262299755962,241
education,eighteen,8,safety,1586.9722423344526,316
education,older,0,living,607.8076234049192,1045
education,older,1,living,2102.4365992802245,1752
education,older,2,living,2138.7445180148766,2062
education,older,3,living,1980.4947823367809,2022
education,older,4,living,397.14493821226483,1969
education,older,5,living,2025.3488743005764,1815
education,older,6,living,2161.6835346022403,1985
education,older,7,living,1947.6503129872438,1844
education,older,8,living,1296.648360551778,1728
education,older,0,biodiversity,1438.5014910887865,1959
education,older,1,biodiversity,1147.818168119072,1848
education,older,2,biodiversity,1017.9000921132371,1219
