demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1635.8628000750957,1852
global,global,1,living,1352.8082376838997,1804
global,global,2,living,-103.70771791739618,1091
global,global,3,living,2176.0362732216063,1716
global,global,4,living,688.8090784873126,2160
global,global,5,living,2057.5195017808815,1875
global,global,6,living,1241.7136148653642,1817
global,global,7,living,16.921531222891034,2251
global,global,8,living,1923.051321713053,1316
global,global,0,biodiversity,2509.135022574971,2912
global,global,1,biodiversity,1488.5003430021475,2600
global,global,2,biodiversity,1993.3222815808822,3270
global,global,3,biodiversity,1052.7136276545825,3208
global,global,4,biodiversity,2188.470229511229,2895
global,global,5,biodiversity,744.2712087519574,2033
global,global,6,biodiversity,2097.758786636713,3102
global,global,7,biodiversity,1831.2861148885916,3228
global,global,8,biodiversity,-731.2836924896575,1584
global,global,0,safety,1203.8326222465375,3096
global,global,1,safety,929.8983508393878,2759
global,global,2,safety,2182.342641819129,3167
global,global,3,safety,989.3685380569918,2358
global,global,4,safety,2108.2611886240625,2448
global,global,5,safety,2379.191813361619,2361
global,global,6,safety,1308.933019919718,2172
global,global,7,safety,620.6408220599728,2009
global,global,8,safety,1661.9319847282713,2216
gender,man,0,living,1844.1325501462518,965
gender,man,1,living,1212.6560529956269,878
gender,man,2,living,1118.04958916151,570
gender,man,3,living,1883.5925394184753,874
gender,man,4,living,1753.876692901335,1149
gender,man,5,living,1968.1872838968775,948
gender,man,6,living,1796.702708109519,925
gender,man,7,living,908.6154954584018,1151
gender,man,8,living,1706.8295662917317,670
gender,man,0,biodiversity,2111.3826822291408,1536
gender,man,1,biodiversity,974.1955316571015,1376
gender,man,2,biodiversity,1953.6085350764442,1698
gender,man,3,biodiversity,1536.7411225480569,1644
gender,man,4,biodiversity,2058.2431301557526,1456
gender,man,5,biodiversity,668.5290367425735,1070
gender,man,6,biodiversity,1240.92773944739,1556
gender,man,7,biodiversity,1853.8104923767617,1625
gender,man,8,biodiversity,635.0650280827053,855
gender,man,0,safety,1508.6502653203747,1591
gender,man,1,safety,563.9465159374026,1410
gender,man,2,safety,2037.8911421615283,1543
gender,man,3,safety,1391.1852423458915,1194
gender,man,4,safety,1807.2220600881967,1291
gender,man,5,safety,1503.0107541630393,1257
gender,man,6,safety,2055.6005572597783,1002
gender,man,7,safety,1290.0281058254773,1095
gender,man,8,safety,1936.7572794926684,1095
gender,woman,0,living,1547.3331679229116,740
gender,woman,1,living,1632.6294739568698,768
gender,woman,2,living,1156.0697820900002,468
gender,woman,3,living,1904.8434725469688,671
gender,woman,4,living,331.1619675822289,821
gender,woman,5,living,1586.4841959499452,736
gender,woman,6,living,1008.6724498170552,736
gender,woman,7,living,920.5747356922318,922
gender,woman,8,living,1863.5220607660767,464
gender,woman,0,biodiversity,1968.0525025854915,1174
gender,woman,1,biodiversity,1916.7894237238881,1014
gender,woman,2,biodiversity,1363.2076912562209,1379
gender,woman,3,biodiversity,1243.7103519479251,1294
gender,woman,4,biodiversity,1536.9797678381694,1143
gender,woman,5,biodiversity,1792.382983496523,889
gender,woman,6,biodiversity,2043.4962530980174,1275
gender,woman,7,biodiversity,1715.3669208237125,1373
gender,woman,8,biodiversity,589.7316991010356,655
gender,woman,0,safety,845.0302684198678,1231
gender,woman,1,safety,1445.8264256299385,1083
gender,woman,2,safety,1499.5211213842013,1252
gender,woman,3,safety,1213.0522920411013,988
gender,woman,4,safety,1706.7979497156848,915
gender,woman,5,safety,2031.352892633405,834
gender,woman,6,safety,1373.5425753849859,950
gender,woman,7,safety,1121.2712646962725,830
gender,woman,8,safety,1666.8546793611204,863
gender,other,0,living,1500.472951627159,12
gender,other,1,living,1453.3488626413484,10
gender,other,2,living,1438.7028281427324,5
gender,other,3,living,1475.6157800185943,12
gender,other,4,living,1512.4116522463619,15
gender,other,5,living,1571.5882715094267,6
gender,other,6,living,1535.6609183051135,15
gender,other,7,living,1488.4036840935557,13
gender,other,8,living,1523.9994444151187,8
gender,other,0,biodiversity,1453.6961891953433,12
gender,other,1,biodiversity,1550.3244957295597,14
gender,other,2,biodiversity,1463.7264758453932,13
gender,other,3,biodiversity,1426.6716184787176,12
gender,other,4,biodiversity,1521.4866542947761,14
gender,other,5,biodiversity,1513.70608751413,15
gender,other,6,biodiversity,1484.6397750449155,15
gender,other,7,biodiversity,1581.7418525090268,15
gender,other,8,biodiversity,1499.554252000751,12
gender,other,0,safety,1536.9876898025361,17
gender,other,1,safety,1498.1646946489564,14
gender,other,2,safety,1572.713864577452,10
gender,other,3,safety,1474.2102993746935,18
gender,other,4,safety,1454.7652811324863,18
gender,other,5,safety,1539.5626382686758,17
gender,other,6,safety,1487.8631551810147,9
gender,other,7,safety,1502.3856285187198,10
gender,other,8,safety,1439.9978502974375,7
age,younger,0,living,1838.7225842162295,484
age,younger,1,living,1409.5935576371355,514
age,younger,2,living,1224.241328376203,308
age,younger,3,living,1308.5793607231817,534
age,younger,4,living,1621.676634736368,560
age,younger,5,living,1526.944380435023,486
age,younger,6,living,1780.2149098312275,486
age,younger,7,living,1099.1139077015623,635
age,younger,8,living,1730.8713953231531,377
age,younger,0,biodiversity,1770.0124074665475,824
age,younger,1,biodiversity,1490.6413168873808,825
age,younger,2,biodiversity,1895.4611988026975,971
age,younger,3,biodiversity,1363.3414503459896,929
age,younger,4,biodiversity,1853.1610742685643,730
age,younger,5,biodiversity,1663.8252597560024,655
age,younger,6,biodiversity,702.6263244942712,815
age,younger,7,biodiversity,1928.9434256577972,931
age,younger,8,biodiversity,1301.293265428027,432
age,younger,0,safety,930.1483862017155,866
age,younger,1,safety,1435.3447444673423,808
age,younger,2,safety,1888.2223891211713,846
age,younger,3,safety,1196.8676291292134,640
age,younger,4,safety,967.6621420870212,717
age,younger,5,safety,1804.2346219801125,629
age,younger,6,safety,1629.939454104927,535
age,younger,7,safety,1696.403203062255,594
age,younger,8,safety,1843.4737541590462,651
age,middle,0,living,1542.3878217377237,788
age,middle,1,living,1462.7033660625668,787
age,middle,2,living,830.8332640709649,484
age,middle,3,living,1966.2674563821895,662
age,middle,4,living,1507.0023269419694,982
age,middle,5,living,1757.5804467890887,787
age,middle,6,living,1581.443128750529,770
age,middle,7,living,1363.2340259268897,973
age,middle,8,living,1848.571981563519,523
age,middle,0,biodiversity,1883.8183317912417,1230
age,middle,1,biodiversity,1920.0969875393332,1031
age,middle,2,biodiversity,1636.5277852323063,1402
age,middle,3,biodiversity,1791.648173889211,1384
age,middle,4,biodiversity,1856.662137145088,1271
age,middle,5,biodiversity,1686.222112677367,928
age,middle,6,biodiversity,2044.45282745115,1302
age,middle,7,biodiversity,1032.7567887783591,1325
age,middle,8,biodiversity,1188.3590052943757,737
age,middle,0,safety,1358.5799278611116,1281
age,middle,1,safety,62.89283025603486,1094
age,middle,2,safety,1503.2953366408624,1320
age,middle,3,safety,1914.8736140546125,994
age,middle,4,safety,1886.3692770236712,1003
age,middle,5,safety,1764.611449352773,1016
age,middle,6,safety,1957.908046524432,952
age,middle,7,safety,553.4124956017768,863
age,middle,8,safety,1191.515045023207,859
age,older,0,living,1522.428472208984,447
age,older,1,living,1814.7920736737997,345
age,older,2,living,1262.150221926524,253
age,older,3,living,1657.6843632079024,351
age,older,4,living,1132.566014522607,441
age,older,5,living,1782.4197145474975,412
