demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,898.5060777372651,2824
global,global,1,living,1320.9940031528945,2462
global,global,2,living,1835.44487603799,2365
global,global,3,living,2121.710286814788,1509
global,global,4,living,1424.0060012017748,2267
global,global,5,living,2228.0712823364365,2298
global,global,6,living,1947.4985302749878,2374
global,global,7,living,100.32319942449158,1538
global,global,8,living,1126.290209861771,2571
global,global,0,biodiversity,2333.4893996111973,1860
global,global,1,biodiversity,2053.8987181047246,2951
global,global,2,biodiversity,1083.6773305819368,2297
global,global,3,biodiversity,1924.721647615598,2360
global,global,4,biodiversity,499.92252334974194,2495
global,global,5,biodiversity,1009.9398535571298,2371
global,global,6,biodiversity,1768.3757311049897,2746
global,global,7,biodiversity,1847.7926355665418,3212
global,global,8,biodiversity,1701.344675980063,2524
global,global,0,safety,947.6640911351003,2261
global,global,1,safety,548.0356439101072,2068
global,global,2,safety,2167.337677626256,2704
global,global,3,safety,2308.402185237011,2271
global,global,4,safety,2315.7251046388537,1972
global,global,5,safety,699.8603958422113,1262
global,global,6,safety,1629.984934853943,2521
global,global,7,safety,1927.620880545707,2406
global,global,8,safety,2009.4145165310345,2811
gender,man,0,living,1252.1333617272999,1447
gender,man,1,living,884.0041434665235,1195
gender,man,2,living,1833.0963489906496,1203
gender,man,3,living,1795.020259135088,866
gender,man,4,living,1972.6583073887414,1194
gender,man,5,living,1899.860986952643,1197
gender,man,6,living,2019.2609917905015,1188
gender,man,7,living,505.0279373839692,802
gender,man,8,living,1944.798687459391,1362
gender,man,0,biodiversity,2006.762907723795,936
gender,man,1,biodiversity,1743.420097193051,1521
gender,man,2,biodiversity,642.6271088611661,1184
gender,man,3,biodiversity,1906.3228615284809,1223
gender,man,4,biodiversity,1686.395658678801,1387
gender,man,5,biodiversity,595.7839559238582,1157
gender,man,6,biodiversity,1651.7085639495629,1333
gender,man,7,biodiversity,1775.0947268772056,1668
gender,man,8,biodiversity,2048.6427319164727,1335
gender,man,0,safety,625.728746861917,1172
gender,man,1,safety,1148.706695771951,1093
gender,man,2,safety,851.2846479133142,1355
gender,man,3,safety,1515.3424455323745,1142
gender,man,4,safety,2014.3013888059345,926
gender,man,5,safety,1078.3414499169512,723
gender,man,6,safety,1766.296192829098,1212
gender,man,7,safety,1297.8663552315497,1200
gender,man,8,safety,1681.0578580613294,1403
gender,woman,0,living,922.6301992111509,1187
gender,woman,1,living,1441.0465178873899,1068
gender,woman,2,living,1675.3620425375411,977
gender,woman,3,living,1973.1478524144666,544
gender,woman,4,living,1705.8854372379797,837
gender,woman,5,living,1752.14632257687,877
gender,woman,6,living,1492.1494419051178,972
gender,woman,7,living,838.6740834766395,625
gender,woman,8,living,432.88505895642345,1041
gender,woman,0,biodiversity,1950.9072268992518,800
gender,woman,1,biodiversity,1669.3147331656676,1175
gender,woman,2,biodiversity,2009.6410515524276,974
gender,woman,3,biodiversity,1778.706245197985,946
gender,woman,4,biodiversity,531.8409836366781,919
gender,woman,5,biodiversity,1508.6965257335075,1001
gender,woman,6,biodiversity,1870.1863899662178,1123
gender,woman,7,biodiversity,1575.5131953988841,1237
gender,woman,8,biodiversity,1382.4721820547236,1029
gender,woman,0,safety,1566.688356004032,950
gender,woman,1,safety,735.4132670920383,890
gender,woman,2,safety,1867.5985443842533,1069
gender,woman,3,safety,2006.3340013172744,897
gender,woman,4,safety,1041.1906287404038,786
gender,woman,5,safety,1228.8826352116075,499
gender,woman,6,safety,328.8629073936841,986
gender,woman,7,safety,1798.990508314507,956
gender,woman,8,safety,1810.8120213163556,1103
gender,other,0,living,1478.8481996032676,10
gender,other,1,living,1452.3026033176698,12
gender,other,2,living,1487.8189161732846,15
gender,other,3,living,1500.2884347942581,10
gender,other,4,living,1436.7661599587443,5
gender,other,5,living,1499.9947277577114,10
gender,other,6,living,1568.9488552507821,8
gender,other,7,living,1548.6970838942282,14
gender,other,8,living,1528.0886146604016,22
gender,other,0,biodiversity,1452.05687210459,10
gender,other,1,biodiversity,1559.585699413623,5
gender,other,2,biodiversity,1499.9369951815404,10
gender,other,3,biodiversity,1468.7680784902145,19
gender,other,4,biodiversity,1525.8743578869012,20
gender,other,5,biodiversity,1550.7935240868442,14
gender,other,6,biodiversity,1439.9999993471952,9
gender,other,7,biodiversity,1512.132882798257,17
gender,other,8,biodiversity,1500.1976698686906,14
gender,other,0,safety,1487.0861514534377,13
gender,other,1,safety,1390.5245914080149,8
gender,other,2,safety,1423.3333082356755,12
gender,other,3,safety,1461.83044704673,17
gender,other,4,safety,1524.338288919698,12
gender,other,5,safety,1499.0102964172263,16
gender,other,6,safety,1535.9694119627397,9
gender,other,7,safety,1582.7381503432998,20
gender,other,8,safety,1556.1514658171566,7
age,younger,0,living,1452.542166651298,730
age,younger,1,living,1623.5350518036782,659
age,younger,2,living,1790.72314481331,617
age,younger,3,living,1841.7658613099863,399
age,younger,4,living,1555.335135594726,684
age,younger,5,living,1285.546025143144,617
age,younger,6,living,1239.5900328906407,661
age,younger,7,living,1728.6126988931371,473
age,younger,8,living,648.0508833979094,734
age,younger,0,biodiversity,1635.8695146613234,575
age,younger,1,biodiversity,1670.801573325751,835
age,younger,2,biodiversity,1543.0689061176408,665
age,younger,3,biodiversity,1705.1801033670006,644
age,younger,4,biodiversity,1524.6028650906076,731
age,younger,5,biodiversity,584.3913736528197,603
age,younger,6,biodiversity,1975.5944770052718,792
age,younger,7,biodiversity,1787.4211560362116,917
age,younger,8,biodiversity,1765.1206210824369,724
age,younger,0,safety,601.9682674734015,624
age,younger,1,safety,1329.4164457174104,603
age,younger,2,safety,1534.3831286118775,738
age,younger,3,safety,1698.1131306380748,660
age,younger,4,safety,1809.2760471769068,567
age,younger,5,safety,1559.4402137507911,432
age,younger,6,safety,1582.1111155800108,660
age,younger,7,safety,1390.8189061589985,651
age,younger,8,safety,1955.5240393291213,787
age,middle,0,living,642.2962105770014,1242
age,middle,1,living,967.2574765630605,1033
age,middle,2,living,1732.2664213525723,1089
age,middle,3,living,2004.8043888481263,590
age,middle,4,living,1301.9202989467394,949
age,middle,5,living,1507.272401228943,965
age,middle,6,living,1690.7851450862336,986
age,middle,7,living,930.1100034364629,703
age,middle,8,living,1907.2541173956213,1123
age,middle,0,biodiversity,1953.4246765028574,729
age,middle,1,biodiversity,1979.3123439323504,1269
age,middle,2,biodiversity,1271.0036302009792,997
age,middle,3,biodiversity,1393.6550185379251,1073
age,middle,4,biodiversity,545.367580518789,1063
age,middle,5,biodiversity,1781.7274435957052,1035
age,middle,6,biodiversity,1527.4786836427636,1083
age,middle,7,biodiversity,1374.754873188705,1329
age,middle,8,biodiversity,1158.9134233348695,1102
age,middle,0,safety,1339.2126226291746,967
age,middle,1,safety,894.1623110404885,869
age,middle,2,safety,1988.7005076165624,1112
age,middle,3,safety,1713.5387740171825,928
age,middle,4,safety,1607.5666933979983,798
age,middle,5,safety,702.2886368936845,508
age,middle,6,safety,1939.865657429529,987
age,middle,7,safety,1836.331076331086,1053
age,middle,8,safety,1535.7423906525298,1166
age,older,0,living,1496.052951639192,668
age,older,1,living,1542.7187785228982,579
age,older,2,living,1258.2943486990505,478
age,older,3,living,1468.2701042371946,429
age,older,4,living,1824.1688546668138,400
age,older,5,living,1878.6111808833086,490
age,older,6,living,1707.330877420855,510
age,older,7,living,157.79288022736026,261
age,older,8,living,660.4427381453156,557
age,older,0,biodiversity,1798.666861176592,442
age,older,1,biodiversity,1348.6237389119706,588
age,older,2,biodiversity,1531.4055309587545,496
age,older,3,biodiversity,1762.1429894847488,463
age,older,4,biodiversity,1707.2856974188157,529
age,older,5,biodiversity,1432.7793621553565,526
age,older,6,biodiversity,1326.92876342534,573
age,older,7,biodiversity,1589.886809692153,672
age,older,8,biodiversity,1845.2540793196613,547
age,older,0,safety,1772.2813878468075,536
age,older,1,safety,1056.5244070420313,508
age,older,2,safety,1470.3915266896058,580
age,older,3,safety,1744.6634360383061,465
age,older,4,safety,1685.6871776697747,358
age,older,5,safety,1337.0554340390406,299
age,older,6,safety,1162.631303346176,561
