demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1718.4515022218077,2751
global,global,1,living,933.152345841544,2411
global,global,2,living,1490.5291129385282,2195
global,global,3,living,1119.67404461008,2779
global,global,4,living,320.6640998676842,2106
global,global,5,living,1882.547450583148,1950
global,global,6,living,1995.9259918958269,3143
global,global,7,living,2327.1359992268144,2282
global,global,8,living,2208.8113102733637,2455
global,global,0,biodiversity,1035.4118541895257,1971
global,global,1,biodiversity,1745.5415078203796,2597
global,global,2,biodiversity,1816.4725633479363,2494
global,global,3,biodiversity,1784.4646158194794,2754
global,global,4,biodiversity,1410.6249191194865,2066
global,global,5,biodiversity,716.1310999306277,1702
global,global,6,biodiversity,486.7802725675175,1257
global,global,7,biodiversity,2162.1392116196944,1164
global,global,8,biodiversity,582.5789064755617,1815
global,global,0,safety,1330.5651773985664,3638
global,global,1,safety,1656.6139100961705,2282
global,global,2,safety,1865.9975823291024,2643
global,global,3,safety,2428.7927009126906,3321
global,global,4,safety,2135.1727148130362,2487
global,global,5,safety,1421.0131397612747,2501
global,global,6,safety,2084.3429482970655,3334
global,global,7,safety,-372.42508027703263,1318
global,global,8,safety,932.0656534371162,1884
gender,man,0,living,1771.5362045103639,1399
gender,man,1,living,498.49322776884844,1169
gender,man,2,living,1526.9612353216028,1170
gender,man,3,living,1650.4845283856994,1444
gender,man,4,living,1656.9265208157822,1202
gender,man,5,living,1980.965316601751,1034
gender,man,6,living,1806.8200204665025,1599
gender,man,7,living,2046.6491327757476,1125
gender,man,8,living,1911.9986837061795,1176
gender,man,0,biodiversity,1829.2721518311184,993
gender,man,1,biodiversity,1517.8788105177814,1294
gender,man,2,biodiversity,1949.744841184462,1241
gender,man,3,biodiversity,1760.9137358970856,1385
gender,man,4,biodiversity,1288.1123445606306,1088
gender,man,5,biodiversity,589.3094492295842,848
gender,man,6,biodiversity,1203.4730662578647,691
gender,man,7,biodiversity,1875.5808410100813,636
gender,man,8,biodiversity,785.2417413533699,898
gender,man,0,safety,1106.3196700464457,1871
gender,man,1,safety,1806.85310928431,1153
gender,man,2,safety,2032.200165934503,1417
gender,man,3,safety,1929.0852239790784,1775
gender,man,4,safety,1748.6885354781773,1238
gender,man,5,safety,1563.5950966813957,1223
gender,man,6,safety,1682.51384954676,1687
gender,man,7,safety,885.3699590121643,706
gender,man,8,safety,1352.544761432945,962
gender,woman,0,living,1951.9976338442366,1082
gender,woman,1,living,1609.3158899892805,1046
gender,woman,2,living,1329.4849776030194,831
gender,woman,3,living,1065.6750055835587,1056
gender,woman,4,living,707.700240637333,813
gender,woman,5,living,1664.3704270322423,756
gender,woman,6,living,1713.268957717144,1284
gender,woman,7,living,1899.3150667667217,957
gender,woman,8,living,2007.0959345155711,1049
gender,woman,0,biodiversity,694.1478536189696,830
gender,woman,1,biodiversity,1533.680861153942,1100
gender,woman,2,biodiversity,1192.2854367490488,1031
gender,woman,3,biodiversity,1943.8146779515935,1052
gender,woman,4,biodiversity,1742.9046419824876,802
gender,woman,5,biodiversity,1470.101825108008,702
gender,woman,6,biodiversity,1283.6013292041653,502
gender,woman,7,biodiversity,1841.998233692713,500
gender,woman,8,biodiversity,1144.574959119603,719
gender,woman,0,safety,1580.556799385503,1425
gender,woman,1,safety,2034.6689619650153,915
gender,woman,2,safety,1379.919237331229,1065
gender,woman,3,safety,1865.2131350715779,1289
gender,woman,4,safety,1086.1907051521566,987
gender,woman,5,safety,1775.1172614223033,963
gender,woman,6,safety,1303.396904461652,1311
gender,woman,7,safety,1038.1816283175901,567
gender,woman,8,safety,1498.7937383900387,834
gender,other,0,living,1551.2468487285375,8
gender,other,1,living,1488.1662658241412,13
gender,other,2,living,1535.8065944490197,25
gender,other,3,living,1491.9951255985916,23
gender,other,4,living,1514.2841092905446,23
gender,other,5,living,1440.205619576853,13
gender,other,6,living,1571.7351226956607,16
gender,other,7,living,1465.8228838683965,15
gender,other,8,living,1454.7437668509988,12
gender,other,0,biodiversity,1534.3669811114564,9
gender,other,1,biodiversity,1547.6119983154074,12
gender,other,2,biodiversity,1511.5704344465332,9
gender,other,3,biodiversity,1559.9861848016212,7
gender,other,4,biodiversity,1487.599072709731,13
gender,other,5,biodiversity,1451.9995034347035,10
gender,other,6,biodiversity,1440.0000000203634,5
gender,other,7,biodiversity,1462.366452679439,13
gender,other,8,biodiversity,1499.6000429416526,12
gender,other,0,safety,1571.829979198683,8
gender,other,1,safety,1468.3129615107405,13
gender,other,2,safety,1527.5816336878247,14
gender,other,3,safety,1474.5205765032838,16
