demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2251.4639553319275,3157
global,global,1,living,2343.228270946119,2485
global,global,2,living,222.00132889589898,2270
global,global,3,living,710.5141914341488,2712
global,global,4,living,1980.7635324203034,2845
global,global,5,living,2092.4563773777936,2329
global,global,6,living,2468.892573600602,3037
global,global,7,living,1289.1121866226542,2708
global,global,8,living,2122.2906844990175,3343
global,global,0,biodiversity,1101.6398418037772,2155
global,global,1,biodiversity,1722.820357972012,1742
global,global,2,biodiversity,2178.2373754666323,1392
global,global,3,biodiversity,-205.33845858390882,1849
global,global,4,biodiversity,747.4388399021818,2162
global,global,5,biodiversity,1348.090824087809,1973
global,global,6,biodiversity,-306.7500482628764,1516
global,global,7,biodiversity,1814.018878348479,2362
global,global,8,biodiversity,2050.6469204349723,2237
global,global,0,safety,2107.587411691735,2843
global,global,1,safety,1851.071847457019,2809
global,global,2,safety,1061.3306850932256,2336
global,global,3,safety,341.93068257868805,2638
global,global,4,safety,-30.479518219431597,2123
global,global,5,safety,1451.6206758754292,2581
global,global,6,safety,903.2035971866924,1683
global,global,7,safety,1934.6836563559443,2130
global,global,8,safety,2305.105707086064,1883
gender,man,0,living,1714.6900326135424,1583
gender,man,1,living,2040.961691142501,1321
gender,man,2,living,696.7121568081553,1191
gender,man,3,living,931.2346286915382,1253
gender,man,4,living,1773.2053179407399,1420
gender,man,5,living,1930.8358430923834,1179
gender,man,6,living,1958.3126440412739,1454
gender,man,7,living,1180.00177876163,1378
gender,man,8,living,2153.2450001641732,1637
gender,man,0,biodiversity,1801.461424144224,1114
gender,man,1,biodiversity,1825.2677293664917,846
gender,man,2,biodiversity,1900.7951366082063,780
gender,man,3,biodiversity,282.475246920459,973
gender,man,4,biodiversity,1519.319244253831,1164
gender,man,5,biodiversity,1739.0670467102725,1014
gender,man,6,biodiversity,1136.194768081606,809
gender,man,7,biodiversity,1988.0865671837234,1165
gender,man,8,biodiversity,1367.000444311445,1143
gender,man,0,safety,1457.6172613966985,1557
gender,man,1,safety,1309.7690259870622,1455
gender,man,2,safety,647.9146856930499,1216
gender,man,3,safety,1487.6492197719315,1350
gender,man,4,safety,1721.357272172697,1081
gender,man,5,safety,929.5840958570791,1330
gender,man,6,safety,1545.9058905667282,905
gender,man,7,safety,1922.0871291877913,1058
gender,man,8,safety,1986.5210777376706,1048
gender,woman,0,living,2071.912789496251,1167
gender,woman,1,living,1966.6012123260498,969
gender,woman,2,living,936.3154442649145,897
gender,woman,3,living,1267.948186501023,1082
gender,woman,4,living,1515.8819556797744,1127
gender,woman,5,living,1629.00266295415,965
gender,woman,6,living,1810.8640983002258,1216
gender,woman,7,living,1569.615115161513,1148
gender,woman,8,living,1168.0764229074077,1355
gender,woman,0,biodiversity,1237.977814166422,839
gender,woman,1,biodiversity,1209.558996832669,716
gender,woman,2,biodiversity,1932.3333141217117,537
gender,woman,3,biodiversity,1459.1011632179066,762
gender,woman,4,biodiversity,899.5474237847765,867
gender,woman,5,biodiversity,1758.1409672399825,808
gender,woman,6,biodiversity,1024.2640919505159,650
gender,woman,7,biodiversity,1493.4757655876926,1021
gender,woman,8,biodiversity,1906.9879252212322,872
gender,woman,0,safety,1900.560213670507,1111
gender,woman,1,safety,1790.7295715376565,1127
gender,woman,2,safety,2010.399540038694,940
gender,woman,3,safety,709.7746519241192,1091
gender,woman,4,safety,555.344166478858,899
gender,woman,5,safety,1585.246590907528,1046
gender,woman,6,safety,379.4413684363814,628
gender,woman,7,safety,1366.9978409421603,890
gender,woman,8,safety,1761.743334407944,738
gender,other,0,living,1536.4756223716577,15
gender,other,1,living,1464.4743393227247,11
gender,other,2,living,1439.8374336290635,15
gender,other,3,living,1497.8995221974787,16
gender,other,4,living,1556.333305908112,7
gender,other,5,living,1423.7854533273826,10
gender,other,6,living,1511.6275620567112,23
gender,other,7,living,1573.3092712426592,12
gender,other,8,living,1488.4607351983325,15
gender,other,0,biodiversity,1475.994881206028,14
gender,other,1,biodiversity,1440.000051047924,7
gender,other,2,biodiversity,1561.195048202441,7
gender,other,3,biodiversity,1477.0428353327861,14
gender,other,4,biodiversity,1533.0134821358427,13
gender,other,5,biodiversity,1501.27296583559,14
gender,other,6,biodiversity,1510.917278757222,9
gender,other,7,biodiversity,1449.9639722970621,8
gender,other,8,biodiversity,1549.782345868115,12
gender,other,0,safety,1449.084547634067,12
gender,other,1,safety,1407.5192194108654,15
gender,other,2,safety,1526.2685814627405,12
gender,other,3,safety,1515.1212911141292,17
gender,other,4,safety,1487.1257508211577,15
