demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,473.0887096406266,2775
global,global,1,living,1566.9875098760876,2589
global,global,2,living,842.3296193039338,2477
global,global,3,living,1924.501030656454,2646
global,global,4,living,45.43118797103036,2582
global,global,5,living,1811.7059871730464,2602
global,global,6,living,2219.660197668654,1901
global,global,7,living,2096.9515104324696,1637
global,global,8,living,-3.6974158665846737,2087
global,global,0,biodiversity,1514.0724706429069,2338
global,global,1,biodiversity,555.7225194162107,1670
global,global,2,biodiversity,1425.9593988670406,2337
global,global,3,biodiversity,1132.5399797741486,1907
global,global,4,biodiversity,2150.502114780941,1972
global,global,5,biodiversity,1903.063013841312,2408
global,global,6,biodiversity,1916.7973896386295,2616
global,global,7,biodiversity,2220.221120398829,1555
global,global,8,biodiversity,2077.2429404164964,2217
global,global,0,safety,121.50567798753337,1521
global,global,1,safety,822.0955017007869,2421
global,global,2,safety,2253.2574755807796,2186
global,global,3,safety,1843.8649343735842,3118
global,global,4,safety,2443.4299332749147,2725
global,global,5,safety,642.25433710622,2387
global,global,6,safety,1635.7318580042493,2903
global,global,7,safety,1991.4078980444037,2777
global,global,8,safety,1501.0500439455504,2946
gender,man,0,living,1467.2337247010928,1475
gender,man,1,living,1391.743439607429,1321
gender,man,2,living,492.9685735445154,1352
gender,man,3,living,1611.9110500964632,1326
gender,man,4,living,1439.0243491314009,1352
gender,man,5,living,1942.8784138079357,1318
gender,man,6,living,2023.9728015939934,951
gender,man,7,living,1887.407312288881,889
gender,man,8,living,623.6134455640666,1154
gender,man,0,biodiversity,1654.0418771152504,1150
gender,man,1,biodiversity,947.250495372107,891
gender,man,2,biodiversity,1707.9974139938074,1213
gender,man,3,biodiversity,980.2288742348485,1013
gender,man,4,biodiversity,1856.1692220982113,930
gender,man,5,biodiversity,1352.2912757716354,1225
gender,man,6,biodiversity,850.5175961136362,1391
gender,man,7,biodiversity,1980.670036136506,750
gender,man,8,biodiversity,1600.9221260654767,1113
gender,man,0,safety,817.5260154518338,832
gender,man,1,safety,686.5577567231281,1322
gender,man,2,safety,2009.153605811514,1067
gender,man,3,safety,1188.7051601513379,1612
gender,man,4,safety,2090.2538158184034,1343
gender,man,5,safety,1286.9142045741164,1165
gender,man,6,safety,1117.586670618873,1494
gender,man,7,safety,1847.2513213743978,1358
gender,man,8,safety,1463.0669354521417,1417
gender,woman,0,living,884.2316049668418,1140
gender,woman,1,living,1520.506411143878,1024
gender,woman,2,living,1665.7445899027066,968
gender,woman,3,living,1838.8748949463975,1036
gender,woman,4,living,779.267117916127,1082
gender,woman,5,living,870.380698955914,1002
gender,woman,6,living,1454.7111667280735,777
gender,woman,7,living,1936.0074660830894,602
gender,woman,8,living,1406.3426886817736,827
gender,woman,0,biodiversity,1269.0811064479728,923
gender,woman,1,biodiversity,1317.0798941466342,664
gender,woman,2,biodiversity,365.81970371657127,972
gender,woman,3,biodiversity,1342.2459010991229,743
gender,woman,4,biodiversity,1629.1094230930312,762
gender,woman,5,biodiversity,1839.0210049493526,901
gender,woman,6,biodiversity,1994.4542976513728,983
gender,woman,7,biodiversity,1744.4974704249125,690
gender,woman,8,biodiversity,598.1226663218542,864
gender,woman,0,safety,911.1820115605323,614
gender,woman,1,safety,2059.1383697732613,899
gender,woman,2,safety,1744.9045884951151,944
gender,woman,3,safety,1880.5817353173788,1235
gender,woman,4,safety,1710.6066711178269,1099
gender,woman,5,safety,1667.1106389256756,1101
gender,woman,6,safety,1936.9018501918201,1203
gender,woman,7,safety,1395.1586073764827,1159
gender,woman,8,safety,1788.897427175015,1254
gender,other,0,living,1498.0439596559586,14
gender,other,1,living,1559.81250996785,9
gender,other,2,living,1515.5796218197163,19
gender,other,3,living,1524.0494173187142,12
gender,other,4,living,1468.8158874371948,17
gender,other,5,living,1550.481578947509,14
gender,other,6,living,1440.0005361437668,9
gender,other,7,living,1452.0036101885094,10
gender,other,8,living,1499.7402873485253,12
gender,other,0,biodiversity,1487.6451035051734,11
gender,other,1,biodiversity,1435.9524111649862,9
gender,other,2,biodiversity,1553.7669949359533,9
gender,other,3,biodiversity,1487.6000088421538,9
gender,other,4,biodiversity,1571.8721249175535,14
gender,other,5,biodiversity,1459.2214544090036,15
gender,other,6,biodiversity,1428.1713109200086,12
gender,other,7,biodiversity,1509.5108516594835,11
gender,other,8,biodiversity,1545.900068988346,10
gender,other,0,safety,1440.0442701471677,9
gender,other,1,safety,1466.583265956101,9
gender,other,2,safety,1515.2302282354317,15
gender,other,3,safety,1462.7476278117524,15
gender,other,4,safety,1527.3959771633395,22
gender,other,5,safety,1487.9583254379174,9
gender,other,6,safety,1553.93329717911,10
gender,other,7,safety,1549.921579914489,18
gender,other,8,safety,1512.3805219704047,15
age,younger,0,living,1788.1721205061715,828
age,younger,1,living,1861.3264940727345,728
age,younger,2,living,1186.7384417671633,772
age,younger,3,living,1644.427294147601,697
age,younger,4,living,1468.9913803679563,743
age,younger,5,living,1103.3754679419233,650
age,younger,6,living,1898.1438305199122,520
age,younger,7,living,1765.02184252957,489
age,younger,8,living,1232.9131001687022,717
age,younger,0,biodiversity,1680.8587953508911,653
age,younger,1,biodiversity,1437.1254083684034,472
age,younger,2,biodiversity,1847.1245248059063,599
age,younger,3,biodiversity,1465.1167453132718,569
age,younger,4,biodiversity,1752.9566509207334,552
age,younger,5,biodiversity,1369.4662446029918,640
age,younger,6,biodiversity,1806.2767161267857,678
age,younger,7,biodiversity,1668.9842824761993,486
age,younger,8,biodiversity,1582.7953520304116,623
age,younger,0,safety,901.6669944262466,395
age,younger,1,safety,1564.640679218021,698
age,younger,2,safety,1241.4382948949835,655
age,younger,3,safety,1447.7889973377007,886
age,younger,4,safety,1967.9904966679733,700
age,younger,5,safety,1114.7581037490938,666
age,younger,6,safety,1738.3031939640582,807
age,younger,7,safety,1878.044510351837,733
age,younger,8,safety,1168.9144876147752,826
age,middle,0,living,1375.2599704994595,1214
age,middle,1,living,508.5779502963222,1026
age,middle,2,living,1203.938519916586,1066
age,middle,3,living,1877.7203095397724,1115
age,middle,4,living,1238.6078763185062,1115
age,middle,5,living,1697.0964423838884,1105
age,middle,6,living,1803.4901017313477,782
age,middle,7,living,1963.6395061381875,670
age,middle,8,living,1261.9862560137865,865
age,middle,0,biodiversity,1497.3294321375797,970
age,middle,1,biodiversity,959.3551381551931,759
age,middle,2,biodiversity,548.6032275062881,1070
age,middle,3,biodiversity,1292.575188006254,818
age,middle,4,biodiversity,1885.3969979634112,717
age,middle,5,biodiversity,1573.919031803151,973
age,middle,6,biodiversity,1177.8086562345861,1123
age,middle,7,biodiversity,1958.9310716912025,653
age,middle,8,biodiversity,1233.1640268183858,901
age,middle,0,safety,1109.2722847397736,704
age,middle,1,safety,1667.5584194588942,1007
age,middle,2,safety,1982.5840305298395,849
age,middle,3,safety,1886.8324351602835,1318
age,middle,4,safety,1257.0857582672118,1152
age,middle,5,safety,1189.2271641802286,1051
age,middle,6,safety,1457.3826898866878,1238
age,middle,7,safety,1424.9621479292105,1274
age,middle,8,safety,1798.0856276022382,1213
age,older,0,living,538.7527529508969,575
age,older,1,living,1773.9022811812538,588
age,older,2,living,1829.9398189041854,494
age,older,3,living,1805.1816606490452,561
age,older,4,living,1280.0910209667263,591
age,older,5,living,1575.979742060572,582
age,older,6,living,1472.4071928951646,432
age,older,7,living,1657.3272002699518,334
age,older,8,living,1201.4125798711518,401
age,older,0,biodiversity,1760.7619194550764,450
age,older,1,biodiversity,1092.6338790109571,328
age,older,2,biodiversity,1584.9151298775041,521
age,older,3,biodiversity,1314.8191503533487,370
age,older,4,biodiversity,1391.4191475809978,431
age,older,5,biodiversity,1677.122871022671,524
age,older,6,biodiversity,1715.9332528397297,587
age,older,7,biodiversity,1803.9263403029543,307
age,older,8,biodiversity,1607.142895798984,452
age,older,0,safety,1502.996116502781,353
age,older,1,safety,1589.0761577305334,520
age,older,2,safety,1719.96925696015,515
age,older,3,safety,1529.79394164305,647
age,older,4,safety,1814.081294345236,605
age,older,5,safety,1373.5710921465193,549
age,older,6,safety,1622.935166189393,657
age,older,7,safety,636.2349838242421,518
age,older,8,safety,1889.7755450753425,636
ethnicity,white,0,living,1454.1013753845307,2246
ethnicity,white,1,living,1563.4849821167481,2055
ethnicity,white,2,living,1878.546136087439,1983
ethnicity,white,3,living,1991.8666401965124,2028
ethnicity,white,4,living,-360.0652525718933,2127
ethnicity,white,5,living,1668.792904214367,2009
ethnicity,white,6,living,1968.189642623021,1483
ethnicity,white,7,living,2013.0026776309655,1283
ethnicity,white,8,living,1154.4804098923182,1746
ethnicity,white,0,biodiversity,1358.7237276775527,1761
ethnicity,white,1,biodiversity,649.0633269172131,1343
ethnicity,white,2,biodiversity,494.41467208287713,1923
ethnicity,white,3,biodiversity,1108.276046078754,1509
ethnicity,white,4,biodiversity,2006.5000126148836,1465
ethnicity,white,5,biodiversity,1479.8683617276065,1852
ethnicity,white,6,biodiversity,1874.512736545824,2086
ethnicity,white,7,biodiversity,2065.106710445195,1252
ethnicity,white,8,biodiversity,795.1355207685333,1697
ethnicity,white,0,safety,38.67978444795615,1245
ethnicity,white,1,safety,514.7769656439167,1955
ethnicity,white,2,safety,2161.6590109397325,1720
ethnicity,white,3,safety,1940.6678103691108,2490
ethnicity,white,4,safety,2244.5513626477787,2129
ethnicity,white,5,safety,881.7344861437729,1965
ethnicity,white,6,safety,1833.6417697456723,2315
ethnicity,white,7,safety,1677.447376965869,2164
ethnicity,white,8,safety,1340.9505736714527,2329
ethnicity,other,0,living,1469.5013833520288,277
ethnicity,other,1,living,1479.1708641913244,214
ethnicity,other,2,living,1527.051929220443,243
ethnicity,other,3,living,1625.8482104421837,251
ethnicity,other,4,living,1728.373200777972,231
ethnicity,other,5,living,1412.8298293798598,233
ethnicity,other,6,living,1594.5136074770523,184
ethnicity,other,7,living,1658.5570911258708,151
ethnicity,other,8,living,1364.4693185502113,172
ethnicity,other,0,biodiversity,1411.5923873961008,226
ethnicity,other,1,biodiversity,1367.9281834921449,135
ethnicity,other,2,biodiversity,1774.8403772054658,182
ethnicity,other,3,biodiversity,1354.153589356765,181
ethnicity,other,4,biodiversity,1532.2652326812226,181
ethnicity,other,5,biodiversity,1446.741434583319,208
ethnicity,other,6,biodiversity,1622.5723648021576,204
ethnicity,other,7,biodiversity,1516.7675904838693,149
ethnicity,other,8,biodiversity,1591.845353005497,206
ethnicity,other,0,safety,1519.9446100492432,152
ethnicity,other,1,safety,1698.5421030518091,184
ethnicity,other,2,safety,1470.0169595141947,225
ethnicity,other,3,safety,1655.0052037124115,249
ethnicity,other,4,safety,1451.9203785493073,219
ethnicity,other,5,safety,1361.7249220950878,214
ethnicity,other,6,safety,1552.5664475631927,286
ethnicity,other,7,safety,1677.7458023444444,259
ethnicity,other,8,safety,1576.5923606236145,264
education,sixteen,0,living,1601.580738738772,149
education,sixteen,1,living,1535.9703745275895,205
education,sixteen,2,living,1492.1046719506871,165
education,sixteen,3,living,1550.1648347057244,185
education,sixteen,4,living,1465.0186355216026,171
education,sixteen,5,living,1513.7915911293974,182
education,sixteen,6,living,1685.7582704065132,117
education,sixteen,7,living,1648.2599818932038,95
education,sixteen,8,living,1116.72268044213,105
education,sixteen,0,biodiversity,1689.7679178511971,130
education,sixteen,1,biodiversity,1207.917469385876,94
education,sixteen,2,biodiversity,1578.5339764684973,122
education,sixteen,3,biodiversity,1434.8564039032349,144
education,sixteen,4,biodiversity,1477.1383297508771,133
education,sixteen,5,biodiversity,1495.6618504150038,150
education,sixteen,6,biodiversity,1289.6383018625274,183
education,sixteen,7,biodiversity,1715.7012324132513,98
education,sixteen,8,biodiversity,1414.546230005254,142
education,sixteen,0,safety,1590.897900108135,146
education,sixteen,1,safety,1302.3021965018831,145
education,sixteen,2,safety,1642.4572085890231,166
education,sixteen,3,safety,1596.476165681922,199
education,sixteen,4,safety,1680.8900738420446,171
education,sixteen,5,safety,1404.9704965065482,159
education,sixteen,6,safety,1613.88699840579,187
education,sixteen,7,safety,1257.6953523332968,148
education,sixteen,8,safety,1542.0284096207365,181
education,eighteen,0,living,1357.17536089696,522
education,eighteen,1,living,1208.9411092397086,392
education,eighteen,2,living,1765.7699203084226,393
education,eighteen,3,living,1730.2899680326216,396
education,eighteen,4,living,1418.4338139113408,462
education,eighteen,5,living,1609.7012920680231,455
education,eighteen,6,living,1489.990654908313,315
education,eighteen,7,living,1647.5446519110508,239
education,eighteen,8,living,1709.0359086880715,398
