demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1862.194743997547,2352
global,global,1,living,1559.9746948107672,3110
global,global,2,living,1480.5094337287155,2865
global,global,3,living,1371.05739873462,3054
global,global,4,living,-41.39984189435302,1579
global,global,5,living,2199.948851082853,2515
global,global,6,living,1426.5263060872953,2369
global,global,7,living,1825.2611319454145,2672
global,global,8,living,2315.592434612506,2550
global,global,0,biodiversity,1530.3107747755303,2403
global,global,1,biodiversity,1903.87296257346,2066
global,global,2,biodiversity,2122.4048902804548,2385
global,global,3,biodiversity,1119.7536199885342,1710
global,global,4,biodiversity,1381.4839895745706,2976
global,global,5,biodiversity,2269.1273557336417,1882
global,global,6,biodiversity,985.2704499562847,2464
global,global,7,biodiversity,1479.9826831780663,3111
global,global,8,biodiversity,666.3899028724684,2263
global,global,0,safety,560.8235410145926,2116
global,global,1,safety,1375.304629595334,2110
global,global,2,safety,1274.9635427429926,1856
global,global,3,safety,1223.6478679051484,2789
global,global,4,safety,1855.2315008395544,2068
global,global,5,safety,-425.50968460453976,1767
global,global,6,safety,1589.884142001591,2562
global,global,7,safety,1948.4330697052872,2495
global,global,8,safety,2245.512740167678,1211
gender,man,0,living,2020.325233654928,1187
gender,man,1,living,1676.5261231750578,1637
gender,man,2,living,1806.9134786244315,1445
gender,man,3,living,1501.7239587782242,1562
gender,man,4,living,1337.7113060631723,857
gender,man,5,living,1241.1373020471938,1273
gender,man,6,living,1952.2095309219583,1224
gender,man,7,living,1460.4731751312702,1362
gender,man,8,living,1844.756208109448,1247
gender,man,0,biodiversity,-325.722035029649,1245
gender,man,1,biodiversity,1931.3754950474959,975
gender,man,2,biodiversity,1447.0551907187194,1238
gender,man,3,biodiversity,1250.8034681043716,925
gender,man,4,biodiversity,1575.0614895451217,1589
gender,man,5,biodiversity,2046.864391072556,859
gender,man,6,biodiversity,1631.899565067514,1234
gender,man,7,biodiversity,1408.0430405205043,1628
gender,man,8,biodiversity,1521.4987058037923,1227
gender,man,0,safety,984.8480887750994,1156
gender,man,1,safety,1722.989004114348,1058
gender,man,2,safety,1653.4254785465864,943
gender,man,3,safety,1341.242232018303,1399
gender,man,4,safety,1820.9830650350225,1010
gender,man,5,safety,-135.22748270552037,936
gender,man,6,safety,1366.1811007874899,1328
gender,man,7,safety,1791.871896167487,1297
gender,man,8,safety,2016.6803782778686,583
gender,woman,0,living,1167.360709503003,982
gender,woman,1,living,1657.3028221019524,1209
gender,woman,2,living,1136.0804223132277,1115
gender,woman,3,living,900.1902950837568,1251
gender,woman,4,living,776.3772697882398,649
gender,woman,5,living,2015.1502594085082,981
gender,woman,6,living,741.0771602144655,947
gender,woman,7,living,1815.0505848262685,1040
gender,woman,8,living,1885.2246187479434,1058
gender,woman,0,biodiversity,2027.799444564064,916
gender,woman,1,biodiversity,1554.040208370809,886
gender,woman,2,biodiversity,1924.5734943942705,982
gender,woman,3,biodiversity,914.6738219792574,656
gender,woman,4,biodiversity,1804.27155350403,1206
gender,woman,5,biodiversity,1781.7063345180406,825
gender,woman,6,biodiversity,1392.3077458440125,1046
gender,woman,7,biodiversity,1673.52266547644,1240
gender,woman,8,biodiversity,789.2302230950746,897
gender,woman,0,safety,1106.5932050349886,785
gender,woman,1,safety,1822.0807455949298,759
gender,woman,2,safety,996.447829014224,782
gender,woman,3,safety,1731.9398231126409,1114
gender,woman,4,safety,1852.496107382036,830
gender,woman,5,safety,1336.6503851171237,735
gender,woman,6,safety,832.3513856074395,981
gender,woman,7,safety,1796.2771988221843,1051
gender,woman,8,safety,1925.129701054157,545
gender,other,0,living,1452.1704393883535,12
gender,other,1,living,1515.4274847854624,21
gender,other,2,living,1524.6084511098425,18
gender,other,3,living,1563.3348201085264,11
gender,other,4,living,1486.068060594458,19
gender,other,5,living,1546.0283883376685,8
gender,other,6,living,1442.5305322834704,7
gender,other,7,living,1470.747994378347,19
gender,other,8,living,1510.9657513740176,11
gender,other,0,biodiversity,1443.69974010171,7
gender,other,1,biodiversity,1540.2622418386782,17
gender,other,2,biodiversity,1487.998434878522,15
gender,other,3,biodiversity,1560.6896768133365,13
gender,other,4,biodiversity,1522.130756565654,12
gender,other,5,biodiversity,1500.0118081003948,10
gender,other,6,biodiversity,1529.9013169375592,16
gender,other,7,biodiversity,1475.6142448152075,14
gender,other,8,biodiversity,1452.5519415074828,14
gender,other,0,safety,1514.022567232846,11
gender,other,1,safety,1440.0143094285309,5
gender,other,2,safety,1487.1713822559968,11
gender,other,3,safety,1449.1349787288927,8
gender,other,4,safety,1499.0428301416625,8
gender,other,5,safety,1463.5857000064482,15
gender,other,6,safety,1550.130279847453,14
gender,other,7,safety,1557.6909721807776,7
gender,other,8,safety,1535.9652393522795,15
age,younger,0,living,1804.2252359711322,647
age,younger,1,living,1542.9047159693412,875
age,younger,2,living,1175.404721460157,803
age,younger,3,living,1349.8314327622938,859
age,younger,4,living,1414.0927092106647,501
age,younger,5,living,1641.3720118061271,721
age,younger,6,living,964.985583169661,623
age,younger,7,living,1857.9553950033064,764
age,younger,8,living,1948.9103964847748,681
age,younger,0,biodiversity,1294.8524630991378,694
age,younger,1,biodiversity,1563.9529990293875,546
age,younger,2,biodiversity,1086.3014192958083,684
age,younger,3,biodiversity,1334.5480422003627,506
age,younger,4,biodiversity,1356.7521699940455,839
age,younger,5,biodiversity,1816.0398427516548,535
age,younger,6,biodiversity,1728.8559769331587,689
age,younger,7,biodiversity,1927.1864127581543,870
age,younger,8,biodiversity,715.4101731180056,655
age,younger,0,safety,1405.7884789326888,595
age,younger,1,safety,1722.0635488756625,553
age,younger,2,safety,1260.15724567467,537
age,younger,3,safety,1547.2303074225304,779
age,younger,4,safety,1818.5112766685052,552
age,younger,5,safety,777.9560082380665,480
age,younger,6,safety,1325.9465686651395,765
age,younger,7,safety,1496.1958188422213,700
age,younger,8,safety,1879.5793009615456,329
