demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,732.6328531497005,1345
global,global,1,living,1258.3969103499,1944
global,global,2,living,1413.96495107999,2230
global,global,3,living,1016.2758652317034,2486
global,global,4,living,2211.65798070554,1571
global,global,5,living,1635.4119926839096,2018
global,global,6,living,2010.25546967047,1779
global,global,7,living,862.9430393942002,1425
global,global,8,living,1559.8330187166057,2250
global,global,0,biodiversity,1605.9970393405883,2973
global,global,1,biodiversity,2311.1849177680556,2719
global,global,2,biodiversity,1623.4851770195023,2700
global,global,3,biodiversity,2199.6915318138217,3020
global,global,4,biodiversity,2085.6639335839004,2375
global,global,5,biodiversity,2248.520452306476,2022
global,global,6,biodiversity,2038.3886082673753,3114
global,global,7,biodiversity,1160.9623069391992,2491
global,global,8,biodiversity,1821.5434031688217,3198
global,global,0,safety,2268.540413403463,2312
global,global,1,safety,2398.044148349743,2628
global,global,2,safety,2131.9212471536252,2344
global,global,3,safety,1874.9117703043883,2178
global,global,4,safety,1990.3352864759954,3134
global,global,5,safety,364.41116146084937,1655
global,global,6,safety,1182.3555284922838,2716
global,global,7,safety,2058.914856375071,2700
global,global,8,safety,467.43714598915864,1973
gender,man,0,living,1488.062581174522,687
gender,man,1,living,1793.7702978755558,988
gender,man,2,living,791.6924913467736,1142
gender,man,3,living,215.74378362899486,1267
gender,man,4,living,2043.6509405824804,792
gender,man,5,living,1437.024871851214,1137
gender,man,6,living,1568.938183298829,964
gender,man,7,living,688.0968528487348,726
gender,man,8,living,1852.987592137316,1137
gender,man,0,biodiversity,1743.0478957985097,1514
gender,man,1,biodiversity,1982.2524605877788,1453
gender,man,2,biodiversity,945.0707111739752,1289
gender,man,3,biodiversity,1693.7029366843117,1506
gender,man,4,biodiversity,1474.8535229341433,1191
gender,man,5,biodiversity,2055.3110406076516,993
gender,man,6,biodiversity,1912.5892613623278,1613
gender,man,7,biodiversity,1815.642527801804,1350
gender,man,8,biodiversity,1882.158932104909,1625
gender,man,0,safety,2056.3857369042703,1086
gender,man,1,safety,1556.4045502954723,1309
gender,man,2,safety,1828.0826581009426,1176
gender,man,3,safety,1909.5407608220437,1045
gender,man,4,safety,1929.9561010809282,1672
gender,man,5,safety,1296.9061806942134,890
gender,man,6,safety,1889.4589780288507,1451
gender,man,7,safety,1778.3688843579314,1380
gender,man,8,safety,1354.0899817583866,1041
gender,woman,0,living,256.45205584554094,581
gender,woman,1,living,476.05860709829113,783
gender,woman,2,living,1484.4582733799868,891
gender,woman,3,living,1940.0608743220166,1028
gender,woman,4,living,1859.0903317854704,674
gender,woman,5,living,1636.3866700504475,769
gender,woman,6,living,1730.2647774503214,689
gender,woman,7,living,1508.976396902454,581
gender,woman,8,living,1341.620206405985,926
gender,woman,0,biodiversity,1520.0272929226387,1205
gender,woman,1,biodiversity,1971.5402570029764,1052
gender,woman,2,biodiversity,1922.2809619175762,1088
gender,woman,3,biodiversity,680.5165144436054,1212
gender,woman,4,biodiversity,1873.8467743821118,928
gender,woman,5,biodiversity,1832.50219753576,887
gender,woman,6,biodiversity,1553.037190353763,1165
gender,woman,7,biodiversity,1073.303058689482,1027
gender,woman,8,biodiversity,1299.607982624043,1286
gender,woman,0,safety,1755.537091728201,882
gender,woman,1,safety,1927.3096947959768,1073
gender,woman,2,safety,2014.4450962459548,883
gender,woman,3,safety,1500.5209002701645,927
gender,woman,4,safety,1291.0332153190961,1209
gender,woman,5,safety,366.91512187232166,668
gender,woman,6,safety,1250.6645301974736,1123
gender,woman,7,safety,1873.8049184017216,1107
gender,woman,8,safety,1085.9096003806628,824
gender,other,0,living,1500.4162973553703,10
gender,other,1,living,1534.2657527624847,13
gender,other,2,living,1521.58219010418,14
gender,other,3,living,1473.1532253300948,14
gender,other,4,living,1487.618043613401,15
gender,other,5,living,1568.3523924220312,8
gender,other,6,living,1547.9981265536737,8
gender,other,7,living,1400.433253891194,8
gender,other,8,living,1448.3134996870106,16
gender,other,0,biodiversity,1569.1565190021747,8
gender,other,1,biodiversity,1499.1376094273257,12
gender,other,2,biodiversity,1510.6061329352272,13
gender,other,3,biodiversity,1428.5379529199356,14
gender,other,4,biodiversity,1486.324576298937,13
gender,other,5,biodiversity,1535.8236623972775,13
gender,other,6,biodiversity,1549.730355080927,12
gender,other,7,biodiversity,1474.0531405238728,18
gender,other,8,biodiversity,1441.632314083033,13
gender,other,0,safety,1481.9090151635921,13
gender,other,1,safety,1549.6804914432958,16
gender,other,2,safety,1466.6919261256758,19
gender,other,3,safety,1522.4744142562738,12
gender,other,4,safety,1441.2290225719578,17
gender,other,5,safety,1569.525138312295,8
gender,other,6,safety,1427.671230352533,10
gender,other,7,safety,1533.959640964671,7
gender,other,8,safety,1498.801923346343,14
age,younger,0,living,987.4559823366217,393
age,younger,1,living,1652.7002726601702,487
age,younger,2,living,941.3564611360916,604
age,younger,3,living,843.0913151129378,689
age,younger,4,living,1806.6700117163377,437
age,younger,5,living,1617.325542004481,608
age,younger,6,living,1873.9150368046292,466
age,younger,7,living,818.7933647777447,392
age,younger,8,living,1589.0496227442413,660
age,younger,0,biodiversity,1573.7268583842592,871
age,younger,1,biodiversity,1820.3776365961396,740
age,younger,2,biodiversity,1661.3017200909123,712
age,younger,3,biodiversity,1243.4096229885313,841
age,younger,4,biodiversity,1742.5124944601027,727
age,younger,5,biodiversity,1939.4860124121305,527
age,younger,6,biodiversity,1367.6371690178494,852
age,younger,7,biodiversity,1255.2548460034793,684
age,younger,8,biodiversity,1765.762344994957,920
age,younger,0,safety,621.969057060631,587
age,younger,1,safety,1933.6946494313336,742
age,younger,2,safety,1486.4479859789442,702
age,younger,3,safety,1160.7643738817226,626
age,younger,4,safety,1463.40477776802,914
age,younger,5,safety,1081.7919109872025,513
age,younger,6,safety,1614.710690000579,804
age,younger,7,safety,1816.9049825550662,725
age,younger,8,safety,1737.445511502683,559
age,middle,0,living,1626.6129526530842,575
age,middle,1,living,1490.645258400474,890
age,middle,2,living,1837.2362993935956,947
age,middle,3,living,1561.81114870496,1072
age,middle,4,living,1793.7682164920527,733
age,middle,5,living,1916.8655596525714,845
age,middle,6,living,1877.7665093725573,796
age,middle,7,living,1645.0620493426345,600
age,middle,8,living,1125.3648022764778,922
age,middle,0,biodiversity,951.9201867458406,1249
age,middle,1,biodiversity,1959.6837831765488,1168
age,middle,2,biodiversity,1907.5403943762155,1088
age,middle,3,biodiversity,1724.7322971381911,1283
age,middle,4,biodiversity,1755.9066594888984,960
age,middle,5,biodiversity,1821.4464922335872,883
age,middle,6,biodiversity,1984.1287324274267,1267
age,middle,7,biodiversity,1405.9172411853028,1158
age,middle,8,biodiversity,1479.7060009367947,1298
age,middle,0,safety,1956.0545299718503,865
age,middle,1,safety,1463.7512064546677,1087
age,middle,2,safety,1867.9990903919083,973
age,middle,3,safety,1442.9936780513367,879
age,middle,4,safety,1666.9162528483414,1288
age,middle,5,safety,1685.0362983365346,730
age,middle,6,safety,1781.180331697703,1179
age,middle,7,safety,1401.4204193515413,1119
age,middle,8,safety,965.3727515957627,894
age,older,0,living,1403.9493301624525,312
age,older,1,living,828.4730310243648,407
age,older,2,living,1785.7404519446993,490
age,older,3,living,1517.0059886521524,546
age,older,4,living,1812.1771901741836,304
age,older,5,living,1289.4759831334832,458
age,older,6,living,1553.675667438786,389
age,older,7,living,1459.8374617256586,322
age,older,8,living,1692.7842982800596,486
age,older,0,biodiversity,1889.1024473724394,596
age,older,1,biodiversity,1298.129653879932,597
age,older,2,biodiversity,928.647738390691,584
age,older,3,biodiversity,1180.2857966944923,604
age,older,4,biodiversity,1811.5752054118698,443
age,older,5,biodiversity,976.0364721823411,484
age,older,6,biodiversity,1650.182351736419,661
age,older,7,biodiversity,1763.6740777479602,544
age,older,8,biodiversity,1590.9432595397413,707
age,older,0,safety,1526.3247478778744,529
age,older,1,safety,1877.6602627137424,554
age,older,2,safety,1686.7554055184137,396
age,older,3,safety,1717.739441397607,476
age,older,4,safety,1421.1063508384923,681
age,older,5,safety,1180.91154906488,310
age,older,6,safety,1642.9204880732336,594
age,older,7,safety,1750.3845401504575,644
age,older,8,safety,1127.0388440629831,410
ethnicity,white,0,living,661.4691542739312,1075
ethnicity,white,1,living,1274.741652862412,1553
ethnicity,white,2,living,1258.6181704176092,1802
ethnicity,white,3,living,1309.1145839679066,2018
ethnicity,white,4,living,2125.0379150402778,1304
ethnicity,white,5,living,1418.3889623141552,1689
ethnicity,white,6,living,2068.2853698596923,1411
ethnicity,white,7,living,820.045076553254,1146
ethnicity,white,8,living,1842.7125876521493,1794
ethnicity,white,0,biodiversity,1924.7511619636557,2317
ethnicity,white,1,biodiversity,2250.1738226545335,2190
ethnicity,white,2,biodiversity,1461.7463648021262,2034
ethnicity,white,3,biodiversity,1518.9299336040197,2349
ethnicity,white,4,biodiversity,2166.017403900586,1836
ethnicity,white,5,biodiversity,2110.2570487301464,1645
ethnicity,white,6,biodiversity,1853.232071989514,2408
ethnicity,white,7,biodiversity,1358.3717162812527,2082
ethnicity,white,8,biodiversity,1835.5617603793107,2517
ethnicity,white,0,safety,2168.1897163989365,1677
ethnicity,white,1,safety,2106.7048061794476,2045
ethnicity,white,2,safety,1974.9803931354804,1739
ethnicity,white,3,safety,1666.7160198986596,1646
ethnicity,white,4,safety,1503.4671314973257,2507
ethnicity,white,5,safety,1068.721427496868,1335
ethnicity,white,6,safety,933.9975468810112,2243
ethnicity,white,7,safety,2019.3518320648025,2199
ethnicity,white,8,safety,979.30565452062,1599
ethnicity,other,0,living,1517.5299024013407,145
ethnicity,other,1,living,1284.364755152864,167
ethnicity,other,2,living,1649.8959487860068,159
ethnicity,other,3,living,1451.9194552266033,207
ethnicity,other,4,living,1734.2132894528936,115
ethnicity,other,5,living,1624.4981494864237,155
ethnicity,other,6,living,1552.234397976995,166
ethnicity,other,7,living,1306.2011295864975,116
ethnicity,other,8,living,1336.7973696852318,198
ethnicity,other,0,biodiversity,1542.6560287215045,311
ethnicity,other,1,biodiversity,1630.0027224051912,218
ethnicity,other,2,biodiversity,1701.1393893972509,253
ethnicity,other,3,biodiversity,1326.4022525051867,281
ethnicity,other,4,biodiversity,1728.1135522057311,218
ethnicity,other,5,biodiversity,1420.2186854846977,172
ethnicity,other,6,biodiversity,1644.8935386139233,248
ethnicity,other,7,biodiversity,1511.5748195923154,216
ethnicity,other,8,biodiversity,1472.2145221185776,295
ethnicity,other,0,safety,1278.7122779680824,232
ethnicity,other,1,safety,1641.9201619335765,254
ethnicity,other,2,safety,1491.5336649633684,231
ethnicity,other,3,safety,1388.0565773081526,255
ethnicity,other,4,safety,1601.13303055269,272
ethnicity,other,5,safety,1406.7573406021768,165
ethnicity,other,6,safety,1771.3434275778,229
ethnicity,other,7,safety,1688.3992174843563,198
ethnicity,other,8,safety,1200.5372762669078,204
education,sixteen,0,living,1467.0745460324176,99
education,sixteen,1,living,1569.5200620671972,110
education,sixteen,2,living,1750.8378397236622,120
education,sixteen,3,living,1402.9473217401162,162
education,sixteen,4,living,1532.091019430695,105
education,sixteen,5,living,1299.3007878166122,140
education,sixteen,6,living,1455.4457738545675,148
education,sixteen,7,living,1217.9354819212333,87
education,sixteen,8,living,1607.4974239639134,153
education,sixteen,0,biodiversity,1628.2240716121175,162
education,sixteen,1,biodiversity,1361.472949912708,203
education,sixteen,2,biodiversity,1215.3590769827258,175
education,sixteen,3,biodiversity,1421.1387874663558,191
education,sixteen,4,biodiversity,1695.4099808667158,126
education,sixteen,5,biodiversity,1547.8260944014987,126
education,sixteen,6,biodiversity,1283.6503164949563,208
education,sixteen,7,biodiversity,1662.118715497827,142
education,sixteen,8,biodiversity,1597.917742437711,193
education,sixteen,0,safety,1622.0387514193833,134
education,sixteen,1,safety,1381.5572668045786,177
education,sixteen,2,safety,1723.7940849743154,107
education,sixteen,3,safety,1581.970084347848,124
education,sixteen,4,safety,1505.25344401796,208
education,sixteen,5,safety,1470.4964709816147,146
education,sixteen,6,safety,1533.4326378856133,180
education,sixteen,7,safety,1412.9671501454513,208
education,sixteen,8,safety,1451.711068130395,138
education,eighteen,0,living,1388.5691437488667,240
education,eighteen,1,living,905.0869109766822,319
education,eighteen,2,living,1665.4454691043597,366
education,eighteen,3,living,1645.4924445265922,403
education,eighteen,4,living,1797.5478444867401,268
education,eighteen,5,living,1484.3809681567634,374
education,eighteen,6,living,1612.9678512893054,299
education,eighteen,7,living,1580.4461475713479,253
education,eighteen,8,living,1172.2199472015197,352
education,eighteen,0,biodiversity,1385.4344367259057,489
education,eighteen,1,biodiversity,1445.6905159052442,499
education,eighteen,2,biodiversity,670.8877789406057,485
education,eighteen,3,biodiversity,1534.4589856535756,465
education,eighteen,4,biodiversity,1641.9088834292616,360
education,eighteen,5,biodiversity,1218.182973442474,439
education,eighteen,6,biodiversity,1939.0375071854746,490
education,eighteen,7,biodiversity,1314.2880795894457,484
education,eighteen,8,biodiversity,1261.5564069285892,501
education,eighteen,0,safety,1696.8939095897272,348
education,eighteen,1,safety,1643.736941641886,377
education,eighteen,2,safety,1595.1114251553129,386
education,eighteen,3,safety,980.4830848061255,346
education,eighteen,4,safety,1755.525089375704,522
education,eighteen,5,safety,1457.4869269385993,281
education,eighteen,6,safety,1507.0783957114825,471
education,eighteen,7,safety,1798.0399385997728,484
education,eighteen,8,safety,1477.240612114905,341
education,older,0,living,991.4388149553961,921
education,older,1,living,1430.7383479826583,1330
education,older,2,living,433.12586913536103,1534
education,older,3,living,1347.8815656763218,1720
education,older,4,living,2107.229910259662,1088
education,older,5,living,1743.799104340764,1371
education,older,6,living,1795.780483521915,1190
education,older,7,living,1067.3386545913272,963
education,older,8,living,1561.1587452875585,1539
education,older,0,biodiversity,866.9515073207573,2045
education,older,1,biodiversity,2022.0435888625298,1786
education,older,2,biodiversity,1704.6725945872395,1702
education,older,3,biodiversity,1417.183254959399,2049
education,older,4,biodiversity,1837.4879608495191,1628
education,older,5,biodiversity,2140.029849047543,1302
education,older,6,biodiversity,1383.0907384304583,2050
education,older,7,biodiversity,895.2233676935242,1744
education,older,8,biodiversity,1580.4552257490286,2186
education,older,0,safety,2116.1976684331817,1467
education,older,1,safety,2161.8595605997016,1818
education,older,2,safety,1923.22245695025,1563
education,older,3,safety,1878.912395569815,1491
education,older,4,safety,1721.8124963758219,2132
education,older,5,safety,700.4250262691478,1127
education,older,6,safety,904.2646647254719,1893
education,older,7,safety,1248.6444820385705,1769
education,older,8,safety,938.9162876532854,1372
income,lower,0,living,1658.768161777442,277
income,lower,1,living,1806.7071704414832,300
income,lower,2,living,1415.6168299582505,389
income,lower,3,living,1534.3518795917432,413
income,lower,4,living,1697.494571253577,297
income,lower,5,living,1069.4758085841618,309
income,lower,6,living,1572.4843429110867,371
income,lower,7,living,1465.756258994033,222
income,lower,8,living,1626.7569491198833,422
income,lower,0,biodiversity,1670.79579130959,491
income,lower,1,biodiversity,1327.9333441126644,440
income,lower,2,biodiversity,1188.258188607966,479
income,lower,3,biodiversity,747.8497784989961,450
income,lower,4,biodiversity,1796.1132294980744,333
income,lower,5,biodiversity,1537.034618765552,328
income,lower,6,biodiversity,1809.1033458935335,510
income,lower,7,biodiversity,1496.1703142028973,422
