demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2186.2817636329105,2867
global,global,1,living,1317.3856179489694,2958
global,global,2,living,2410.606334878302,3048
global,global,3,living,1884.9765176818314,3426
global,global,4,living,2379.6545613383096,2748
global,global,5,living,2062.474483192317,2677
global,global,6,living,2508.8971932993754,3223
global,global,7,living,258.0614803123994,1498
global,global,8,living,1144.1553915141394,3541
global,global,0,biodiversity,1469.0231636353035,1564
global,global,1,biodiversity,909.6058606020955,2353
global,global,2,biodiversity,1794.139126432625,2563
global,global,3,biodiversity,2431.037580432346,2507
global,global,4,biodiversity,1882.4704592481219,2457
global,global,5,biodiversity,468.23540900662783,1956
global,global,6,biodiversity,1594.6971431696645,2968
global,global,7,biodiversity,2127.1197172766015,2204
global,global,8,biodiversity,2219.130352547896,2170
global,global,0,safety,1990.137331287979,2000
global,global,1,safety,1192.357823982345,2111
global,global,2,safety,2125.0688116426177,1668
global,global,3,safety,1767.8438631592933,1841
global,global,4,safety,251.61314840934673,1752
global,global,5,safety,-343.147051237013,1616
global,global,6,safety,1072.1497666144453,2005
global,global,7,safety,1395.9266803412584,1651
global,global,8,safety,1884.9273531108902,1928
gender,man,0,living,2122.765959761862,1421
gender,man,1,living,745.4607704092945,1550
gender,man,2,living,1389.7231760641096,1482
gender,man,3,living,1710.5033069628487,1685
gender,man,4,living,1911.3365571298787,1385
gender,man,5,living,696.7531547316037,1336
gender,man,6,living,1982.4916499330768,1585
gender,man,7,living,506.3782669743512,780
gender,man,8,living,1888.009957422024,1836
gender,man,0,biodiversity,1373.0468897865535,842
gender,man,1,biodiversity,1655.5482344302511,1235
gender,man,2,biodiversity,2081.985124383502,1313
gender,man,3,biodiversity,1477.4981074411974,1241
gender,man,4,biodiversity,1899.1351070344665,1232
gender,man,5,biodiversity,1236.4538770547465,1138
gender,man,6,biodiversity,1338.5527930068672,1550
gender,man,7,biodiversity,1978.107992983327,1020
gender,man,8,biodiversity,1435.070998403417,1163
gender,man,0,safety,1986.5206182616228,1021
gender,man,1,safety,1387.360001653691,1096
gender,man,2,safety,1941.4296030708438,876
gender,man,3,safety,1464.303453679387,955
gender,man,4,safety,1190.2463072782011,912
gender,man,5,safety,778.1460616094498,863
gender,man,6,safety,553.3443487948962,1031
gender,man,7,safety,1456.035314793504,897
gender,man,8,safety,1779.7834390026321,979
gender,woman,0,living,1224.6945246801918,1229
gender,woman,1,living,1990.375457305223,1224
gender,woman,2,living,1717.5977939214256,1168
gender,woman,3,living,1319.1661894853937,1400
gender,woman,4,living,1973.9584477994144,1054
gender,woman,5,living,1588.6005507073971,1065
gender,woman,6,living,1900.823895216166,1325
gender,woman,7,living,1464.0037591607934,658
gender,woman,8,living,1087.3640881239066,1541
gender,woman,0,biodiversity,1756.169588193906,646
gender,woman,1,biodiversity,611.5506505180268,951
gender,woman,2,biodiversity,260.736536970795,991
gender,woman,3,biodiversity,1591.9585806395755,957
gender,woman,4,biodiversity,1662.7551672638488,994
gender,woman,5,biodiversity,1319.43710722285,697
gender,woman,6,biodiversity,1780.5740427507644,1135
gender,woman,7,biodiversity,1849.3789151865462,882
gender,woman,8,biodiversity,1969.3585530717573,857
gender,woman,0,safety,1023.6897407076026,847
gender,woman,1,safety,1402.333770796126,819
gender,woman,2,safety,1549.4580540914992,704
gender,woman,3,safety,1632.2057571492212,733
gender,woman,4,safety,733.8117188429184,713
gender,woman,5,safety,514.7250440189526,630
gender,woman,6,safety,1665.2460499647825,808
gender,woman,7,safety,1859.1620005445684,659
gender,woman,8,safety,1935.2642714153246,781
gender,other,0,living,1492.6837150836818,17
gender,other,1,living,1536.1261142442515,13
gender,other,2,living,1440.6436433405877,11
gender,other,3,living,1462.157701919671,15
gender,other,4,living,1495.608373834562,23
gender,other,5,living,1558.595010088393,15
gender,other,6,living,1570.89854626617,16
gender,other,7,living,1424.9634225207399,14
gender,other,8,living,1521.056683742573,24
gender,other,0,biodiversity,1475.9027371944,8
gender,other,1,biodiversity,1512.3568235039465,9
gender,other,2,biodiversity,1525.6697593541123,12
