demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2374.594880650502,1913
global,global,1,living,2136.3899043644424,2778
global,global,2,living,2255.979367499187,2096
global,global,3,living,1876.7455957823713,2983
global,global,4,living,1012.4683896693205,2639
global,global,5,living,1198.0235190121587,2817
global,global,6,living,560.5807545138057,1435
global,global,7,living,1801.5016487410783,2759
global,global,8,living,1960.0004965657472,2408
global,global,0,biodiversity,512.0006885417515,2256
global,global,1,biodiversity,1189.2150855674936,2309
global,global,2,biodiversity,2340.4198078332074,1703
global,global,3,biodiversity,635.5147329229003,2788
global,global,4,biodiversity,1965.4091767712855,2095
global,global,5,biodiversity,1684.53265679409,2569
global,global,6,biodiversity,1084.3564658135742,2473
global,global,7,biodiversity,1626.9764343129757,2162
global,global,8,biodiversity,298.2675288758798,2369
global,global,0,safety,1067.9014212842737,2681
global,global,1,safety,726.4440272639459,1974
global,global,2,safety,927.6465399944971,2581
global,global,3,safety,1688.9228319780705,2137
global,global,4,safety,1239.9423072628788,2604
global,global,5,safety,2167.119464086463,1578
global,global,6,safety,467.60756817682056,2365
global,global,7,safety,995.1936176198858,2727
global,global,8,safety,1874.668695555009,2101
gender,man,0,living,2122.8726712653506,981
gender,man,1,living,1753.2807320332684,1470
gender,man,2,living,1170.0362214171707,1040
gender,man,3,living,1365.505622397494,1492
gender,man,4,living,1710.8361410551124,1371
gender,man,5,living,1612.478119358383,1411
gender,man,6,living,1559.0065842821534,770
gender,man,7,living,1506.6455578296057,1328
gender,man,8,living,1924.663108634041,1221
gender,man,0,biodiversity,1746.2049520373262,1200
gender,man,1,biodiversity,1581.3309256416624,1217
gender,man,2,biodiversity,2081.139834427578,892
gender,man,3,biodiversity,1432.5473165099945,1439
gender,man,4,biodiversity,1371.8669969306973,1077
gender,man,5,biodiversity,1969.6743547605624,1308
gender,man,6,biodiversity,562.173532814975,1255
gender,man,7,biodiversity,1838.2986098747253,1068
gender,man,8,biodiversity,1778.543769692186,1240
gender,man,0,safety,1812.0771581432643,1353
gender,man,1,safety,1558.3054712445955,1004
gender,man,2,safety,1350.470405370501,1345
gender,man,3,safety,1649.3901923360443,1206
gender,man,4,safety,1628.8767238745365,1318
gender,man,5,safety,1947.2504120924086,804
gender,man,6,safety,705.0948345400685,1176
gender,man,7,safety,1717.689523138338,1374
gender,man,8,safety,1834.2063248534555,1064
gender,woman,0,living,1987.5459806319063,737
gender,woman,1,living,1913.3644323704393,1095
gender,woman,2,living,1859.8873178546264,844
gender,woman,3,living,1325.4920050425799,1162
gender,woman,4,living,1091.2460577033896,1116
gender,woman,5,living,1360.7386408629661,1205
gender,woman,6,living,1332.3678891973032,624
gender,woman,7,living,1669.9740053955384,1161
gender,woman,8,living,1502.4051293343148,896
gender,woman,0,biodiversity,-184.46204217944097,845
gender,woman,1,biodiversity,1673.961685460163,889
gender,woman,2,biodiversity,1903.1393337138,704
gender,woman,3,biodiversity,983.159748472995,1079
gender,woman,4,biodiversity,1835.4667421306688,847
gender,woman,5,biodiversity,1064.1616081251225,1006
gender,woman,6,biodiversity,1190.3599510106,1086
gender,woman,7,biodiversity,1944.7014137624349,819
gender,woman,8,biodiversity,499.31425201629196,911
