demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2270.065996291336,2187
global,global,1,living,2061.552460783566,2202
global,global,2,living,1786.332157799827,2301
global,global,3,living,1209.7903980090791,2337
global,global,4,living,1734.3989566401058,2409
global,global,5,living,2193.036743514587,2325
global,global,6,living,1046.2428384344917,2479
global,global,7,living,1657.6261208000046,2768
global,global,8,living,1239.3946851297587,2424
global,global,0,biodiversity,1602.472342839769,2330
global,global,1,biodiversity,172.3955763177201,1831
global,global,2,biodiversity,2117.654744440252,2150
global,global,3,biodiversity,1906.6404942107854,2236
global,global,4,biodiversity,424.0366315858189,2358
global,global,5,biodiversity,1317.1296357119495,1871
global,global,6,biodiversity,782.7322309509074,1553
global,global,7,biodiversity,2222.357152622645,1890
global,global,8,biodiversity,2294.3697018272483,2839
global,global,0,safety,2348.338966289149,1752
global,global,1,safety,686.6747406056836,2227
global,global,2,safety,2234.936094629444,2149
global,global,3,safety,804.3332726605281,3065
global,global,4,safety,88.70775964829505,2755
global,global,5,safety,1661.8934570464858,2547
global,global,6,safety,1918.8073314635162,2682
global,global,7,safety,1828.555638473577,2827
global,global,8,safety,1556.3446438060182,2806
gender,man,0,living,750.2201665690955,1093
gender,man,1,living,2028.0390815738867,1142
gender,man,2,living,1706.2127835251752,1240
gender,man,3,living,1103.289500335453,1174
gender,man,4,living,1976.377194237764,1193
gender,man,5,living,1616.2516432671014,1220
gender,man,6,living,1362.1865827719532,1309
gender,man,7,living,1925.9847398575926,1411
gender,man,8,living,1383.4473157307164,1270
gender,man,0,biodiversity,997.9899946496903,1162
gender,man,1,biodiversity,835.4643840910401,972
gender,man,2,biodiversity,1737.9369886162967,1107
gender,man,3,biodiversity,1509.1843475169267,1113
gender,man,4,biodiversity,523.6623966055572,1233
gender,man,5,biodiversity,1822.408502367452,1000
gender,man,6,biodiversity,1420.507763353213,832
gender,man,7,biodiversity,1881.1798554033226,886
gender,man,8,biodiversity,2045.0421663918928,1395
gender,man,0,safety,2060.420362230887,942
gender,man,1,safety,825.7214244792077,1077
gender,man,2,safety,1844.8936951580135,1104
gender,man,3,safety,1523.6202918297552,1569
gender,man,4,safety,1566.4523028048534,1469
gender,man,5,safety,-234.49235123414613,1246
gender,man,6,safety,1709.1628935058984,1387
gender,man,7,safety,1923.1313705210716,1516
gender,man,8,safety,2010.0515897502776,1362
gender,woman,0,living,1775.0059158482668,894
gender,woman,1,living,1541.3813241156513,897
gender,woman,2,living,1890.280286188402,904
gender,woman,3,living,1510.6520339600515,1008
gender,woman,4,living,1739.885287727114,957
gender,woman,5,living,1927.2892269052873,909
gender,woman,6,living,864.7750440017281,967
gender,woman,7,living,-219.07767833185554,1093
gender,woman,8,living,1828.9128493309893,1045
gender,woman,0,biodiversity,1888.1609422331674,968
gender,woman,1,biodiversity,1385.1460845229005,779
gender,woman,2,biodiversity,1961.49987528232,820
gender,woman,3,biodiversity,1730.8397224753805,900
gender,woman,4,biodiversity,1617.1659172391069,972
gender,woman,5,biodiversity,-154.36014129618644,720
gender,woman,6,biodiversity,1175.6606284412762,639
gender,woman,7,biodiversity,1829.1352139180415,741
gender,woman,8,biodiversity,1695.805954623577,1139
gender,woman,0,safety,1798.9241041863422,647
gender,woman,1,safety,1237.7404453573104,966
gender,woman,2,safety,1991.2107077394696,809
gender,woman,3,safety,1141.607924103843,1327
gender,woman,4,safety,561.7742006088772,1078
gender,woman,5,safety,1870.1553975234528,943
gender,woman,6,safety,1576.7556439540983,1029
gender,woman,7,safety,1710.4483712460647,1192
gender,woman,8,safety,1175.1544294773655,1125
gender,other,0,living,1512.1109936453486,7
gender,other,1,living,1424.7109991592229,10
gender,other,2,living,1554.6471810600458,13
gender,other,3,living,1503.1619984327651,14
gender,other,4,living,1475.9158962374295,10
gender,other,5,living,1449.628398909665,6
gender,other,6,living,1526.8653496071909,16
gender,other,7,living,1560.4859674790841,15
gender,other,8,living,1488.3260369801228,9
gender,other,0,biodiversity,1523.4777966119652,18
gender,other,1,biodiversity,1442.3366300765215,17
gender,other,2,biodiversity,1571.2175049700804,16
gender,other,3,biodiversity,1476.3452923407267,18
gender,other,4,biodiversity,1481.2430264125621,12
gender,other,5,biodiversity,1512.1894496884402,15
gender,other,6,biodiversity,1463.989209217096,9
gender,other,7,biodiversity,1548.033893286638,8
gender,other,8,biodiversity,1491.1535161120596,9
gender,other,0,safety,1427.1718199142585,8
gender,other,1,safety,1559.727078320561,13
gender,other,2,safety,1475.8225754472214,14
gender,other,3,safety,1493.519101923104,15
gender,other,4,safety,1514.635237279683,17
gender,other,5,safety,1536.2392564219454,19
gender,other,6,safety,1499.4894405583057,14
gender,other,7,safety,1539.254959546584,7
gender,other,8,safety,1463.034619082158,9
age,younger,0,living,1141.7865237138765,563
age,younger,1,living,1780.6856443851236,644
age,younger,2,living,1405.2651550336782,701
age,younger,3,living,863.0905643113158,609
age,younger,4,living,1882.4772850542827,670
age,younger,5,living,1512.1592049853052,636
age,younger,6,living,1311.432034987908,713
age,younger,7,living,1701.2577661507885,744
age,younger,8,living,1853.0843517788092,678
age,younger,0,biodiversity,1353.8272499927198,646
age,younger,1,biodiversity,1715.0190740616313,558
age,younger,2,biodiversity,1756.7237434482704,643
age,younger,3,biodiversity,671.8461462667814,601
age,younger,4,biodiversity,1483.7239460727196,696
age,younger,5,biodiversity,1852.7714322770194,510
age,younger,6,biodiversity,1434.4379608607678,478
age,younger,7,biodiversity,1542.0511603167504,517
age,younger,8,biodiversity,1776.7691986498908,795
age,younger,0,safety,1787.8523707607849,529
age,younger,1,safety,1676.9251393798231,586
age,younger,2,safety,1150.9466740808814,587
age,younger,3,safety,757.8551339221542,878
age,younger,4,safety,1411.4319769823935,818
age,younger,5,safety,1503.6617867265475,677
age,younger,6,safety,1937.4837137838194,688
age,younger,7,safety,1772.1599151587873,816
age,younger,8,safety,1533.9060998117445,801
age,middle,0,living,1926.9971677303581,897
age,middle,1,living,1669.2484824148971,853
age,middle,2,living,1730.8762848773179,1011
age,middle,3,living,1175.9805412192366,1098
age,middle,4,living,1818.7395686315651,958
age,middle,5,living,1977.6717914340243,994
age,middle,6,living,1421.6927062511195,1119
age,middle,7,living,1299.2841528458368,1155
age,middle,8,living,1194.185563849076,1079
age,middle,0,biodiversity,1705.2242826638992,965
age,middle,1,biodiversity,322.99466554615645,784
age,middle,2,biodiversity,1833.8134983061639,851
