demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1486.9840227484856,2208
global,global,1,living,1816.9969354482928,2413
global,global,2,living,1718.4418903721964,2455
global,global,3,living,2061.3396649878655,1773
global,global,4,living,602.3137874511374,2723
global,global,5,living,899.7899104261469,2115
global,global,6,living,2259.63045053517,2102
global,global,7,living,1416.9602927741973,2088
global,global,8,living,503.67585722105486,1937
global,global,0,biodiversity,1192.8702516585352,2486
global,global,1,biodiversity,488.48343199319845,2284
global,global,2,biodiversity,1708.0361095020094,2253
global,global,3,biodiversity,1791.6780880551876,2391
global,global,4,biodiversity,1911.594243957038,1833
global,global,5,biodiversity,1937.262141055455,2507
global,global,6,biodiversity,2302.1323246294055,2311
global,global,7,biodiversity,1052.0295609932607,2245
global,global,8,biodiversity,2007.401916333446,2936
global,global,0,safety,1995.0545770907208,2595
global,global,1,safety,2049.686715459661,2186
global,global,2,safety,395.9577552113613,3190
global,global,3,safety,970.3310038085916,2100
global,global,4,safety,254.3053376335048,2903
global,global,5,safety,1649.563317698192,2240
global,global,6,safety,1394.502014026414,2561
global,global,7,safety,2275.1275834941553,1791
global,global,8,safety,1868.5593386959783,2674
gender,man,0,living,1568.765143506553,1127
gender,man,1,living,1213.8473198207096,1237
gender,man,2,living,1971.3837475509704,1304
gender,man,3,living,1705.1083999857965,946
gender,man,4,living,1314.4554373987592,1425
gender,man,5,living,716.658558779038,1064
gender,man,6,living,1883.3739215240387,1051
gender,man,7,living,1847.7739624791839,1076
gender,man,8,living,2016.2801131263104,1108
gender,man,0,biodiversity,1426.0789085966912,1242
gender,man,1,biodiversity,1643.9792103691752,1211
gender,man,2,biodiversity,1881.9033961193315,1112
gender,man,3,biodiversity,1025.293482342726,1137
gender,man,4,biodiversity,1800.85715268371,986
gender,man,5,biodiversity,2006.9411184471187,1234
gender,man,6,biodiversity,1937.2926988900233,1157
gender,man,7,biodiversity,1863.9227746111471,1177
gender,man,8,biodiversity,1988.6282629816899,1472
gender,man,0,safety,1503.2638798864584,1301
gender,man,1,safety,1432.7737384563684,1162
gender,man,2,safety,1939.883910819969,1625
gender,man,3,safety,1565.9913281869615,1072
gender,man,4,safety,1225.3074016367234,1534
gender,man,5,safety,1721.589473421235,1161
gender,man,6,safety,1779.6326866632387,1338
gender,man,7,safety,2023.6350509915244,883
gender,man,8,safety,1100.2104494705266,1282
gender,woman,0,living,1804.767702461046,893
gender,woman,1,living,1784.7699434465255,988
gender,woman,2,living,649.4181188004811,945
gender,woman,3,living,1949.5974230938202,690
gender,woman,4,living,1444.2974299894288,1101
gender,woman,5,living,1538.7366382489324,810
gender,woman,6,living,1663.274912898623,865
gender,woman,7,living,1003.6983711523725,862
gender,woman,8,living,670.7137367632536,758
gender,woman,0,biodiversity,1590.6865960585808,997
gender,woman,1,biodiversity,705.1064725741425,947
gender,woman,2,biodiversity,1582.916611977551,862
gender,woman,3,biodiversity,1887.357534533476,1071
gender,woman,4,biodiversity,1779.5685291991954,734
gender,woman,5,biodiversity,1858.7406586717193,1059
gender,woman,6,biodiversity,1915.4809377526167,921
gender,woman,7,biodiversity,1479.1881061838185,928
gender,woman,8,biodiversity,1362.6327682313458,1129
gender,woman,0,safety,1949.7245684085062,1040
gender,woman,1,safety,1659.7511999164324,860
gender,woman,2,safety,996.9470341794736,1238
gender,woman,3,safety,1394.9604773118383,877
gender,woman,4,safety,1120.6954554006318,1176
gender,woman,5,safety,658.6856485455565,880
gender,woman,6,safety,1017.518325449184,973
gender,woman,7,safety,1893.4164472104374,777
gender,woman,8,safety,1846.7732783130648,1087
gender,other,0,living,1474.6642918650896,14
gender,other,1,living,1498.1223044644673,8
gender,other,2,living,1525.5445915864088,10
gender,other,3,living,1559.1792545410137,13
gender,other,4,living,1466.9350506484896,11
gender,other,5,living,1489.1504080017025,15
gender,other,6,living,1411.6363298523022,15
gender,other,7,living,1550.6621922975762,8
gender,other,8,living,1522.1870590976785,14
gender,other,0,biodiversity,1570.1262219473087,14
gender,other,1,biodiversity,1560.1254052010468,13
gender,other,2,biodiversity,1487.7808344038965,15
gender,other,3,biodiversity,1459.9048765636435,13
gender,other,4,biodiversity,1399.6021865436426,8
gender,other,5,biodiversity,1549.3482387051897,23
gender,other,6,biodiversity,1511.8136178285738,9
gender,other,7,biodiversity,1501.8604424753312,10
gender,other,8,biodiversity,1434.4253898744842,17
gender,other,0,safety,1500.4495437400274,14
gender,other,1,safety,1548.0798936171354,6
gender,other,2,safety,1475.3739681331294,20
gender,other,3,safety,1526.0073099536621,18
gender,other,4,safety,1569.2462761874804,14
gender,other,5,safety,1475.895474493656,8
gender,other,6,safety,1513.2448908363551,7
gender,other,7,safety,1440.8275376659526,7
gender,other,8,safety,1451.941320140822,14
age,younger,0,living,1688.2565349832146,627
age,younger,1,living,1783.2289795907805,684
age,younger,2,living,1848.6448345588742,681
age,younger,3,living,1640.239863444071,573
age,younger,4,living,1474.9914786041295,724
age,younger,5,living,872.468945268869,546
age,younger,6,living,1813.038247365524,566
age,younger,7,living,1751.522900564177,667
age,younger,8,living,1610.7267026051175,598
age,younger,0,biodiversity,1618.986330828805,678
age,younger,1,biodiversity,961.0212771201195,668
age,younger,2,biodiversity,1876.3837298141045,601
age,younger,3,biodiversity,1000.537099932522,658
age,younger,4,biodiversity,1467.7656733154602,538
age,younger,5,biodiversity,1559.0619148860858,685
age,younger,6,biodiversity,1314.186797728541,597
age,younger,7,biodiversity,1896.4469755205132,623
age,younger,8,biodiversity,1423.736911338367,834
age,younger,0,safety,1832.4927065296802,680
age,younger,1,safety,1468.8182169057914,704
age,younger,2,safety,490.8315957808213,912
age,younger,3,safety,1669.5735594214275,615
age,younger,4,safety,1353.5159105329708,796
age,younger,5,safety,1520.3648692042236,670
age,younger,6,safety,1265.2618918833755,671
age,younger,7,safety,1743.6756731451346,491
age,younger,8,safety,1919.2604058082761,695
age,middle,0,living,1699.6931150230482,980
age,middle,1,living,1666.5747099582504,1019
age,middle,2,living,1753.4968166521542,1099
age,middle,3,living,1922.3694250696226,690
age,middle,4,living,1472.1097350021548,1192
age,middle,5,living,1844.1182753970843,854
age,middle,6,living,1796.5953774556256,935
age,middle,7,living,1396.5820621902517,787
age,middle,8,living,1092.535357471944,796
age,middle,0,biodiversity,1104.9329726124142,1053
age,middle,1,biodiversity,1537.7651681866141,979
age,middle,2,biodiversity,1162.8658990590116,911
age,middle,3,biodiversity,1282.912503733849,1091
age,middle,4,biodiversity,1963.7313059702512,758
age,middle,5,biodiversity,1698.2849652672273,1040
age,middle,6,biodiversity,1938.5949055735239,958
age,middle,7,biodiversity,1473.3326845980182,1000
age,middle,8,biodiversity,1425.4290969314388,1244
age,middle,0,safety,1663.738565147338,1129
age,middle,1,safety,1997.2872936164301,859
age,middle,2,safety,1840.9132495057108,1257
age,middle,3,safety,1544.853277871789,885
age,middle,4,safety,1752.851940886902,1278
age,middle,5,safety,1650.0530929716708,974
age,middle,6,safety,1195.1315717688547,1114
age,middle,7,safety,1878.883802265007,770
age,middle,8,safety,1579.1771657543677,1096
age,older,0,living,1721.6210696868013,417
age,older,1,living,1357.4406492946644,526
age,older,2,living,1174.4053577565167,466
age,older,3,living,1801.8925191402363,384
age,older,4,living,1617.1089851298154,612
age,older,5,living,1705.925654873049,488
age,older,6,living,1674.2946684595365,425
age,older,7,living,1691.3932878958049,489
age,older,8,living,1515.077969287123,479
age,older,0,biodiversity,1391.2685278896233,515
age,older,1,biodiversity,1446.7799470109396,518
age,older,2,biodiversity,1670.2896206411929,476
age,older,3,biodiversity,1781.6854757200506,467
age,older,4,biodiversity,1123.615888782831,432
age,older,5,biodiversity,1635.2255125252561,581
age,older,6,biodiversity,1343.73517895019,526
age,older,7,biodiversity,979.746076455496,485
age,older,8,biodiversity,1881.1788026566605,532
age,older,0,safety,1737.2602226002775,548
age,older,1,safety,1591.2504646584957,455
age,older,2,safety,1328.471529010886,700
age,older,3,safety,1033.2098653214332,461
age,older,4,safety,907.760079105031,647
age,older,5,safety,1438.2009324220787,391
age,older,6,safety,1756.7034864312986,522
age,older,7,safety,1878.6760546585367,399
age,older,8,safety,1557.16176102787,587
ethnicity,white,0,living,1752.6514244973412,1748
ethnicity,white,1,living,1652.831635089121,1923
ethnicity,white,2,living,1885.491673569834,1959
ethnicity,white,3,living,2093.4890367757166,1405
ethnicity,white,4,living,905.6236449199798,2188
ethnicity,white,5,living,1321.9851895090285,1653
ethnicity,white,6,living,2043.3269318628581,1639
ethnicity,white,7,living,1365.3403795766974,1642
ethnicity,white,8,living,827.097815557964,1639
ethnicity,white,0,biodiversity,1278.0549910911043,1954
ethnicity,white,1,biodiversity,-284.4307184524449,1891
ethnicity,white,2,biodiversity,1856.5259691173853,1695
ethnicity,white,3,biodiversity,1550.7518659690647,1934
ethnicity,white,4,biodiversity,2143.0380888002924,1494
ethnicity,white,5,biodiversity,1950.9846980010718,2008
ethnicity,white,6,biodiversity,2034.7577873153123,1819
ethnicity,white,7,biodiversity,855.7888001517084,1809
ethnicity,white,8,biodiversity,1893.268231662879,2262
ethnicity,white,0,safety,2151.5751101174583,2041
ethnicity,white,1,safety,1964.5922446415868,1717
ethnicity,white,2,safety,942.8401423121231,2506
ethnicity,white,3,safety,1038.5197618719383,1653
ethnicity,white,4,safety,1795.1567262759413,2335
ethnicity,white,5,safety,1113.7543400176214,1774
ethnicity,white,6,safety,-254.71568727275957,1985
ethnicity,white,7,safety,2188.891936303014,1441
ethnicity,white,8,safety,1512.5068720786267,2046
ethnicity,other,0,living,1468.1723910924118,196
ethnicity,other,1,living,1354.3271819197164,205
ethnicity,other,2,living,1496.302631699022,225
ethnicity,other,3,living,1585.8828749833915,170
ethnicity,other,4,living,1650.9240822169124,227
ethnicity,other,5,living,1211.6966401432298,165
ethnicity,other,6,living,1564.9339903957602,218
ethnicity,other,7,living,1735.9112623633978,219
ethnicity,other,8,living,1608.242060594442,161
ethnicity,other,0,biodiversity,1574.1130768200183,188
ethnicity,other,1,biodiversity,1717.2757355997678,203
ethnicity,other,2,biodiversity,1607.218600092042,208
ethnicity,other,3,biodiversity,1282.8126054322543,200
ethnicity,other,4,biodiversity,1464.4718901560414,159
ethnicity,other,5,biodiversity,1532.5552518247682,221
ethnicity,other,6,biodiversity,1698.6713356187042,188
ethnicity,other,7,biodiversity,1451.716740168992,220
ethnicity,other,8,biodiversity,1343.0985815219126,269
ethnicity,other,0,safety,1535.8998021189902,227
ethnicity,other,1,safety,1271.5255141169994,227
ethnicity,other,2,safety,527.2630799895618,253
ethnicity,other,3,safety,1639.6703821675333,232
ethnicity,other,4,safety,1519.14945632978,285
ethnicity,other,5,safety,1179.5153569106503,191
ethnicity,other,6,safety,1663.5550058094623,231
ethnicity,other,7,safety,1775.0167103584504,153
ethnicity,other,8,safety,1492.0767051152088,239
education,sixteen,0,living,1530.5013238143795,148
education,sixteen,1,living,1582.8572379255054,165
education,sixteen,2,living,1560.842079612104,158
education,sixteen,3,living,1499.3547028475089,121
education,sixteen,4,living,1275.4091709365377,158
education,sixteen,5,living,1027.7496396676752,137
education,sixteen,6,living,1660.864794735728,137
education,sixteen,7,living,1720.6469250992936,127
education,sixteen,8,living,1334.7898295821162,147
education,sixteen,0,biodiversity,1445.2756053364224,164
education,sixteen,1,biodiversity,1326.6024145853914,115
education,sixteen,2,biodiversity,1520.7840343510697,145
education,sixteen,3,biodiversity,1705.5682145590924,133
education,sixteen,4,biodiversity,1507.4392087994886,142
education,sixteen,5,biodiversity,1591.0556237287815,170
education,sixteen,6,biodiversity,1148.3498875930336,151
education,sixteen,7,biodiversity,1647.3875147543622,110
education,sixteen,8,biodiversity,1572.9960027639554,186
education,sixteen,0,safety,1424.9842853118168,151
education,sixteen,1,safety,1334.6383169904714,137
education,sixteen,2,safety,1571.2684239047778,216
education,sixteen,3,safety,1591.0905794911457,149
education,sixteen,4,safety,1625.7145247386713,220
education,sixteen,5,safety,1543.5540627926428,171
education,sixteen,6,safety,1534.9657836622398,161
education,sixteen,7,safety,1505.22959915328,105
education,sixteen,8,safety,1670.6061550235413,148
education,eighteen,0,living,1655.7703793641122,359
education,eighteen,1,living,963.2268142833814,324
education,eighteen,2,living,1837.3474238810406,383
education,eighteen,3,living,1543.8400636214526,329
education,eighteen,4,living,1504.834787693675,492
education,eighteen,5,living,1749.2369585268364,401
education,eighteen,6,living,1584.7320550479221,357
education,eighteen,7,living,1261.528646310515,362
education,eighteen,8,living,1610.0429970024895,415
education,eighteen,0,biodiversity,1556.978268372762,448
education,eighteen,1,biodiversity,1646.1435986808208,385
education,eighteen,2,biodiversity,1744.4050727323101,326
education,eighteen,3,biodiversity,1452.1394136546458,387
education,eighteen,4,biodiversity,1340.37686924458,344
education,eighteen,5,biodiversity,1784.9635233580827,393
education,eighteen,6,biodiversity,1368.4797496794752,407
education,eighteen,7,biodiversity,1394.4272477581624,423
education,eighteen,8,biodiversity,1761.7899316446767,439
education,eighteen,0,safety,1490.5276948419228,394
education,eighteen,1,safety,1725.4349343064257,325
education,eighteen,2,safety,1544.003253712672,505
education,eighteen,3,safety,1445.3664280802607,401
education,eighteen,4,safety,1671.4827801064166,494
education,eighteen,5,safety,1618.9159423971462,391
education,eighteen,6,safety,1565.669502049164,408
education,eighteen,7,safety,1332.6838744479555,328
education,eighteen,8,safety,1783.0421932128277,422
education,older,0,living,1719.8995510383693,1495
education,older,1,living,1760.6031800814944,1708
education,older,2,living,1248.570025852568,1692
education,older,3,living,2078.925864745119,1178
education,older,4,living,1418.5604329447906,1854
education,older,5,living,1584.7331948338021,1328
education,older,6,living,1996.4402982469148,1421
education,older,7,living,1374.2729844796575,1423
education,older,8,living,734.7213802481532,1291
education,older,0,biodiversity,1265.7644829899416,1616
education,older,1,biodiversity,999.1934108176181,1649
education,older,2,biodiversity,1788.295769644165,1478
education,older,3,biodiversity,1609.1190842748379,1679
education,older,4,biodiversity,1990.0395033714035,1222
education,older,5,biodiversity,1558.1733378354895,1720
education,older,6,biodiversity,2078.0937182124476,1492
education,older,7,biodiversity,1664.4738718924882,1552
education,older,8,biodiversity,1167.2569780652975,1970
education,older,0,safety,2019.6181282242394,1778
education,older,1,safety,1467.8017989826162,1544
education,older,2,safety,93.20316278099948,2124
education,older,3,safety,1332.8086078921444,1399
education,older,4,safety,1616.7285465934403,1982
education,older,5,safety,1225.927271385824,1469
education,older,6,safety,921.6956494910376,1718
education,older,7,safety,2155.112883493702,1219
education,older,8,safety,1664.4739342777307,1779
income,lower,0,living,1353.727468005118,417
income,lower,1,living,1404.4665460299234,412
income,lower,2,living,1696.4789113683291,388
income,lower,3,living,1537.0384232384886,327
income,lower,4,living,1599.9806343928676,432
income,lower,5,living,1092.8359114715174,333
income,lower,6,living,1559.486091052435,336
income,lower,7,living,1765.0262985342158,381
income,lower,8,living,1826.5337156537041,374
income,lower,0,biodiversity,1490.5911732407644,418
income,lower,1,biodiversity,1441.4992035085918,405
income,lower,2,biodiversity,1648.826682036921,350
income,lower,3,biodiversity,1684.300739007171,419
income,lower,4,biodiversity,1319.9046769056038,350
income,lower,5,biodiversity,1783.463271865919,396
income,lower,6,biodiversity,1382.9372895892116,382
income,lower,7,biodiversity,1617.4289329940602,373
income,lower,8,biodiversity,1754.479899911529,427
income,lower,0,safety,1750.3839724918332,370
income,lower,1,safety,1601.5365336876669,395
income,lower,2,safety,1491.2717461435216,557
income,lower,3,safety,1220.9944331816516,419
income,lower,4,safety,1462.0368710737218,503
income,lower,5,safety,1429.9362896719008,402
income,lower,6,safety,1812.8233303906857,396
income,lower,7,safety,1699.1113144283124,315
income,lower,8,safety,1633.6753049304723,443
income,middle,0,living,1806.2070983711146,586
income,middle,1,living,1532.6108177338235,699
income,middle,2,living,993.8517193451067,720
income,middle,3,living,1673.227260660945,503
income,middle,4,living,1019.7069459878694,826
income,middle,5,living,1228.2157084401767,648
income,middle,6,living,1901.9620024280393,614
income,middle,7,living,1650.8219054750396,635
income,middle,8,living,662.4764583838661,591
income,middle,0,biodiversity,1929.352137978768,698
income,middle,1,biodiversity,91.5046804227046,694
income,middle,2,biodiversity,1528.4905727099613,605
income,middle,3,biodiversity,1409.0693036914408,678
income,middle,4,biodiversity,1838.201247105427,544
income,middle,5,biodiversity,1408.0295503471211,759
income,middle,6,biodiversity,1185.1461460520427,668
income,middle,7,biodiversity,1573.5953415941551,677
income,middle,8,biodiversity,1618.8932177785705,869
income,middle,0,safety,1840.5844425349637,797
income,middle,1,safety,1614.4483037061743,643
income,middle,2,safety,1408.9241348952648,890
income,middle,3,safety,1243.6597940375818,633
income,middle,4,safety,1460.9172621144078,868
income,middle,5,safety,1198.8911583898648,665
income,middle,6,safety,1572.3751337984945,752
income,middle,7,safety,1810.7722598568705,531
income,middle,8,safety,1910.4079167863395,741
income,higher,0,living,1316.939479605147,670
income,higher,1,living,1626.8697734389254,739
income,higher,2,living,1659.6925815946931,777
income,higher,3,living,1836.49492442786,505
income,higher,4,living,1598.7918115274504,812
income,higher,5,living,1900.1466524162574,552
income,higher,6,living,1207.129481285745,633
income,higher,7,living,1443.7857298700424,599
income,higher,8,living,1136.000678129198,553
income,higher,0,biodiversity,825.7107240956914,705
income,higher,1,biodiversity,1504.5644550731288,723
income,higher,2,biodiversity,1387.5031191899911,681
income,higher,3,biodiversity,764.0548326502873,712
income,higher,4,biodiversity,1774.1924295001209,512
income,higher,5,biodiversity,1514.0969091521442,745
income,higher,6,biodiversity,1959.722222157229,620
income,higher,7,biodiversity,1615.8210918504333,701
income,higher,8,biodiversity,1395.063631608598,905
income,higher,0,safety,1860.1201793530731,776
income,higher,1,safety,1314.2942674254996,657
income,higher,2,safety,1609.2347976988135,892
income,higher,3,safety,1500.878361968126,552
income,higher,4,safety,1371.117336338964,878
income,higher,5,safety,1381.348729170703,633
income,higher,6,safety,1009.6028982021265,750
income,higher,7,safety,1978.9728140770028,522
income,higher,8,safety,1726.0047116162698,794
movement,yes,0,living,1352.046988910696,447
movement,yes,1,living,1687.4593173161413,443
movement,yes,2,living,1752.3534256859523,426
movement,yes,3,living,1731.1108723808306,394
movement,yes,4,living,1341.5581956959466,550
movement,yes,5,living,1451.5525518814227,408
movement,yes,6,living,1643.158047179765,406
movement,yes,7,living,1586.8428530585493,436
movement,yes,8,living,1805.1117280026108,486
movement,yes,0,biodiversity,1363.7633551332399,518
movement,yes,1,biodiversity,1467.0731040775179,427
movement,yes,2,biodiversity,1704.9206689686412,376
movement,yes,3,biodiversity,1676.5247287863453,448
movement,yes,4,biodiversity,1796.8035059368312,379
movement,yes,5,biodiversity,1758.534227605173,478
movement,yes,6,biodiversity,1550.1244201225866,477
movement,yes,7,biodiversity,1188.1678019031194,422
movement,yes,8,biodiversity,1590.3346843773056,471
movement,yes,0,safety,1559.4944089018338,516
movement,yes,1,safety,1733.0628060198212,416
movement,yes,2,safety,1438.7037070987526,651
movement,yes,3,safety,1388.07314677052,449
movement,yes,4,safety,1764.7606245520733,547
movement,yes,5,safety,1463.9118421897394,378
movement,yes,6,safety,1401.7904202591035,495
movement,yes,7,safety,1640.2720492477808,424
movement,yes,8,safety,1856.8102577130155,458
movement,no,0,living,2010.595428624051,1546
movement,no,1,living,1827.3466971863863,1746
movement,no,2,living,1744.5319795349892,1791
movement,no,3,living,1861.9571371014777,1224
movement,no,4,living,1225.9621663878322,1936
movement,no,5,living,1465.236238073188,1441
movement,no,6,living,2089.148523009422,1480
movement,no,7,living,1513.4832436796091,1475
movement,no,8,living,318.9005228418076,1351
movement,no,0,biodiversity,1283.650420645034,1684
movement,no,1,biodiversity,1324.3686450552543,1694
movement,no,2,biodiversity,1952.8355246426806,1584
movement,no,3,biodiversity,1212.9282955359367,1726
movement,no,4,biodiversity,1922.1341028132097,1308
movement,no,5,biodiversity,2035.0997726387693,1774
movement,no,6,biodiversity,2126.9075394231013,1562
movement,no,7,biodiversity,1773.8478463301183,1642
movement,no,8,biodiversity,1866.5664110697278,2106
movement,no,0,safety,2010.231678865081,1793
movement,no,1,safety,1600.3037794173417,1581
movement,no,2,safety,1335.416861167696,2172
movement,no,3,safety,1215.2857304365552,1470
movement,no,4,safety,907.2594518894813,2116
movement,no,5,safety,1451.2116328224959,1621
movement,no,6,safety,1535.2093434705273,1777
movement,no,7,safety,2227.262181585314,1217
movement,no,8,safety,1659.0041938895215,1879
dog,yes,0,living,1621.4707050838124,722
