demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1161.6143816273777,1999
global,global,1,living,1594.7120054609866,1718
global,global,2,living,-411.7009900942854,1378
global,global,3,living,-664.3434263516726,1449
global,global,4,living,1661.079500600451,1954
global,global,5,living,1057.8114918859635,2318
global,global,6,living,2160.3383720412667,2026
global,global,7,living,2060.5470535919035,1426
global,global,8,living,1517.964127846977,1770
global,global,0,biodiversity,-503.85797231866087,1676
global,global,1,biodiversity,2427.6759380979393,2559
global,global,2,biodiversity,1805.934144975159,2773
global,global,3,biodiversity,2203.433952103479,3156
global,global,4,biodiversity,2324.4912036050323,2650
global,global,5,biodiversity,1888.6179364681816,2244
global,global,6,biodiversity,200.98052472987868,2121
global,global,7,biodiversity,816.2753537726077,2545
global,global,8,biodiversity,2128.6961154183396,2606
global,global,0,safety,2340.282043182053,3075
global,global,1,safety,1786.6438905649409,2836
global,global,2,safety,1673.6830318954198,3563
global,global,3,safety,2281.7968346872317,2655
global,global,4,safety,1910.7235349258551,3109
global,global,5,safety,1857.9568264313327,2079
global,global,6,safety,2117.5856494868663,2673
global,global,7,safety,2208.775433930131,2392
global,global,8,safety,200.1038932309628,2550
gender,man,0,living,1782.3173995725217,1043
gender,man,1,living,1347.0750698476563,858
gender,man,2,living,1228.3777036864224,734
gender,man,3,living,392.0987585595031,712
gender,man,4,living,1825.5175172419804,1011
gender,man,5,living,1573.2355948497798,1241
gender,man,6,living,2016.942774004149,1008
gender,man,7,living,1928.206758656445,814
gender,man,8,living,1700.3897818710416,815
gender,man,0,biodiversity,937.0437036649788,890
gender,man,1,biodiversity,2070.811659621863,1243
gender,man,2,biodiversity,554.3030123723756,1398
gender,man,3,biodiversity,1780.8168175154,1594
gender,man,4,biodiversity,2019.9551094769429,1361
gender,man,5,biodiversity,1385.3897923789166,1123
gender,man,6,biodiversity,1025.5155782583795,1163
gender,man,7,biodiversity,1626.111605504054,1277
gender,man,8,biodiversity,1642.5168875655952,1305
gender,man,0,safety,1908.2265970095168,1578
gender,man,1,safety,762.9271498088581,1531
gender,man,2,safety,1379.4901617126475,1841
gender,man,3,safety,2118.917768480871,1286
gender,man,4,safety,1955.3708587877632,1570
gender,man,5,safety,844.051880045631,1070
gender,man,6,safety,2148.7157175569614,1326
