demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,108.14172889590786,2845
global,global,1,living,1158.5068226677447,2659
global,global,2,living,746.1438139312827,1188
global,global,3,living,457.1803111271791,2604
global,global,4,living,2167.8392999167972,2342
global,global,5,living,1877.1700338983292,2540
global,global,6,living,1298.9526624755235,1711
global,global,7,living,2317.121583255026,2335
global,global,8,living,1753.3342689555284,2226
global,global,0,biodiversity,1225.2796226462337,2312
global,global,1,biodiversity,2250.7688281013616,1816
global,global,2,biodiversity,1902.0423958999163,2434
global,global,3,biodiversity,2054.605202770843,3086
global,global,4,biodiversity,2116.9837703912126,2242
global,global,5,biodiversity,617.1777365671188,2655
global,global,6,biodiversity,754.9028157608851,1997
global,global,7,biodiversity,476.35464174143505,2446
global,global,8,biodiversity,1381.0478271432935,2800
global,global,0,safety,62.746879865517215,2328
global,global,1,safety,2104.9843302734407,1712
global,global,2,safety,1879.7799167852488,2895
global,global,3,safety,1842.2425369707028,2221
global,global,4,safety,972.5527188975075,2751
global,global,5,safety,1288.3948668202268,3289
global,global,6,safety,-244.88410930794652,2065
global,global,7,safety,388.19102555190057,1121
global,global,8,safety,2289.2301016958763,2680
gender,man,0,living,1112.8401183825054,1471
gender,man,1,living,403.7447017174415,1453
gender,man,2,living,1397.7267777409493,609
gender,man,3,living,233.72407217130848,1269
gender,man,4,living,2057.078841864592,1210
gender,man,5,living,1760.5442237993461,1225
gender,man,6,living,1668.1988009062172,916
gender,man,7,living,1869.3494544156247,1208
gender,man,8,living,1957.1257585187536,1123
gender,man,0,biodiversity,1900.3577878966528,1199
gender,man,1,biodiversity,1640.2661138761823,946
gender,man,2,biodiversity,1557.5066615765802,1305
gender,man,3,biodiversity,2055.2541097140906,1583
gender,man,4,biodiversity,1975.37421710535,1127
gender,man,5,biodiversity,1195.6234625495124,1356
gender,man,6,biodiversity,1438.0686538313698,996
gender,man,7,biodiversity,1134.1029214930984,1221
gender,man,8,biodiversity,1460.1792131979694,1481
