demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1238.6202504710348,2315
global,global,1,living,2259.727714250251,2361
global,global,2,living,929.3483684313243,1774
global,global,3,living,1890.1380508228883,2841
global,global,4,living,1325.4105250229984,2443
global,global,5,living,1710.9680929983901,2810
global,global,6,living,2332.331555179797,2689
global,global,7,living,1551.184919260155,3059
global,global,8,living,1647.153304032653,3188
global,global,0,biodiversity,1959.345752676806,1777
global,global,1,biodiversity,2138.674566634118,2117
global,global,2,biodiversity,1180.009820447224,2022
global,global,3,biodiversity,2265.946917467668,1950
global,global,4,biodiversity,1756.8089958905932,2443
global,global,5,biodiversity,465.75675369219454,2031
global,global,6,biodiversity,1824.8080161840946,2520
global,global,7,biodiversity,-10.624500797172136,1903
global,global,8,biodiversity,1642.2551961959055,2171
global,global,0,safety,1422.6599297696612,2590
global,global,1,safety,948.8953762654592,2364
global,global,2,safety,2058.3943163785807,2139
global,global,3,safety,1623.314603747908,2467
global,global,4,safety,554.7923276886883,2613
global,global,5,safety,2035.6202780050744,2609
global,global,6,safety,1583.8392397042678,2487
global,global,7,safety,2295.4471333593433,2219
global,global,8,safety,478.7751621787411,1398
gender,man,0,living,185.78404271385003,1211
gender,man,1,living,1706.9349950959074,1198
gender,man,2,living,1804.4377773678343,1024
gender,man,3,living,1947.065672843798,1383
gender,man,4,living,1836.1083541096834,1281
gender,man,5,living,751.0356110793222,1432
gender,man,6,living,2099.991878840562,1424
gender,man,7,living,980.3119521362778,1557
gender,man,8,living,2016.4367906662787,1586
gender,man,0,biodiversity,1839.951515595868,892
gender,man,1,biodiversity,1989.4229134180878,1043
gender,man,2,biodiversity,1423.1499976238129,1087
gender,man,3,biodiversity,1740.077663190319,991
gender,man,4,biodiversity,1554.5669499308945,1307
gender,man,5,biodiversity,1105.9961115922345,1105
gender,man,6,biodiversity,1767.6750025300746,1308
gender,man,7,biodiversity,525.2926911421803,906
gender,man,8,biodiversity,1696.2794247427535,1143
gender,man,0,safety,1565.598044109409,1286
gender,man,1,safety,89.33781550734555,1203
gender,man,2,safety,1847.4371136272143,1070
gender,man,3,safety,939.4661760968154,1182
gender,man,4,safety,220.45437895266048,1387
gender,man,5,safety,317.2927461285596,1403
gender,man,6,safety,1740.8473787415303,1227
gender,man,7,safety,2070.7792642120385,1063
gender,man,8,safety,727.7149759894246,725
gender,woman,0,living,1868.193296724746,902
gender,woman,1,living,1995.2823825744379,971
gender,woman,2,living,775.2199516308531,659
gender,woman,3,living,1436.2122486776307,1129
gender,woman,4,living,894.2946782678391,943
gender,woman,5,living,1698.4544695118987,1085
gender,woman,6,living,1220.5834551847001,1104
gender,woman,7,living,1785.975655649246,1272
gender,woman,8,living,614.3928893631189,1279
gender,woman,0,biodiversity,1707.7126292227626,724
gender,woman,1,biodiversity,1312.0014481402322,874
gender,woman,2,biodiversity,1803.2771341436076,780
gender,woman,3,biodiversity,1949.701530952991,753
gender,woman,4,biodiversity,1601.1120042622235,962
gender,woman,5,biodiversity,777.139707659164,793
gender,woman,6,biodiversity,1662.6557722664145,993
gender,woman,7,biodiversity,1581.5695206512514,869
gender,woman,8,biodiversity,1824.9773934936757,826
